CandidateRepo,Frequency,PctOfAnchors,Source
NannyML/nannyml,3,12.5,30_Matches_final
ResidentMario/missingno,3,12.5,30_Matches_final
airbnb/knowledge-repo,3,12.5,30_Matches_final
apachecn/python_data_analysis_and_mining_action,3,12.5,30_Matches_final
dfm/corner.py,3,12.5,30_Matches_final
fbdesignpro/sweetviz,3,12.5,30_Matches_final
has2k1/plotnine,3,12.5,30_Matches_final
justinzm/gopup,3,12.5,30_Matches_final
ndleah/python-mini-project,3,12.5,30_Matches_final
predict-idlab/plotly-resampler,3,12.5,30_Matches_final
probabl-ai/skore,3,12.5,30_Matches_final
python-visualization/folium,3,12.5,30_Matches_final
reflex-dev/reflex,3,12.5,30_Matches_final
rio-labs/rio,3,12.5,30_Matches_final
scikit-learn-contrib/imbalanced-learn,3,12.5,30_Matches_final
skrub-data/skrub,3,12.5,30_Matches_final
Lightning-AI/pytorch-lightning,2,8.3,30_Matches_final
Megvii-BaseDetection/YOLOX,2,8.3,30_Matches_final
Netflix/metaflow,2,8.3,30_Matches_final
PINTO0309/PINTO_model_zoo,2,8.3,30_Matches_final
PeterL1n/RobustVideoMatting,2,8.3,30_Matches_final
TransformerOptimus/SuperAGI,2,8.3,30_Matches_final
apache/tvm,2,8.3,30_Matches_final
apple/coremltools,2,8.3,30_Matches_final
capitalone/DataProfiler,2,8.3,30_Matches_final
catalyst-team/catalyst,2,8.3,30_Matches_final
datajuicer/data-juicer,2,8.3,30_Matches_final
deepinsight/insightface,2,8.3,30_Matches_final
edtechre/pybroker,2,8.3,30_Matches_final
feast-dev/feast,2,8.3,30_Matches_final
flairNLP/flair,2,8.3,30_Matches_final
flwrlabs/flower,2,8.3,30_Matches_final
google-deepmind/sonnet,2,8.3,30_Matches_final
kedro-org/kedro,2,8.3,30_Matches_final
keras-team/keras,2,8.3,30_Matches_final
kornia/kornia,2,8.3,30_Matches_final
kyegomez/swarms,2,8.3,30_Matches_final
lucidrains/denoising-diffusion-pytorch,2,8.3,30_Matches_final
mckinsey/vizro,2,8.3,30_Matches_final
microsoft/MMdnn,2,8.3,30_Matches_final
pandas-dev/pandas,2,8.3,30_Matches_final
piskvorky/gensim,2,8.3,30_Matches_final
polakowo/vectorbt,2,8.3,30_Matches_final
ruc-datalab/DeepAnalyze,2,8.3,30_Matches_final
scikit-learn/scikit-learn,2,8.3,30_Matches_final
stanfordnlp/stanza,2,8.3,30_Matches_final
streamlit/streamlit,2,8.3,30_Matches_final
tflearn/tflearn,2,8.3,30_Matches_final
tinyvision/DAMO-YOLO,2,8.3,30_Matches_final
unit8co/darts,2,8.3,30_Matches_final
voxel51/fiftyone,2,8.3,30_Matches_final
wandb/wandb,2,8.3,30_Matches_final
yanshengjia/ml-road,2,8.3,30_Matches_final
0x4m4/hexstrike-ai,1,4.2,30_Matches_final
1Panel-dev/MaxKB,1,4.2,30_Matches_final
2FastLabs/agent-squad,1,4.2,30_Matches_final
2noise/ChatTTS,1,4.2,30_Matches_final
4uiiurz1/keras-arcface,1,4.2,30_Matches_final
666DZY666/micronet,1,4.2,30_Matches_final
AIDC-AI/Pixelle-Video,1,4.2,30_Matches_final
AIGC-Audio/AudioGPT,1,4.2,30_Matches_final
AIInAi/tf-insightface,1,4.2,30_Matches_final
AgentOps-AI/agentops,1,4.2,30_Matches_final
AkiRusProd/numpy-nn-model,1,4.2,30_Matches_final
AlexanderLutsenko/nobuco,1,4.2,30_Matches_final
Amm1rr/WebAI-to-API,1,4.2,30_Matches_final
Anjok07/ultimatevocalremovergui,1,4.2,30_Matches_final
Arize-ai/phoenix,1,4.2,30_Matches_final
AsuharietYgvar/AppleNeuralHash2ONNX,1,4.2,30_Matches_final
BasPH/data-pipelines-with-apache-airflow,1,4.2,30_Matches_final
Blaizzy/mlx-audio,1,4.2,30_Matches_final
BlinkDL/RWKV-LM,1,4.2,30_Matches_final
