AnchorRepo,AnchorUrl,CandidateRepo,CandidateUrl,CandidateOwner,CandidateLanguage,CandidateStars,CandidateSubdomain,Score,ScoreBase,PenaltyCrossAnchorFreq,PenaltyRetrieval,PenaltyNotes,Qualified,TopicJaccard,LexicalJaccard,LanguageMatch,StarSimilarity,RecencySimilarity,SubdomainMatch,QueryCoverage,TopSignals,ScoreBreakdownJson,WhyQualified,SourceQueries,Description,Rank,_anchor_folder,_anchor,_source
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,abdulfatir/twitter-sentiment-analysis,https://github.com/abdulfatir/twitter-sentiment-analysis,abdulfatir,Python,1645,deep-learning,854.77,854.77,0,50,QueryCoverage excluded from Score (recommended).,True,0.2105,0,1,0.3731,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":189.47,""Lexical"":0.0,""Lang"":250.0,""Stars"":65.3,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":854.77,""ScoreFinal"":854.77}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc.",1,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,GabrielDornelles/pytorch-ocr,https://github.com/GabrielDornelles/pytorch-ocr,GabrielDornelles,Python,88,deep-learning,825,825,0,50,QueryCoverage excluded from Score (recommended).,True,0.25,0,1,0,1,1,0.3333,Lang+Topic+Subdomain,"{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":825.0,""ScoreFinal"":825.0}",Score>=MinimumScore,topic:crnn language:Python stars:>=50,"Simple Pytorch framework to train OCRs. Supports CRNNs, Attention, CTC and Cross Entropy Loss.",2,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,frgfm/torch-cam,https://github.com/frgfm/torch-cam,frgfm,Python,2302,deep-learning,822.06,822.06,0,50,QueryCoverage excluded from Score (recommended).,True,0.16,0,1,0.4461,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":144.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":78.06,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":822.06,""ScoreFinal"":822.06}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,"Class activation maps for your PyTorch models (CAM, Grad-CAM, Grad-CAM++, Smooth Grad-CAM++, Score-CAM, SS-CAM, IS-CAM, XGrad-CAM, Layer-CAM)",3,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,open-mmlab/mmocr,https://github.com/open-mmlab/mmocr,open-mmlab,Python,4733,deep-learning,821.57,821.57,0,50,QueryCoverage excluded from Score (recommended).,True,0.129,0,1,0.6025,1,1,0.3333,Lang+Subdomain+Recency,"{""Topic"":116.13,""Lexical"":0.0,""Lang"":250.0,""Stars"":105.44,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":821.57,""ScoreFinal"":821.57}",Score>=MinimumScore,topic:crnn language:Python stars:>=50,"OpenMMLab Text Detection, Recognition and Understanding Toolbox",4,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,filipradenovic/cnnimageretrieval-pytorch,https://github.com/filipradenovic/cnnimageretrieval-pytorch,filipradenovic,Python,1494,deep-learning,820.47,820.47,0,50,QueryCoverage excluded from Score (recommended).,True,0.1765,0,1,0.3522,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":61.64,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":820.47,""ScoreFinal"":820.47}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,CNN Image Retrieval in PyTorch: Training and evaluating CNNs for Image Retrieval in PyTorch,5,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,orobix/Prototypical-Networks-for-Few-shot-Learning-PyTorch,https://github.com/orobix/Prototypical-Networks-for-Few-shot-Learning-PyTorch,orobix,Python,1075,deep-learning,817.9,817.9,0,50,QueryCoverage excluded from Score (recommended).,True,0.1875,0,1,0.2808,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":168.75,""Lexical"":0.0,""Lang"":250.0,""Stars"":49.15,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":817.9,""ScoreFinal"":817.9}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,Implementation of Prototypical Networks for Few Shot Learning (https://arxiv.org/abs/1703.05175) in Pytorch,6,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,nl8590687/ASRT_SpeechRecognition,https://github.com/nl8590687/ASRT_SpeechRecognition,nl8590687,Python,8371,deep-learning,805.37,805.37,0,50,QueryCoverage excluded from Score (recommended).,True,0.087,0,1,0.7263,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":78.26,""Lexical"":0.0,""Lang"":250.0,""Stars"":127.11,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":805.37,""ScoreFinal"":805.37}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,A Deep-Learning-Based Chinese Speech Recognition System 基于深度学习的中文语音识别系统,7,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,nickliqian/cnn_captcha,https://github.com/nickliqian/cnn_captcha,nickliqian,Python,2881,deep-learning,799.09,799.09,0,50,QueryCoverage excluded from Score (recommended).,True,0.125,0,1,0.4948,1,1,0.3333,Lang+Subdomain+Recency,"{""Topic"":112.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":86.59,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":799.09,""ScoreFinal"":799.09}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,use cnn recognize captcha by tensorflow. 本项目针对字符型图片验证码，使用tensorflow实现卷积神经网络，进行验证码识别。,8,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,titu1994/LSTM-FCN,https://github.com/titu1994/LSTM-FCN,titu1994,Python,802,deep-learning,796.85,796.85,0,50,QueryCoverage excluded from Score (recommended).,True,0.1765,0,1,0.2173,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":38.02,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":796.85,""ScoreFinal"":796.85}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,Codebase for the paper LSTM Fully Convolutional Networks for Time Series Classification,9,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,DLTK/DLTK,https://github.com/DLTK/DLTK,DLTK,Python,1458,deep-learning,794.05,794.05,0,50,QueryCoverage excluded from Score (recommended).,True,0.1481,0,1,0.347,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":133.33,""Lexical"":0.0,""Lang"":250.0,""Stars"":60.72,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":794.05,""ScoreFinal"":794.05}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,Deep Learning Toolkit for Medical Image Analysis,10,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
