experiment_id,AnchorRepo,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,Top1_CandidateRepo,Top5_Candidates
penalty100_min700_cap21,JaidedAI/EasyOCR,Good,1,2,5,30,abdulfatir/twitter-sentiment-analysis,abdulfatir/twitter-sentiment-analysis | Lightning-AI/pytorch-lightning | Hironsan/BossSensor | GabrielDornelles/pytorch-ocr | frgfm/torch-cam
penalty100_min700_cap21,deepspeedai/DeepSpeed,Good,1,3,10,30,hpcaitech/ColossalAI,hpcaitech/ColossalAI | InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | qualcomm/aimet | Lightning-AI/pytorch-lightning
penalty100_min700_cap21,onnx/onnx,Good,1,3,9,30,Lightning-AI/pytorch-lightning,Lightning-AI/pytorch-lightning | google-deepmind/sonnet | kornia/kornia | flwrlabs/flower | stanfordnlp/stanza
penalty100_min700_cap21,serengil/deepface,Good,1,3,11,30,deepinsight/insightface,deepinsight/insightface | Zeyi-Lin/HivisionIDPhotos | Lightning-AI/pytorch-lightning | RangiLyu/nanodet | Lasagne/Lasagne
penalty100_min700_cap21,OpenBB-finance/OpenBB,Good,0,0,0,13,ValueCell-ai/valuecell,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | agno-agi/agno | Michalos88/Quant-Projects
penalty100_min700_cap21,apache/airflow,Good,0,0,0,15,dagster-io/dagster,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | kedro-org/kedro
penalty100_min700_cap21,bbfamily/abu,Good,0,0,1,16,zvtvz/zvt,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
penalty100_min700_cap21,huggingface/datasets,Good,0,0,1,30,Lightning-AI/litgpt,Lightning-AI/litgpt | rohitg00/ai-engineering-from-scratch | jacobgil/pytorch-grad-cam | ludwig-ai/ludwig | mlfoundations/open_clip
penalty100_min700_cap21,huggingface/transformers,Good,0,0,1,30,GradientHQ/parallax,GradientHQ/parallax | sgl-project/sglang | jessevig/bertviz | hiyouga/EasyR1 | vllm-project/vllm
penalty100_min700_cap21,jina-ai/serve,Good,0,0,0,29,bentoml/BentoML,bentoml/BentoML | Netflix/metaflow | rohitg00/ai-engineering-from-scratch | PrefectHQ/fastmcp | agentscope-ai/agentscope
penalty100_min700_cap21,pytorch/pytorch,Good,0,0,7,30,chainer/chainer,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
penalty100_min700_cap21,ray-project/ray,Good,0,0,0,30,google/langextract,google/langextract | NVIDIA/TensorRT-LLM | huggingface/datasets | torchpipe/torchpipe | ludwig-ai/ludwig
penalty100_min700_cap21,sebastianruder/NLP-progress,Good,0,0,0,20,nltk/nltk,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
penalty100_min700_cap21,ultralytics/yolov5,Good,0,0,4,30,Megvii-BaseDetection/YOLOX,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
penalty100_min700_cap21,Lightning-AI/pytorch-lightning,OK,2,4,8,30,keras-team/keras,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | streamlit/streamlit
penalty100_min700_cap21,eriklindernoren/ML-From-Scratch,OK,2,3,8,30,tflearn/tflearn,tflearn/tflearn | mdbloice/Augmentor | unit8co/darts | Lightning-AI/pytorch-lightning | streamlit/streamlit
