experiment_id,description,archived_at,MinimumScore,CrossAnchorFreqPenaltyWeight,MaxPerOwner,MaxPerOwnerPerSubdomain,AnchorsEvaluated,Good,OK,Weak,TotalMagnetsInTop5,MagnetFinal30_pytorch-lightning,MagnetFinal30_keras,MagnetFinal30_streamlit,MagnetFinal30_gradio,MagnetFinal30_spaCy,MagnetFinal30_d2l-zh
penalty100_min700_cap21,penalty=100,2026-05-21T20:53:54.086125+00:00,700,100.0,2,1,20,14,4,2,18,11,12,10,8,9,9
penalty110_min700_cap11,"penalty=110, minScore=700, maxOwner=1, maxOwnerSub=1",2026-05-22T19:08:01.205714+00:00,700,110.0,1,1,20,15,3,2,17,11,12,9,8,8,9
penalty110_min700_cap12,"penalty=110, minScore=700, maxOwner=1, maxOwnerSub=2",2026-05-22T20:03:25.232290+00:00,700,110.0,1,2,20,15,3,2,17,11,12,9,8,8,9
penalty110_min700_cap21,"penalty=110, minScore=700, maxOwner=2, maxOwnerSub=1",2026-05-22T21:03:50.907844+00:00,700,110.0,2,1,20,15,3,2,17,11,12,9,8,8,9
penalty110_min700_cap22,"penalty=110, minScore=700, maxOwner=2, maxOwnerSub=2",2026-05-22T22:01:22.246021+00:00,700,110.0,2,2,20,15,3,2,17,11,12,8,8,8,9
penalty150_min600_cap22,"penalty=150, minScore=600, maxOwner=2, maxOwnerSub=2",2026-05-24T21:46:46.988557+00:00,600,150.0,2,2,20,17,1,2,12,11,12,8,7,6,7
penalty150_min700_cap22,"penalty=150, minScore=700, maxOwner=2, maxOwnerSub=2",2026-05-22T23:03:46.609479+00:00,700,150.0,2,2,20,17,1,2,12,11,12,8,7,6,7
penalty175_min600_cap22,"penalty=175, minScore=600, maxOwner=2, maxOwnerSub=2",2026-05-25T00:22:49.959870+00:00,600,175.0,2,2,20,17,2,1,11,10,10,8,5,6,5
penalty175_min700_cap22,"penalty=175, minScore=700, maxOwner=2, maxOwnerSub=2",2026-05-24T23:26:38.526286+00:00,700,175.0,2,2,20,17,2,1,11,10,10,8,5,6,5
penalty200_min600_cap22,"penalty=200, minScore=600, maxOwner=2, maxOwnerSub=2",2026-05-22T23:58:37.645375+00:00,600,200.0,2,2,20,17,2,1,10,8,9,8,4,5,4
penalty200_min700_cap22,"penalty=200, minScore=700, maxOwner=2, maxOwnerSub=2",2026-05-24T22:28:41.383227+00:00,700,200.0,2,2,20,17,2,1,10,8,9,7,4,5,4
penalty250_min650_cap22,"penalty=250, minScore=650, maxOwner=2, maxOwnerSub=2",2026-05-26T16:51:40.400521+00:00,650,250.0,2,2,20,18,2,0,8,8,8,5,4,5,3
penalty250_min700_cap22,"penalty=250, minScore=700, maxOwner=2, maxOwnerSub=2",2026-05-25T23:36:21.631827+00:00,700,250.0,2,2,20,18,2,0,8,8,8,5,4,5,3
penalty275_min700_cap22,"penalty=275, minScore=700, maxOwner=2, maxOwnerSub=2",2026-05-26T15:03:47.573160+00:00,700,275.0,2,2,20,20,0,0,6,7,8,5,3,4,3
penalty300_min700_cap22,"penalty=300, minScore=700, maxOwner=2, maxOwnerSub=2",2026-05-26T15:59:11.504603+00:00,700,300.0,2,2,20,20,0,0,5,7,8,5,2,3,2
penalty30_min700_cap21,"Run 1 baseline: CrossAnchorFreqPenaltyWeight=30, MinimumScore=700, MaxPerOwner=2, MaxPerOwnerPerSubdomain=1",2026-05-21T00:00:00Z,700,30.0,2,1,20,10,2,8,30,12,12,12,9,11,11
penalty55_min700_cap11,maxOwner=1,2026-05-21T22:42:49.644761+00:00,700,55.0,1,1,20,11,4,5,26,12,12,12,9,10,10
penalty55_min700_cap21,MetaMatch run archived after pipeline (see run_hyperparams.csv in folder),2026-05-21T16:36:01.683196+00:00,700,55.0,2,1,20,11,4,5,26,12,12,12,9,10,10
penalty55_min700_cap21_nofallback,fallback=off,2026-05-21T23:38:02.094992+00:00,700,55.0,2,1,20,11,4,5,26,11,12,11,9,10,10
penalty55_min750_cap21,minScore=750,2026-05-21T21:49:26.422839+00:00,750,55.0,2,1,20,11,4,5,26,12,12,12,9,10,10
penalty75_min700_cap21,penalty=75,2026-05-21T20:00:51.500982+00:00,700,75.0,2,1,20,12,6,2,19,10,10,11,6,8,8
