"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"chrisranderson/beholder","https://github.com/chrisranderson/beholder","chrisranderson","Python","463","False","False","6/26/2017 3:10:39 PM","11/14/2025 3:44:09 PM","A TensorBoard plugin for visualizing arbitrary tensors in a video as your network trains.","neural-networks;tensorboard;tensorflow;video;visualization","tensors language:Python stars:>=50"
"PaddlePaddle/PaddleOCR","https://github.com/PaddlePaddle/PaddleOCR","PaddlePaddle","Python","78361","False","False","5/8/2020 10:38:16 AM","5/22/2026 6:14:40 PM","Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages.","ai4science;chineseocr;document-parsing;document-translation;kie;ocr;paddleocr-vl;pdf-extractor-rag;pdf-parser;pdf2markdown;pp-ocr;pp-structure;rag","p language:Python stars:>=50"
"tensorflow/tensorflow","https://github.com/tensorflow/tensorflow","tensorflow","C++","195233","False","False","11/7/2015 1:19:20 AM","5/22/2026 5:45:36 PM","An Open Source Machine Learning Framework for Everyone","deep-learning;deep-neural-networks;distributed;machine-learning;ml;neural-network;python;tensorflow","topic:deep-learning stars:>=100"
"explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33601","False","False","7/3/2014 3:15:40 PM","5/22/2026 5:18:33 PM","💫 Industrial-strength Natural Language Processing (NLP) in Python","ai;artificial-intelligence;cython;data-science;deep-learning;entity-linking;machine-learning;named-entity-recognition;natural-language-processing;neural-network;neural-networks;nlp;nlp-library;python;spacy;text-classification;tokenization","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"pyg-team/pytorch_geometric","https://github.com/pyg-team/pytorch_geometric","pyg-team","Python","23778","False","False","10/6/2017 4:03:03 PM","5/22/2026 3:57:42 PM","Graph Neural Network Library for PyTorch","deep-learning;geometric-deep-learning;graph-convolutional-networks;graph-neural-networks;pytorch","topic:deep-learning language:Python stars:>=50 | p language:Python stars:>=50"
"flashinfer-ai/flashinfer","https://github.com/flashinfer-ai/flashinfer","flashinfer-ai","Python","5659","False","False","7/22/2023 12:29:04 AM","5/22/2026 5:06:12 PM","FlashInfer: Kernel Library for LLM Serving","attention;cuda;distributed-inference;gpu;jit;large-large-models;llm-inference;moe;nvidia;pytorch","topic:gpu language:Python stars:>=50"
"zetane/viewer","https://github.com/zetane/viewer","zetane","Python","1788","False","False","2/17/2021 4:12:05 PM","5/22/2026 1:51:57 PM","ML models and internal tensors 3D visualizer","","tensors language:Python stars:>=50"
"mli/paper-reading","https://github.com/mli/paper-reading","mli","","33322","False","False","10/22/2021 6:34:51 AM","5/22/2026 4:02:45 PM","深度学习经典、新论文逐段精读","deep-learning;paper;reading-list","topic:deep-learning stars:>=100"
"openai/openai-python","https://github.com/openai/openai-python","openai","Python","30818","False","False","10/25/2020 11:23:54 PM","5/22/2026 3:56:43 PM","The official Python library for the OpenAI API","openai;python","p language:Python stars:>=50"
"johnmarktaylor91/torchlens","https://github.com/johnmarktaylor91/torchlens","johnmarktaylor91","Python","642","False","False","10/14/2022 1:24:55 AM","5/13/2026 4:18:59 AM","Package for extracting and mapping the results of every single tensor operation in a PyTorch model in one line of code. ","","tensors language:Python stars:>=50"
