"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"onnx/onnx","https://github.com/onnx/onnx","google-deepmind/sonnet","https://github.com/google-deepmind/sonnet","google-deepmind","Python","9918","deep-learning","926.99","1003.88","76.89","50","QueryCoverage excluded from Score (recommended).","True","0.2857","0","1","0.8385","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":257.14,""Lexical"":0.0,""Lang"":250.0,""Stars"":146.74,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":76.89,""ScoreBase"":1003.88,""ScoreFinal"":926.99}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","TensorFlow-based neural network library","1"
"onnx/onnx","https://github.com/onnx/onnx","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31153","deep-learning","921.69","1059.77","138.08","150","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.913","1","1","1","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":159.77,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":138.08,""ScoreBase"":1059.77,""ScoreFinal"":921.69}","Score>=MinimumScore","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.","2"
"onnx/onnx","https://github.com/onnx/onnx","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11210","deep-learning","911.35","988.23","76.89","50","QueryCoverage excluded from Score (recommended).","True","0.2632","0","1","0.8651","1","1","0.3333","Lang+Topic+Subdomain","{""Topic"":236.84,""Lexical"":0.0,""Lang"":250.0,""Stars"":151.39,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":76.89,""ScoreBase"":988.23,""ScoreFinal"":911.35}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI","3"
"onnx/onnx","https://github.com/onnx/onnx","flwrlabs/flower","https://github.com/flwrlabs/flower","flwrlabs","Python","6914","deep-learning","889.74","975.34","85.6","50","QueryCoverage excluded from Score (recommended).","True","0.2692","0","1","0.7602","1","1","0.3333","Lang+Topic+Subdomain","{""Topic"":242.31,""Lexical"":0.0,""Lang"":250.0,""Stars"":133.03,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":85.6,""ScoreBase"":975.34,""ScoreFinal"":889.74}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","Flower: A Friendly Federated AI Framework","4"
"onnx/onnx","https://github.com/onnx/onnx","stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","stanfordnlp","Python","7797","deep-learning","841.47","927.07","85.6","50","QueryCoverage excluded from Score (recommended).","True","0.2105","0","1","0.7863","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":189.47,""Lexical"":0.0,""Lang"":250.0,""Stars"":137.6,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":85.6,""ScoreBase"":927.07,""ScoreFinal"":841.47}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages","5"
"onnx/onnx","https://github.com/onnx/onnx","google/magika","https://github.com/google/magika","google","Python","17035","deep-learning","826.78","926.12","99.34","50","QueryCoverage excluded from Score (recommended).","True","0.1765","0","1","0.956","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":167.29,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":99.34,""ScoreBase"":926.12,""ScoreFinal"":826.78}","Score>=MinimumScore","topic:deep-learning language:Python stars:>=50","Fast and accurate AI powered file content types detection ","6"
"onnx/onnx","https://github.com/onnx/onnx","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57416","deep-learning","818.37","950.82","132.45","100","QueryCoverage excluded from Score (recommended).","True","0.2381","0","1","0.7802","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":214.29,""Lexical"":0.0,""Lang"":250.0,""Stars"":136.54,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":132.45,""ScoreBase"":950.82,""ScoreFinal"":818.37}","Score>=MinimumScore","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite","7"
"onnx/onnx","https://github.com/onnx/onnx","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64080","deep-learning","808.78","944.13","135.35","100","QueryCoverage excluded from Score (recommended).","True","0.2353","0","1","0.7564","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":211.76,""Lexical"":0.0,""Lang"":250.0,""Stars"":132.36,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":135.35,""ScoreBase"":944.13,""ScoreFinal"":808.78}","Score>=MinimumScore","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans","8"
"onnx/onnx","https://github.com/onnx/onnx","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33601","deep-learning","798.82","936.9","138.08","150","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.8965","1","1","1","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":156.9,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":138.08,""ScoreBase"":936.9,""ScoreFinal"":798.82}","Score>=MinimumScore","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python","9"
"onnx/onnx","https://github.com/onnx/onnx","lucidrains/DALLE2-pytorch","https://github.com/lucidrains/DALLE2-pytorch","lucidrains","Python","11317","deep-learning","794.73","880.32","85.6","50","QueryCoverage excluded from Score (recommended).","True","0.1429","0","1","0.8672","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":151.75,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":85.6,""ScoreBase"":880.32,""ScoreFinal"":794.73}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","Implementation of DALL-E 2, OpenAI's updated text-to-image synthesis neural network,  in Pytorch","10"
