"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","InterDigitalInc/CompressAI","https://github.com/InterDigitalInc/CompressAI","InterDigitalInc","Python","1584","deep-learning","875.11","875.11","0","50","QueryCoverage excluded from Score (recommended).","True","0.25","0","1","0.2864","1","1","0.3333","Lang+Topic+Subdomain","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":50.11,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":875.11,""ScoreFinal"":875.11}","Score>=MinimumScore","topic:compression language:Python stars:>=50","A PyTorch library and evaluation platform for end-to-end compression research","1"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","alibaba/EasyParallelLibrary","https://github.com/alibaba/EasyParallelLibrary","alibaba","Python","271","deep-learning","875","875","0","50","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0","0.8","1","0.3333","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":875.0,""ScoreFinal"":875.0}","Score>=MinimumScore","topic:data-parallelism language:Python stars:>=50","Easy Parallel Library (EPL) is a general and efficient deep learning framework for distributed model training.","2"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","hpcaitech/ColossalAI","https://github.com/hpcaitech/ColossalAI","hpcaitech","Python","41393","deep-learning","814.53","999.09","184.57","100","QueryCoverage excluded from Score (recommended).","True","0.25","0","1","0.9948","1","1","0.6667","Lang+Topic+Subdomain","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":174.09,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":184.57,""ScoreBase"":999.09,""ScoreFinal"":814.53}","Score>=MinimumScore","topic:data-parallelism language:Python stars:>=50 | topic:deep-learning stars:>=100","Making large AI models cheaper, faster and more accessible","3"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","qualcomm/aimet","https://github.com/qualcomm/aimet","qualcomm","Python","2622","deep-learning","797.83","797.83","0","50","QueryCoverage excluded from Score (recommended).","True","0.1429","0","1","0.3958","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":69.26,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":797.83,""ScoreFinal"":797.83}","Score>=MinimumScore","topic:compression language:Python stars:>=50","AIMET is a library that provides advanced quantization and compression techniques for trained neural network models.","4"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","tensorflow/compression","https://github.com/tensorflow/compression","tensorflow","Python","918","deep-learning","771.51","771.51","0","50","QueryCoverage excluded from Score (recommended).","True","0.1579","0","1","0.168","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":142.11,""Lexical"":0.0,""Lang"":250.0,""Stars"":29.4,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":771.51,""ScoreFinal"":771.51}","Score>=MinimumScore","topic:compression language:Python stars:>=50","Data compression in TensorFlow","5"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","DuaneNielsen/DeepInfomaxPytorch","https://github.com/DuaneNielsen/DeepInfomaxPytorch","DuaneNielsen","Python","321","deep-learning","767.86","767.86","0","50","QueryCoverage excluded from Score (recommended).","True","0.2143","0","1","0","0.8","1","0.3333","Lang+Subdomain+Topic","{""Topic"":192.86,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":767.86,""ScoreFinal"":767.86}","Score>=MinimumScore","topic:compression language:Python stars:>=50","Learning deep representations by mutual information estimation and maximization","6"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","tensorflow/model-optimization","https://github.com/tensorflow/model-optimization","tensorflow","Python","1570","deep-learning","762.28","762.28","0","50","QueryCoverage excluded from Score (recommended).","True","0.125","0","1","0.2844","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":112.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":49.78,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":762.28,""ScoreFinal"":762.28}","Score>=MinimumScore","topic:compression language:Python stars:>=50","A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning.","7"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31152","deep-learning","733.83","922.12","188.29","50","QueryCoverage excluded from Score (recommended).","True","0.1765","0","1","0.9331","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":163.29,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":188.29,""ScoreBase"":922.12,""ScoreFinal"":733.83}","Score>=MinimumScore","topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.","8"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","mit-han-lab/gan-compression","https://github.com/mit-han-lab/gan-compression","mit-han-lab","Python","1118","deep-learning","731.62","731.62","0","50","QueryCoverage excluded from Score (recommended).","True","0.1053","0","1","0.2108","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":94.74,""Lexical"":0.0,""Lang"":250.0,""Stars"":36.88,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":731.62,""ScoreFinal"":731.62}","Score>=MinimumScore","topic:compression language:Python stars:>=50","[CVPR 2020] GAN Compression: Efficient Architectures for Interactive Conditional GANs","9"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","caoscott/SReC","https://github.com/caoscott/SReC","caoscott","Python","1052","deep-learning","729.57","729.57","0","50","QueryCoverage excluded from Score (recommended).","True","0.1333","0","1","0.1976","0.8","1","0.3333","Lang+Subdomain+Topic","{""Topic"":120.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":34.57,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":729.57,""ScoreFinal"":729.57}","Score>=MinimumScore","topic:compression language:Python stars:>=50","PyTorch Implementation of ""Lossless Image Compression through Super-Resolution""","10"
