CandidateRepo,Frequency,PctOfAnchors,Source
keras-team/keras,12,60.0,30_Matches_final
Lightning-AI/pytorch-lightning,11,55.0,30_Matches_final
JaidedAI/EasyOCR,9,45.0,30_Matches_final
streamlit/streamlit,8,40.0,30_Matches_final
CorentinJ/Real-Time-Voice-Cloning,7,35.0,30_Matches_final
d2l-ai/d2l-zh,7,35.0,30_Matches_final
eriklindernoren/ML-From-Scratch,7,35.0,30_Matches_final
gradio-app/gradio,7,35.0,30_Matches_final
recommenders-team/recommenders,7,35.0,30_Matches_final
voxel51/fiftyone,7,35.0,30_Matches_final
explosion/spaCy,6,30.0,30_Matches_final
autogluon/autogluon,5,25.0,30_Matches_final
onnx/onnx,5,25.0,30_Matches_final
piskvorky/gensim,5,25.0,30_Matches_final
pyg-team/pytorch_geometric,5,25.0,30_Matches_final
pytorch/pytorch,5,25.0,30_Matches_final
roboflow/supervision,5,25.0,30_Matches_final
tflearn/tflearn,5,25.0,30_Matches_final
unit8co/darts,5,25.0,30_Matches_final
wandb/wandb,5,25.0,30_Matches_final
Comfy-Org/ComfyUI,4,20.0,30_Matches_final
Data-Centric-AI-Community/fg-data-profiling,4,20.0,30_Matches_final
babysor/MockingBird,4,20.0,30_Matches_final
deezer/spleeter,4,20.0,30_Matches_final
flwrlabs/flower,4,20.0,30_Matches_final
google-deepmind/sonnet,4,20.0,30_Matches_final
kornia/kornia,4,20.0,30_Matches_final
lucidrains/DALLE2-pytorch,4,20.0,30_Matches_final
lucidrains/denoising-diffusion-pytorch,4,20.0,30_Matches_final
stanfordnlp/stanza,4,20.0,30_Matches_final
ultralytics/yolov5,4,20.0,30_Matches_final
yzhao062/pyod,4,20.0,30_Matches_final
WZMIAOMIAO/deep-learning-for-image-processing,3,15.0,30_Matches_final
WenjieDu/PyPOTS,3,15.0,30_Matches_final
deepspeedai/DeepSpeed,3,15.0,30_Matches_final
google/langextract,3,15.0,30_Matches_final
lucidrains/imagen-pytorch,3,15.0,30_Matches_final
microsoft/qlib,3,15.0,30_Matches_final
sepandhaghighi/pycm,3,15.0,30_Matches_final
ultralytics/ultralytics,3,15.0,30_Matches_final
2noise/ChatTTS,2,10.0,30_Matches_final
BerriAI/litellm,2,10.0,30_Matches_final
Minqi824/ADBench,2,10.0,30_Matches_final
NannyML/nannyml,2,10.0,30_Matches_final
OlafenwaMoses/ImageAI,2,10.0,30_Matches_final
TencentARC/GFPGAN,2,10.0,30_Matches_final
TransformerOptimus/SuperAGI,2,10.0,30_Matches_final
apache/tvm,2,10.0,30_Matches_final
arc53/DocsGPT,2,10.0,30_Matches_final
arogozhnikov/einops,2,10.0,30_Matches_final
browser-use/browser-use,2,10.0,30_Matches_final
deepcam-cn/yolov5-face,2,10.0,30_Matches_final
deepinsight/insightface,2,10.0,30_Matches_final
edtechre/pybroker,2,10.0,30_Matches_final
google/magika,2,10.0,30_Matches_final
hpcaitech/ColossalAI,2,10.0,30_Matches_final
jacobgil/pytorch-grad-cam,2,10.0,30_Matches_final
ludwig-ai/ludwig,2,10.0,30_Matches_final
microsoft/JARVIS,2,10.0,30_Matches_final
nidhaloff/igel,2,10.0,30_Matches_final
reflex-dev/reflex,2,10.0,30_Matches_final
rohitg00/ai-engineering-from-scratch,2,10.0,30_Matches_final
run-llama/llama_index,2,10.0,30_Matches_final
scikit-learn/scikit-learn,2,10.0,30_Matches_final
serengil/deepface,2,10.0,30_Matches_final
sgl-project/sglang,2,10.0,30_Matches_final
tirth8205/code-review-graph,2,10.0,30_Matches_final
usestrix/strix,2,10.0,30_Matches_final
vllm-project/vllm,2,10.0,30_Matches_final
xorbitsai/inference,2,10.0,30_Matches_final
0x4m4/hexstrike-ai,1,5.0,30_Matches_final
1adrianb/face-alignment,1,5.0,30_Matches_final
4uiiurz1/keras-arcface,1,5.0,30_Matches_final
AI4Finance-Foundation/ElegantRL,1,5.0,30_Matches_final
AIGC-Audio/AudioGPT,1,5.0,30_Matches_final
AkiRusProd/numpy-nn-model,1,5.0,30_Matches_final
Alibaba-NLP/DeepResearch,1,5.0,30_Matches_final
Avaiga/taipy,1,5.0,30_Matches_final
BasPH/data-pipelines-with-apache-airflow,1,5.0,30_Matches_final
BlinkDL/RWKV-LM,1,5.0,30_Matches_final
CLUEbenchmark/CLUEDatasetSearch,1,5.0,30_Matches_final
Cadene/pretrained-models.pytorch,1,5.0,30_Matches_final
Canner/WrenAI,1,5.0,30_Matches_final
Chainlit/chainlit,1,5.0,30_Matches_final
CryptoSignal/Crypto-Signal,1,5.0,30_Matches_final
DA-southampton/NLP_ability,1,5.0,30_Matches_final
DLR-RM/stable-baselines3,1,5.0,30_Matches_final
DLTK/DLTK,1,5.0,30_Matches_final
Daniil-Osokin/lightweight-human-pose-estimation.pytorch,1,5.0,30_Matches_final
DanilBaibak/ml-in-production,1,5.0,30_Matches_final
DaoCloud/DaoCloud-docs,1,5.0,30_Matches_final
DeepVAC/deepvac,1,5.0,30_Matches_final
DuaneNielsen/DeepInfomaxPytorch,1,5.0,30_Matches_final
DuyNguDao/Identity-Action,1,5.0,30_Matches_final
ELS-RD/transformer-deploy,1,5.0,30_Matches_final
EverMind-AI/EverOS,1,5.0,30_Matches_final
Farama-Foundation/Gymnasium,1,5.0,30_Matches_final
Flame-Code-VLM/Flame-Code-VLM,1,5.0,30_Matches_final
Fosowl/agenticSeek,1,5.0,30_Matches_final
FoundationAgents/MetaGPT,1,5.0,30_Matches_final
FreedomIntelligence/TextClassificationBenchmark,1,5.0,30_Matches_final
FunAudioLLM/Fun-ASR,1,5.0,30_Matches_final
GabrielDornelles/pytorch-ocr,1,5.0,30_Matches_final
GradientHQ/parallax,1,5.0,30_Matches_final
HKUDS/LightRAG,1,5.0,30_Matches_final
HKUDS/OpenHarness,1,5.0,30_Matches_final
HKUDS/RAG-Anything,1,5.0,30_Matches_final
HKUDS/Vibe-Trading,1,5.0,30_Matches_final
Heerozh/spectre,1,5.0,30_Matches_final
Helsinki-NLP/Opus-MT,1,5.0,30_Matches_final
Hironsan/BossSensor,1,5.0,30_Matches_final
IBM/unitxt,1,5.0,30_Matches_final
IgorSusmelj/pytorch-styleguide,1,5.0,30_Matches_final
Imbad0202/academic-research-skills,1,5.0,30_Matches_final
InterDigitalInc/CompressAI,1,5.0,30_Matches_final
JerBouma/FinanceToolkit,1,5.0,30_Matches_final
Jittor/jittor,1,5.0,30_Matches_final
LambdaLabsML/distributed-training-guide,1,5.0,30_Matches_final
Lasagne/Lasagne,1,5.0,30_Matches_final
Lightning-AI/litgpt,1,5.0,30_Matches_final
Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,1,5.0,30_Matches_final
Maluuba/nlg-eval,1,5.0,30_Matches_final
Matteo-Ferrara/gex-tracker,1,5.0,30_Matches_final
Megvii-BaseDetection/YOLOX,1,5.0,30_Matches_final
Michalos88/Quant-Projects,1,5.0,30_Matches_final
ModelTC/LightCompress,1,5.0,30_Matches_final
NVIDIA-Merlin/NVTabular,1,5.0,30_Matches_final
NVIDIA/TensorRT-LLM,1,5.0,30_Matches_final
Netflix/metaflow,1,5.0,30_Matches_final
Nota-NetsPresso/BK-SDM,1,5.0,30_Matches_final
OpenBMB/UltraRAG,1,5.0,30_Matches_final
OpenBMB/VoxCPM,1,5.0,30_Matches_final
OpenMOSS/CoLLiE,1,5.0,30_Matches_final
OpenRLHF/OpenRLHF,1,5.0,30_Matches_final
OpenSPG/KAG,1,5.0,30_Matches_final
PINTO0309/HeadPoseEstimation-WHENet-yolov4-onnx-openvino,1,5.0,30_Matches_final
PINTO0309/PINTO_model_zoo,1,5.0,30_Matches_final
PaddlePaddle/PaddleDetection,1,5.0,30_Matches_final
PaddlePaddle/Research,1,5.0,30_Matches_final
Panniantong/Agent-Reach,1,5.0,30_Matches_final
PennyLaneAI/pennylane,1,5.0,30_Matches_final
PeterH0323/Smart_Construction,1,5.0,30_Matches_final
PeterL1n/RobustVideoMatting,1,5.0,30_Matches_final
PrefectHQ/fastmcp,1,5.0,30_Matches_final
ROCm/Tensile,1,5.0,30_Matches_final
RangiLyu/nanodet,1,5.0,30_Matches_final
