"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"NousResearch/hermes-agent","https://github.com/NousResearch/hermes-agent","NousResearch","Python","163098","False","False","7/22/2025 10:22:28 PM","5/22/2026 10:42:16 PM","The agent that grows with you","ai;ai-agent;ai-agents;anthropic;chatgpt;claude;claude-code;clawdbot;codex;hermes;hermes-agent;llm;moltbot;nous-research;openai;openclaw","topic:ai language:Python stars:>=50"
"eugeneyan/applied-ml","https://github.com/eugeneyan/applied-ml","eugeneyan","","29360","False","False","7/4/2020 6:57:47 PM","5/22/2026 10:31:14 PM","📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.","applied-data-science;applied-machine-learning;computer-vision;data-discovery;data-engineering;data-quality;data-science;deep-learning;machine-learning;natural-language-processing;production;recsys;reinforcement-learning;search","topic:deep-learning stars:>=100"
"snap-stanford/pretrain-gnns","https://github.com/snap-stanford/pretrain-gnns","snap-stanford","Python","1061","False","False","1/30/2020 10:12:41 PM","5/21/2026 5:44:07 PM","Strategies for Pre-training Graph Neural Networks","graph-neural-networks;graph-representation-learning","pretrain language:Python stars:>=50"
"pymupdf/PyMuPDF","https://github.com/pymupdf/PyMuPDF","pymupdf","Python","9777","False","False","10/6/2012 6:54:25 PM","5/22/2026 6:44:28 PM","PyMuPDF is a high performance Python library for data extraction, analysis, conversion & manipulation of PDF (and other) documents.","data-science;epub;extract-data;font;mupdf;ocr;pdf;pdf-documents;pymupdf;python;table-extraction;tesseract;text-processing;text-shaping;xps","topic:data-science language:Python stars:>=50"
"hacksider/Deep-Live-Cam","https://github.com/hacksider/Deep-Live-Cam","hacksider","Python","93290","False","False","9/24/2023 1:19:31 PM","5/22/2026 9:21:06 PM","real time face swap and one-click video deepfake with only a single image","ai;ai-deep-fake;ai-face;ai-webcam;artificial-intelligence;deep-fake;deepfake;deepfake-webcam;faceswap;fake-webcam;gan;real-time-deepfake;realtime;realtime-deepfake;realtime-face-changer;video-deepfake;webcam;webcamera","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50"
"usestrix/strix","https://github.com/usestrix/strix","usestrix","Python","25544","False","False","8/5/2025 9:28:30 PM","5/22/2026 9:23:17 PM","Open-source AI hackers to find and fix your app’s vulnerabilities.","agents;artificial-intelligence;cybersecurity;generative-ai;llm;penetration-testing","topic:artificial-intelligence language:Python stars:>=50"
"yzhao062/pyod","https://github.com/yzhao062/pyod","yzhao062","Python","9854","False","False","10/3/2017 8:29:04 PM","5/22/2026 10:50:07 AM","A Python library for anomaly detection across tabular, time series, graph, text, and image data. 60+ detectors, benchmark-backed ADEngine orchestration, and an agentic workflow for AI agents.","agentic-ai;anomaly-detection;data-mining;data-science;deep-learning;foundation-models;fraud-detection;graph-anomaly-detection;image-anomaly-detection;machine-learning;multimodal;nlp-anomaly-detection;novelty-detection;out-of-distribution-detection;outlier-detection;outlier-ensembles;time-series;time-series-anomaly-detection;unsupervised-learning","topic:data-science language:Python stars:>=50"
"treeverse/dvc","https://github.com/treeverse/dvc","treeverse","Python","15620","False","False","3/4/2017 8:16:33 AM","5/22/2026 5:28:12 PM","🦉 Data Versioning and ML Experiments","ai;data-science;data-version-control;developer-tools;machine-learning;reproducibility;unstructured-data","topic:data-science language:Python stars:>=50"
"onyx-dot-app/onyx","https://github.com/onyx-dot-app/onyx","onyx-dot-app","Python","29599","False","False","4/27/2023 6:04:01 AM","5/22/2026 10:42:08 PM","Open Source AI Platform - AI Chat with advanced features that works with every LLM","ai;ai-chat;chatgpt;chatui;enterprise-search;gen-ai;information-retrieval;llm;llm-ui;nextjs;python;rag;self-hosted;vector-search","topic:ai language:Python stars:>=50"
"khoj-ai/khoj","https://github.com/khoj-ai/khoj","khoj-ai","Python","34661","False","False","8/16/2021 1:48:44 AM","5/22/2026 9:26:09 PM","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.","agent;ai;assistant;chat;chatgpt;emacs;image-generation;llama3;llamacpp;llm;obsidian;obsidian-md;offline-llm;productivity;rag;research;self-hosted;semantic-search;stt;whatsapp-ai","topic:ai language:Python stars:>=50"
