"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"mikel-brostrom/boxmot","https://github.com/mikel-brostrom/boxmot","mikel-brostrom","Python","8174","False","False","6/26/2020 9:26:23 AM","5/22/2026 7:46:28 AM","BoxMOT: Pluggable python and c++ SOTA multi-object tracking modules with support for axis-aligned and oriented bounding boxes","boosttrack;botsort;bytetrack;deep-learning;deepocsort;machine-learning;mot;mots;multi-object-tracking;multi-object-tracking-segmentation;ocsort;oriented-bounding-box-tracking;segmentation;strongsort;tensorrt;tracking-by-detection;yolo","track language:Python stars:>=50"
"roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","39482","False","False","11/28/2022 2:08:44 PM","5/22/2026 8:46:32 PM","We write your reusable computer vision tools. 💜","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","topic:machine-learning language:Python stars:>=50"
"skywalker023/sodaverse","https://github.com/skywalker023/sodaverse","skywalker023","Python","241","False","False","12/14/2022 7:11:03 PM","5/4/2026 5:23:02 PM","🥤🧑🏻‍🚀Code and dataset for our EMNLP 2023 paper - ""SODA: Million-scale Dialogue Distillation with Social Commonsense Contextualization""","chatgpt;commonsense;dataset;dataset-creation;dialogue;dialogue-generation;dialogue-system;gpt-3","topic:dialogue language:Python stars:>=50"
"hankcs/HanLP","https://github.com/hankcs/HanLP","hankcs","Python","36318","False","False","10/9/2014 6:36:16 AM","5/22/2026 4:00:03 PM","Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification","dependency-parser;hanlp;named-entity-recognition;natural-language-processing;nlp;pos-tagging;semantic-parsing;text-classification","nlp language:Python stars:>=50 | topic:nlp stars:>=100"
"MaartenGr/BERTopic","https://github.com/MaartenGr/BERTopic","MaartenGr","Python","7628","False","False","9/22/2020 2:19:29 PM","5/22/2026 4:01:06 PM","Leveraging BERT and c-TF-IDF to create easily interpretable topics. ","bert;ldavis;machine-learning;nlp;sentence-embeddings;topic;topic-modeling;topic-modelling;topic-models;transformers","nlp language:Python stars:>=50"
"skywalker023/prosocial-dialog","https://github.com/skywalker023/prosocial-dialog","skywalker023","Python","67","False","False","5/15/2022 7:52:21 AM","5/12/2026 8:23:51 PM","🐥 Code and Dataset for our EMNLP 2022 paper - ""ProsocialDialog: A Prosocial Backbone for Conversational Agents""","dataset;dialogue;dialogue-systems;nlp","topic:dialogue language:Python stars:>=50"
"Maluuba/GeNeVA","https://github.com/Maluuba/GeNeVA","Maluuba","Python","85","False","False","9/18/2019 6:11:14 PM","8/12/2024 7:53:08 PM","Code to train and evaluate the GeNeVA-GAN model for the GeNeVA task proposed in our ICCV 2019 paper ""Tell, Draw, and Repeat: Generating and modifying images based on continual linguistic instruction""","chatpainter;codraw;dialogue;gan;generative-adversarial-networks;generative-neural-visual-artist;geneva;geneva-gan;i-clevr;iccv;iccv-2019;iccv2019;interactive-generative-art;interactive-image-generation;keep-drawing-it;tell-draw-repeat","topic:dialogue language:Python stars:>=50"
"DengBoCong/nlp-paper","https://github.com/DengBoCong/nlp-paper","DengBoCong","Python","1331","False","False","9/5/2020 8:37:15 AM","5/20/2026 6:29:30 AM","自然语言处理领域下的相关论文（附阅读笔记），复现模型以及数据处理等（代码含TensorFlow和PyTorch两版本）","bert;dialogue;nlp;nlp-machine-learning;paper;pytorch;speech;tensorflow2","topic:dialogue language:Python stars:>=50"
"virgili0/Virgilio","https://github.com/virgili0/Virgilio","virgili0","Jupyter Notebook","14339","False","False","3/12/2019 6:45:36 PM","5/22/2026 3:29:53 AM","Your new Mentor for Data Science E-Learning.","business-intelligence;computer-vision;data-science;datascience;guide;guidelines;hacktoberfest;learning;learning-python;machine-learning;machine-vision;nlp;path;python;scikit-learn;statistics;study;studypath;tensorflow;virgilio","topic:nlp stars:>=100"
"cylnlp/dialogsum","https://github.com/cylnlp/dialogsum","cylnlp","Python","184","False","False","5/12/2021 10:31:17 AM","4/30/2026 2:56:24 PM","DialogSum: A Real-life Scenario Dialogue Summarization Dataset - Findings of ACL 2021","dataset;dialogue;nlp;summarization","topic:dialogue language:Python stars:>=50"
"DigitalPhonetics/adviser","https://github.com/DigitalPhonetics/adviser","DigitalPhonetics","Python","61","False","False","7/31/2019 7:13:19 AM","2/25/2026 9:58:48 PM","ADvISER is a flexible framework to encourage task-oriented dialog system research & development ","dialogue;dialogue-systems;framework;machine-learning;multimodal;reinforcement-learning;task-oriented-dialogue;toolkit","topic:dialogue language:Python stars:>=50"
"chunyuanY/Dialogue","https://github.com/chunyuanY/Dialogue","chunyuanY","Python","63","False","False","8/29/2019 3:25:23 AM","8/7/2025 12:24:20 PM","","dialogue;nlp","topic:dialogue language:Python stars:>=50"
