"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"apache/airflow","https://github.com/apache/airflow","dagster-io/dagster","https://github.com/dagster-io/dagster","dagster-io","Python","15565","mlops","988.68","1146.72","158.04","50","QueryCoverage excluded from Score (recommended).","True","0.4583","0","1","0.767","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":412.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":134.22,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":158.04,""ScoreBase"":1146.72,""ScoreFinal"":988.68}","Score>=MinimumScore","topic:mlops stars:>=100","An orchestration platform for the development, production, and observation of data assets.","1"
"apache/airflow","https://github.com/apache/airflow","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","7050","mlops","884.13","884.13","0","50","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.595","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":104.13,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":884.13,""ScoreFinal"":884.13}","Score>=MinimumScore","topic:mlops stars:>=100","The Open Source Feature Store for AI/ML","2"
"apache/airflow","https://github.com/apache/airflow","Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19223","mlops","827.79","933.15","105.36","50","QueryCoverage excluded from Score (recommended).","True","0.2121","0","1","0.8128","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":190.91,""Lexical"":0.0,""Lang"":250.0,""Stars"":142.25,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":105.36,""ScoreBase"":933.15,""ScoreFinal"":827.79}","Score>=MinimumScore","topic:mlops stars:>=100","Turns Data and AI algorithms into production-ready web applications in no time.","3"
"apache/airflow","https://github.com/apache/airflow","abhishek-ch/around-dataengineering","https://github.com/abhishek-ch/around-dataengineering","abhishek-ch","Python","1145","mlops","785.09","785.09","0","50","QueryCoverage excluded from Score (recommended).","True","0.1667","0","1","0.2005","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":35.09,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":785.09,""ScoreFinal"":785.09}","Score>=MinimumScore","topic:airflow language:Python stars:>=50","A Data Engineering & Machine Learning Knowledge Hub","4"
"apache/airflow","https://github.com/apache/airflow","san089/goodreads_etl_pipeline","https://github.com/san089/goodreads_etl_pipeline","san089","Python","1510","mlops","774.17","774.17","0","100","QueryCoverage excluded from Score (recommended).","True","0.1429","0","1","0.2605","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":45.59,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":774.17,""ScoreFinal"":774.17}","Score>=MinimumScore","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50","An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform.","5"
"apache/airflow","https://github.com/apache/airflow","elyra-ai/elyra","https://github.com/elyra-ai/elyra","elyra-ai","Python","1993","mlops","756.13","756.13","0","100","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0.3208","1","1","0.6667","Lang+Subdomain+Recency","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":56.13,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":756.13,""ScoreFinal"":756.13}","Score>=MinimumScore","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50","Elyra extends JupyterLab with an AI centric approach.","6"
"apache/airflow","https://github.com/apache/airflow","DanilBaibak/ml-in-production","https://github.com/DanilBaibak/ml-in-production","DanilBaibak","Python","52","mlops","755","755","0","50","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0","0.8","1","0.3333","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":755.0,""ScoreFinal"":755.0}","Score>=MinimumScore","topic:apache-airflow language:Python stars:>=50","The practical use-cases of how to make your Machine Learning Pipelines robust and reliable using Apache Airflow.","7"
"apache/airflow","https://github.com/apache/airflow","ansible/ansible","https://github.com/ansible/ansible","ansible","Python","68688","mlops","749.54","802.22","52.68","50","QueryCoverage excluded from Score (recommended).","True","0.0476","0","1","0.9106","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":42.86,""Lexical"":0.0,""Lang"":250.0,""Stars"":159.36,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":52.68,""ScoreBase"":802.22,""ScoreFinal"":749.54}","Score>=MinimumScore","a language:Python stars:>=50","Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","8"
"apache/airflow","https://github.com/apache/airflow","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10868","mlops","745.08","828.58","83.5","50","QueryCoverage excluded from Score (recommended).","True","0.12","0","1","0.689","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":108.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":120.58,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":83.5,""ScoreBase"":828.58,""ScoreFinal"":745.08}","Score>=MinimumScore","topic:mlops stars:>=100","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.","9"
"apache/airflow","https://github.com/apache/airflow","couler-proj/couler","https://github.com/couler-proj/couler","couler-proj","Python","944","mlops","725.08","777.76","52.68","100","QueryCoverage excluded from Score (recommended).","True","0.1667","0","1","0.1586","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":27.76,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":52.68,""ScoreBase"":777.76,""ScoreFinal"":725.08}","Score>=MinimumScore","topic:apache-airflow language:Python stars:>=50 | apache language:Python stars:>=50","Unified Interface for Constructing and Managing Workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow.","10"
"apache/airflow","https://github.com/apache/airflow","damklis/DataEngineeringProject","https://github.com/damklis/DataEngineeringProject","damklis","Python","1409","mlops","724.78","724.78","0","50","QueryCoverage excluded from Score (recommended).","True","0.0909","0","1","0.2455","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":81.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":42.97,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":724.78,""ScoreFinal"":724.78}","Score>=MinimumScore","topic:airflow language:Python stars:>=50","Example end to end data engineering project.","11"
"apache/airflow","https://github.com/apache/airflow","mara/mara-pipelines","https://github.com/mara/mara-pipelines","mara","Python","2085","mlops","722.56","775.24","52.68","50","QueryCoverage excluded from Score (recommended).","True","0.1304","0","1","0.3306","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":117.39,""Lexical"":0.0,""Lang"":250.0,""Stars"":57.85,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":52.68,""ScoreBase"":775.24,""ScoreFinal"":722.56}","Score>=MinimumScore","apache language:Python stars:>=50","A lightweight opinionated ETL framework, halfway between plain scripts and Apache Airflow","12"
"apache/airflow","https://github.com/apache/airflow","ris-tlp/audiophile-e2e-pipeline","https://github.com/ris-tlp/audiophile-e2e-pipeline","ris-tlp","Python","269","mlops","717.39","717.39","0","50","QueryCoverage excluded from Score (recommended).","True","0.1304","0","1","0","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":117.39,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":717.39,""ScoreFinal"":717.39}","Score>=MinimumScore","topic:airflow language:Python stars:>=50","Pipeline that extracts data from Crinacle's Headphone and InEarMonitor databases and finalizes data for a Metabase Dashboard. The dashboard is then used to support a purchasing decision of which Headphone / IEM to get.","13"
"apache/airflow","https://github.com/apache/airflow","san089/Udacity-Data-Engineering-Projects","https://github.com/san089/Udacity-Data-Engineering-Projects","san089","Python","1907","mlops","701.83","701.83","0","50","QueryCoverage excluded from Score (recommended).","True","0.0526","0","1","0.3112","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":47.37,""Lexical"":0.0,""Lang"":250.0,""Stars"":54.46,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":701.83,""ScoreFinal"":701.83}","Score>=MinimumScore","topic:airflow language:Python stars:>=50","Few projects related to Data Engineering including Data Modeling, Infrastructure setup on cloud, Data Warehousing and Data Lake development.","14"
"apache/airflow","https://github.com/apache/airflow","argoproj/argo-workflows","https://github.com/argoproj/argo-workflows","argoproj","Go","16698","mlops","690.12","690.12","0","50","QueryCoverage excluded from Score (recommended).","False","0.2258","0","0","0.7823","1","1","0.3333","Subdomain+Topic+Stars","{""Topic"":203.23,""Lexical"":0.0,""Lang"":0.0,""Stars"":136.89,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":690.12,""ScoreFinal"":690.12}","Score<MinimumScore","topic:mlops stars:>=100","Workflow Engine for Kubernetes","15"
"apache/airflow","https://github.com/apache/airflow","behnamyazdan/ecommerce_realtime_data_pipeline","https://github.com/behnamyazdan/ecommerce_realtime_data_pipeline","behnamyazdan","Python","67","mlops","656.25","656.25","0","50","QueryCoverage excluded from Score (recommended).","False","0.0625","0","1","0","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":56.25,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":656.25,""ScoreFinal"":656.25}","Score<MinimumScore","topic:apache-airflow language:Python stars:>=50","Ecommerce Realtime Data Pipeline (Data Modeling, Workflow Orchestration, Change Data Capture, Analytical Database and Dashboarding)","16"
