"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"tinyvision/DAMO-YOLO","https://github.com/tinyvision/DAMO-YOLO","tinyvision","Python","3167","False","False","11/27/2022 2:22:54 PM","5/22/2026 10:12:40 AM","DAMO-YOLO: a fast and accurate object detection method with some new techs, including NAS backbones, efficient RepGFPN, ZeroHead, AlignedOTA, and distillation enhancement.","damo-yolo;deep-learning;imagenet;nas;object-detection;onnx;pytorch;tensorrt;yolo;yolov5","yolov5 language:Python stars:>=50 | y language:Python stars:>=50"
"kislyuk/yq","https://github.com/kislyuk/yq","kislyuk","Python","2943","False","False","1/13/2017 9:30:19 PM","5/24/2026 4:12:01 PM","Command-line YAML, XML, TOML processor - jq wrapper for YAML/XML/TOML documents","cli;command-line;jq;json;xml;yaml;yml","y language:Python stars:>=50"
"autodistill/autodistill","https://github.com/autodistill/autodistill","autodistill","Python","2701","False","False","6/6/2023 8:16:41 PM","5/23/2026 4:04:09 PM","Images to inference with no labeling (use foundation models to train supervised models).","auto-labeling;computer-vision;deep-learning;foundation-models;grounding-dino;image-annotation;image-classification;instance-segmentation;labeling-tool;machine-learning;model-distillation;multimodal;object-detection;pytorch;segment-anything;yolov5;yolov8","yolov5 language:Python stars:>=50"
"CMU-Perceptual-Computing-Lab/openpose","https://github.com/CMU-Perceptual-Computing-Lab/openpose","CMU-Perceptual-Computing-Lab","C++","34101","False","False","4/24/2017 2:06:31 PM","5/24/2026 7:23:37 PM","OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation","caffe;computer-vision;cpp;cvpr-2017;deep-learning;face;foot-estimation;hand-estimation;human-behavior-understanding;human-pose;human-pose-estimation;keypoint-detection;keypoints;machine-learning;multi-person;opencv;openpose;pose;pose-estimation;real-time","topic:deep-learning stars:>=100"
"Megvii-BaseDetection/YOLOX","https://github.com/Megvii-BaseDetection/YOLOX","Megvii-BaseDetection","Python","10466","False","False","7/17/2021 2:01:45 AM","5/24/2026 5:29:30 PM","YOLOX is a high-performance anchor-free YOLO, exceeding yolov3~v5 with MegEngine, ONNX, TensorRT, ncnn, and OpenVINO supported. Documentation: https://yolox.readthedocs.io/","deep-learning;megengine;ncnn;object-detection;onnx;openvino;pytorch;tensorrt;yolo;yolov3;yolox","y language:Python stars:>=50"
"mouredev/hello-sql","https://github.com/mouredev/hello-sql","mouredev","Python","9501","False","False","10/5/2023 10:51:20 AM","5/24/2026 2:49:55 PM","Curso para aprender los fundamentos del lenguaje SQL y bases de datos relacionales desde cero y para principiantes.","basesdedatos;curso;database;mysql;postgresql;sql;tutorial","y language:Python stars:>=50"
"microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","43429","False","False","8/14/2020 6:46:00 AM","5/24/2026 10:05:22 PM","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.","algorithmic-trading;auto-quant;deep-learning;finance;fintech;investment;machine-learning;paper;platform;python;quant;quant-dataset;quant-models;quantitative-finance;quantitative-trading;research;research-paper;stock-data","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"doronz88/pymobiledevice3","https://github.com/doronz88/pymobiledevice3","doronz88","Python","2344","False","False","4/14/2021 12:53:51 PM","5/24/2026 9:57:43 PM","Pure python3 implementation for working with iDevices (iPhone, etc...).","afc;instruments;ios;libimobiledevice;lockdown-services;lockdownd;protocol;python;python3;usbmux","topic:ios language:Python stars:>=50"
"DistrictDataLabs/yellowbrick","https://github.com/DistrictDataLabs/yellowbrick","DistrictDataLabs","Python","4397","False","False","5/18/2016 2:12:17 PM","5/20/2026 11:13:54 PM","Visual analysis and diagnostic tools to facilitate machine learning model selection.","anaconda;estimator;machine-learning;matplotlib;model-selection;python;scikit-learn;visual-analysis;visualization;visualizer","y language:Python stars:>=50"
"kivy/kivy-ios","https://github.com/kivy/kivy-ios","kivy","Python","853","False","False","11/30/2011 4:40:26 PM","5/23/2026 8:53:27 PM","Toolchain for compiling Python / Kivy / other libraries for iOS","ios;packaging;python","topic:ios language:Python stars:>=50"
