AnchorRepo,_anchor_folder,MinimumScore,CrossAnchorFreqPenaltyWeight,MaxPerOwner,MaxPerOwnerPerSubdomain,TopK,manifest_path
JaidedAI/EasyOCR,JaidedAI-EasyOCR,600,200.0,2,2,30,runs/manual-ml-py/JaidedAI-EasyOCR/run_manifest.json
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,600,200.0,2,2,30,runs/manual-ml-py/Lightning-AI-pytorch-lightning/run_manifest.json
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,600,200.0,2,2,30,runs/manual-ml-py/OpenBB-finance-OpenBB/run_manifest.json
apache/airflow,apache-airflow,600,200.0,2,2,30,runs/manual-ml-py/apache-airflow/run_manifest.json
bbfamily/abu,bbfamily-abu,600,200.0,2,2,30,runs/manual-ml-py/bbfamily-abu/run_manifest.json
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,600,200.0,2,2,30,runs/manual-ml-py/deepspeedai-DeepSpeed/run_manifest.json
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,600,200.0,2,2,30,runs/manual-ml-py/eriklindernoren-ML-From-Scratch/run_manifest.json
explosion/spaCy,explosion-spacy,600,200.0,2,2,30,runs/manual-ml-py/explosion-spacy/run_manifest.json
gradio-app/gradio,gradio-app-gradio,600,200.0,2,2,30,runs/manual-ml-py/gradio-app-gradio/run_manifest.json
huggingface/datasets,huggingface-datasets,600,200.0,2,2,30,runs/manual-ml-py/huggingface-datasets/run_manifest.json
huggingface/transformers,huggingface-transformers,600,200.0,2,2,30,runs/manual-ml-py/huggingface-transformers/run_manifest.json
jina-ai/serve,jina-ai-serve,600,200.0,2,2,30,runs/manual-ml-py/jina-ai-serve/run_manifest.json
onnx/onnx,onnx-onnx,600,200.0,2,2,30,runs/manual-ml-py/onnx-onnx/run_manifest.json
pytorch/pytorch,pytorch-pytorch,600,200.0,2,2,30,runs/manual-ml-py/pytorch-pytorch/run_manifest.json
ray-project/ray,ray-project-ray,600,200.0,2,2,30,runs/manual-ml-py/ray-project-ray/run_manifest.json
recommenders-team/recommenders,recommenders-team-recommenders,600,200.0,2,2,30,runs/manual-ml-py/recommenders-team-recommenders/run_manifest.json
sebastianruder/NLP-progress,sebastianruder-NLP-progress,600,200.0,2,2,30,runs/manual-ml-py/sebastianruder-NLP-progress/run_manifest.json
serengil/deepface,serengil-deepface,600,200.0,2,2,30,runs/manual-ml-py/serengil-deepface/run_manifest.json
streamlit/streamlit,streamlit-streamlit,600,200.0,2,2,30,runs/manual-ml-py/streamlit-streamlit/run_manifest.json
ultralytics/yolov5,ultralytics-yolov5,600,200.0,2,2,30,runs/manual-ml-py/ultralytics-yolov5/run_manifest.json
