CandidateRepo,FrequencyInFinal30,PctOfAnchors,IsMagnet
keras-team/keras,9,45.0,True
Lightning-AI/pytorch-lightning,8,40.0,True
eriklindernoren/ML-From-Scratch,7,35.0,True
streamlit/streamlit,7,35.0,True
voxel51/fiftyone,7,35.0,False
CorentinJ/Real-Time-Voice-Cloning,6,30.0,False
JaidedAI/EasyOCR,6,30.0,False
pytorch/pytorch,6,30.0,True
recommenders-team/recommenders,6,30.0,True
autogluon/autogluon,5,25.0,False
explosion/spaCy,5,25.0,True
tflearn/tflearn,5,25.0,False
unit8co/darts,5,25.0,False
wandb/wandb,5,25.0,False
Comfy-Org/ComfyUI,4,20.0,False
Data-Centric-AI-Community/fg-data-profiling,4,20.0,False
babysor/MockingBird,4,20.0,False
d2l-ai/d2l-zh,4,20.0,True
deezer/spleeter,4,20.0,False
flwrlabs/flower,4,20.0,False
google-deepmind/sonnet,4,20.0,False
gradio-app/gradio,4,20.0,True
kornia/kornia,4,20.0,False
lucidrains/DALLE2-pytorch,4,20.0,False
lucidrains/denoising-diffusion-pytorch,4,20.0,False
onnx/onnx,4,20.0,False
piskvorky/gensim,4,20.0,False
stanfordnlp/stanza,4,20.0,False
OlafenwaMoses/ImageAI,3,15.0,False
WZMIAOMIAO/deep-learning-for-image-processing,3,15.0,False
WenjieDu/PyPOTS,3,15.0,False
lucidrains/imagen-pytorch,3,15.0,False
roboflow/supervision,3,15.0,True
sepandhaghighi/pycm,3,15.0,False
yzhao062/pyod,3,15.0,False
2noise/ChatTTS,2,10.0,False
BerriAI/litellm,2,10.0,False
NannyML/nannyml,2,10.0,False
TransformerOptimus/SuperAGI,2,10.0,False
apache/tvm,2,10.0,False
arogozhnikov/einops,2,10.0,False
browser-use/browser-use,2,10.0,False
deepcam-cn/yolov5-face,2,10.0,False
deepinsight/insightface,2,10.0,False
deepspeedai/DeepSpeed,2,10.0,True
edtechre/pybroker,2,10.0,False
google/langextract,2,10.0,False
hpcaitech/ColossalAI,2,10.0,False
jacobgil/pytorch-grad-cam,2,10.0,False
ludwig-ai/ludwig,2,10.0,False
microsoft/qlib,2,10.0,True
nidhaloff/igel,2,10.0,False
probabl-ai/skore,2,10.0,False
pyg-team/pytorch_geometric,2,10.0,False
reflex-dev/reflex,2,10.0,False
rio-labs/rio,2,10.0,False
rohitg00/ai-engineering-from-scratch,2,10.0,False
run-llama/llama_index,2,10.0,False
scikit-learn-contrib/imbalanced-learn,2,10.0,False
scikit-learn/scikit-learn,2,10.0,True
sgl-project/sglang,2,10.0,False
tirth8205/code-review-graph,2,10.0,False
ultralytics/yolov5,2,10.0,False
usestrix/strix,2,10.0,False
xorbitsai/inference,2,10.0,False
0x4m4/hexstrike-ai,1,5.0,False
1adrianb/face-alignment,1,5.0,False
4uiiurz1/keras-arcface,1,5.0,False
AI4Finance-Foundation/ElegantRL,1,5.0,False
AIGC-Audio/AudioGPT,1,5.0,False
AIInAi/tf-insightface,1,5.0,False
AkiRusProd/numpy-nn-model,1,5.0,False
Anjok07/ultimatevocalremovergui,1,5.0,False
Avaiga/taipy,1,5.0,False
BasPH/data-pipelines-with-apache-airflow,1,5.0,False
Blaizzy/mlx-audio,1,5.0,False
BlinkDL/RWKV-LM,1,5.0,False
CLUEbenchmark/CLUEDatasetSearch,1,5.0,False
Cadene/pretrained-models.pytorch,1,5.0,False
Canner/WrenAI,1,5.0,False
Chainlit/chainlit,1,5.0,False
CryptoSignal/Crypto-Signal,1,5.0,False
DA-southampton/NLP_ability,1,5.0,False
DLR-RM/stable-baselines3,1,5.0,False
DLTK/DLTK,1,5.0,False
Daniil-Osokin/lightweight-human-pose-estimation.pytorch,1,5.0,False
DanilBaibak/ml-in-production,1,5.0,False
DaoCloud/DaoCloud-docs,1,5.0,False
DeepVAC/deepvac,1,5.0,False
DuaneNielsen/DeepInfomaxPytorch,1,5.0,False
DuyNguDao/Identity-Action,1,5.0,False
ELS-RD/transformer-deploy,1,5.0,False
EverMind-AI/EverOS,1,5.0,False
Farama-Foundation/Gymnasium,1,5.0,False
Flame-Code-VLM/Flame-Code-VLM,1,5.0,False
FoundationAgents/MetaGPT,1,5.0,False
FreedomIntelligence/TextClassificationBenchmark,1,5.0,False
GabrielDornelles/pytorch-ocr,1,5.0,False
GradientHQ/parallax,1,5.0,False
HKUDS/LightRAG,1,5.0,False
HKUDS/OpenHarness,1,5.0,False
HKUDS/RAG-Anything,1,5.0,False
HKUDS/Vibe-Trading,1,5.0,False
Heerozh/spectre,1,5.0,False
Helsinki-NLP/Opus-MT,1,5.0,False
Hironsan/BossSensor,1,5.0,False
HomebrewML/revlib,1,5.0,False
IBM/unitxt,1,5.0,False
IgorSusmelj/pytorch-styleguide,1,5.0,False
Imbad0202/academic-research-skills,1,5.0,False
InterDigitalInc/CompressAI,1,5.0,False
JerBouma/FinanceToolkit,1,5.0,False
JingyibySUTsoftware/Yolov5-deepsort-driverDistracted-driving-behavior-detection,1,5.0,False
Jittor/jittor,1,5.0,False
LambdaLabsML/distributed-training-guide,1,5.0,False
Lasagne/Lasagne,1,5.0,False
Lightning-AI/litgpt,1,5.0,False
Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,1,5.0,False
Maluuba/nlg-eval,1,5.0,False
Matteo-Ferrara/gex-tracker,1,5.0,False
Megvii-BaseDetection/YOLOX,1,5.0,False
Michalos88/Quant-Projects,1,5.0,False
MigoXLab/dingo,1,5.0,False
Minqi824/ADBench,1,5.0,False
ModelTC/LightCompress,1,5.0,False
NVIDIA-Merlin/NVTabular,1,5.0,False
NVIDIA/MinkowskiEngine,1,5.0,False
NVIDIA/TensorRT-LLM,1,5.0,False
Netflix/metaflow,1,5.0,False
Nota-NetsPresso/BK-SDM,1,5.0,False
OpenBMB/UltraRAG,1,5.0,False
OpenBMB/VoxCPM,1,5.0,False
OpenMOSS/CoLLiE,1,5.0,False
OpenRLHF/OpenRLHF,1,5.0,False
OpenSPG/KAG,1,5.0,False
PINTO0309/HeadPoseEstimation-WHENet-yolov4-onnx-openvino,1,5.0,False
PINTO0309/PINTO_model_zoo,1,5.0,False
PaddlePaddle/PaddleDetection,1,5.0,False
PaddlePaddle/Research,1,5.0,False
Panniantong/Agent-Reach,1,5.0,False
PennyLaneAI/pennylane,1,5.0,False
PeterH0323/Smart_Construction,1,5.0,False
PeterL1n/RobustVideoMatting,1,5.0,False
