AnchorRepo,AnchorUrl,CandidateRepo,CandidateUrl,CandidateOwner,CandidateLanguage,CandidateStars,CandidateSubdomain,Score,ScoreBase,PenaltyCrossAnchorFreq,PenaltyRetrieval,PenaltyNotes,Qualified,TopicJaccard,LexicalJaccard,LanguageMatch,StarSimilarity,RecencySimilarity,SubdomainMatch,QueryCoverage,TopSignals,ScoreBreakdownJson,WhyQualified,SourceQueries,Description,Rank,_anchor_folder,_anchor
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,abdulfatir/twitter-sentiment-analysis,https://github.com/abdulfatir/twitter-sentiment-analysis,abdulfatir,Python,1645,deep-learning,854.79,854.79,0,50,QueryCoverage excluded from Score (recommended).,True,0.2105,0,1,0.3733,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":189.47,""Lexical"":0.0,""Lang"":250.0,""Stars"":65.32,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":854.79,""ScoreFinal"":854.79}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc.",1,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,GabrielDornelles/pytorch-ocr,https://github.com/GabrielDornelles/pytorch-ocr,GabrielDornelles,Python,88,deep-learning,825,825,0,50,QueryCoverage excluded from Score (recommended).,True,0.25,0,1,0,1,1,0.3333,Lang+Topic+Subdomain,"{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":825.0,""ScoreFinal"":825.0}",Score>=MinimumScore,topic:crnn language:Python stars:>=50,"Simple Pytorch framework to train OCRs. Supports CRNNs, Attention, CTC and Cross Entropy Loss.",2,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,frgfm/torch-cam,https://github.com/frgfm/torch-cam,frgfm,Python,2303,deep-learning,822.1,822.1,0,50,QueryCoverage excluded from Score (recommended).,True,0.16,0,1,0.4463,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":144.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":78.1,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":822.1,""ScoreFinal"":822.1}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,"Class activation maps for your PyTorch models (CAM, Grad-CAM, Grad-CAM++, Smooth Grad-CAM++, Score-CAM, SS-CAM, IS-CAM, XGrad-CAM, Layer-CAM)",3,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,open-mmlab/mmocr,https://github.com/open-mmlab/mmocr,open-mmlab,Python,4734,deep-learning,821.6,821.6,0,50,QueryCoverage excluded from Score (recommended).,True,0.129,0,1,0.6027,1,1,0.3333,Lang+Subdomain+Recency,"{""Topic"":116.13,""Lexical"":0.0,""Lang"":250.0,""Stars"":105.47,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":821.6,""ScoreFinal"":821.6}",Score>=MinimumScore,topic:crnn language:Python stars:>=50,"OpenMMLab Text Detection, Recognition and Understanding Toolbox",4,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,filipradenovic/cnnimageretrieval-pytorch,https://github.com/filipradenovic/cnnimageretrieval-pytorch,filipradenovic,Python,1494,deep-learning,820.49,820.49,0,50,QueryCoverage excluded from Score (recommended).,True,0.1765,0,1,0.3524,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":61.66,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":820.49,""ScoreFinal"":820.49}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,CNN Image Retrieval in PyTorch: Training and evaluating CNNs for Image Retrieval in PyTorch,5,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,orobix/Prototypical-Networks-for-Few-shot-Learning-PyTorch,https://github.com/orobix/Prototypical-Networks-for-Few-shot-Learning-PyTorch,orobix,Python,1075,deep-learning,817.92,817.92,0,50,QueryCoverage excluded from Score (recommended).,True,0.1875,0,1,0.2809,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":168.75,""Lexical"":0.0,""Lang"":250.0,""Stars"":49.17,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":817.92,""ScoreFinal"":817.92}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,Implementation of Prototypical Networks for Few Shot Learning (https://arxiv.org/abs/1703.05175) in Pytorch,6,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,YaoFANGUK/video-subtitle-extractor,https://github.com/YaoFANGUK/video-subtitle-extractor,YaoFANGUK,Python,8868,deep-learning,815.03,815.03,0,50,QueryCoverage excluded from Score (recommended).,True,0.0952,0,1,0.739,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":85.71,""Lexical"":0.0,""Lang"":250.0,""Stars"":129.32,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":815.03,""ScoreFinal"":815.03}",Score>=MinimumScore,e language:Python stars:>=50,视频硬字幕提取，生成srt文件。无需申请第三方API，本地实现文本识别。基于深度学习的视频字幕提取框架，包含字幕区域检测、字幕内容提取。A GUI tool for extracting hard-coded subtitle (hardsub) from videos and generating srt files. ,7,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,Hironsan/BossSensor,https://github.com/Hironsan/BossSensor,Hironsan,Python,6280,deep-learning,814.83,875.03,60.21,50,QueryCoverage excluded from Score (recommended).,True,0.1765,0,1,0.6641,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":116.21,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":60.21,""ScoreBase"":875.03,""ScoreFinal"":814.83}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,Hide screen when boss is approaching.,8,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,nl8590687/ASRT_SpeechRecognition,https://github.com/nl8590687/ASRT_SpeechRecognition,nl8590687,Python,8371,deep-learning,805.39,805.39,0,50,QueryCoverage excluded from Score (recommended).,True,0.087,0,1,0.7265,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":78.26,""Lexical"":0.0,""Lang"":250.0,""Stars"":127.13,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":805.39,""ScoreFinal"":805.39}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,A Deep-Learning-Based Chinese Speech Recognition System 基于深度学习的中文语音识别系统,9,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,nickliqian/cnn_captcha,https://github.com/nickliqian/cnn_captcha,nickliqian,Python,2882,deep-learning,799.12,799.12,0,50,QueryCoverage excluded from Score (recommended).,True,0.125,0,1,0.495,1,1,0.3333,Lang+Subdomain+Recency,"{""Topic"":112.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":86.62,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":799.12,""ScoreFinal"":799.12}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,use cnn recognize captcha by tensorflow. 本项目针对字符型图片验证码，使用tensorflow实现卷积神经网络，进行验证码识别。,10,JaidedAI-EasyOCR,JaidedAI/EasyOCR
