"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"PaddlePaddle/PaddleOCR","https://github.com/PaddlePaddle/PaddleOCR","PaddlePaddle","Python","78576","False","False","5/8/2020 10:38:16 AM","5/26/2026 3:09:01 PM","Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages.","ai4science;chineseocr;document-parsing;document-translation;kie;ocr;paddleocr-vl;pdf-extractor-rag;pdf-parser;pdf2markdown;pp-ocr;pp-structure;rag","o language:Python stars:>=50"
"LantaoYu/MARL-Papers","https://github.com/LantaoYu/MARL-Papers","LantaoYu","","4839","False","False","3/12/2017 6:50:59 AM","5/25/2026 12:16:56 PM","Paper list of multi-agent reinforcement learning (MARL)","multi-agent-learning;multiagent-reinforcement-learning","reinforcement learning stars:>=100"
"edtechre/pybroker","https://github.com/edtechre/pybroker","edtechre","Python","3328","False","False","1/16/2023 1:11:52 AM","5/26/2026 4:44:45 AM","Algorithmic Trading in Python with Machine Learning","ai;algorithmic-trading;algotrading;artificial-intelligence;backtesting;crypto;cryptocurrency;data-science;finance;framework;investment;machine-learning;python;quantitative-finance;stocks;trading;trading-strategies","topic:crypto language:Python stars:>=50"
"bobeff/open-source-games","https://github.com/bobeff/open-source-games","bobeff","Python","12824","False","False","9/15/2021 9:35:29 PM","5/26/2026 11:36:44 AM","A list of open source games.","awesome-list;games;open-source","o language:Python stars:>=50"
"Asabeneh/30-Days-Of-Python","https://github.com/Asabeneh/30-Days-Of-Python","Asabeneh","Python","63155","False","False","11/19/2019 5:24:16 PM","5/26/2026 3:07:31 PM","The 30 Days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than 100 days. Follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw","30-days-of-python;data;data-science;database;flask;fullstack;github;heroku;matplotlib;ml;mongodb;numpy;pandas;python;python3","o language:Python stars:>=50"
"deepseek-ai/DeepSeek-OCR","https://github.com/deepseek-ai/DeepSeek-OCR","deepseek-ai","Python","23179","False","False","10/17/2025 6:14:27 AM","5/26/2026 1:40:30 PM","Contexts Optical Compression","","o language:Python stars:>=50"
"QuivrHQ/quivr","https://github.com/QuivrHQ/quivr","QuivrHQ","Python","39161","False","False","5/12/2023 11:53:30 PM","5/26/2026 2:19:55 PM","Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want.","ai;api;chatbot;chatgpt;database;docker;framework;frontend;groq;html;javascript;llm;openai;postgresql;privacy;rag;react;security;typescript;vector","topic:ai language:Python stars:>=50"
"google-deepmind/open_spiel","https://github.com/google-deepmind/open_spiel","google-deepmind","C++","5240","False","False","7/22/2019 1:50:21 PM","5/26/2026 1:14:52 PM","OpenSpiel is a collection of environments and algorithms for research in general reinforcement learning and search/planning in games.","cpp;games;multiagent;python;reinforcement-learning","reinforcement learning stars:>=100"
"AsyncFuncAI/deepwiki-open","https://github.com/AsyncFuncAI/deepwiki-open","AsyncFuncAI","Python","16570","False","False","4/30/2025 6:01:29 AM","5/26/2026 2:52:02 PM","Open Source DeepWiki: AI-Powered Wiki Generator for GitHub/Gitlab/Bitbucket Repositories. Join the discord: https://discord.gg/gMwThUMeme","ai;codex;gemini;github;grok-cli;ollama;open-source;openai;openrouter;self-hosted;wiki","o language:Python stars:>=50"
"RomelTorres/alpha_vantage","https://github.com/RomelTorres/alpha_vantage","RomelTorres","Python","4819","False","False","4/29/2017 5:23:00 PM","5/24/2026 8:28:04 PM","A python wrapper for Alpha Vantage API for financial data.","alpha-vantage;alphavantage;api-wrapper;bitcoin;cryptocurrency;finance;financial-data;json;pandas;python;stock","financial language:Python stars:>=50"
