AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,0,0,0,30,10,220,0.0,abdulfatir/twitter-sentiment-analysis,GabrielDornelles/pytorch-ocr,frgfm/torch-cam,open-mmlab/mmocr,filipradenovic/cnnimageretrieval-pytorch,abdulfatir/twitter-sentiment-analysis | GabrielDornelles/pytorch-ocr | frgfm/torch-cam | open-mmlab/mmocr | filipradenovic/cnnimageretrieval-pytorch
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,Good,0,1,3,24,10,210,201.75,kornia/kornia,stanfordnlp/stanza,unit8co/darts,google-deepmind/sonnet,lucidrains/denoising-diffusion-pytorch,kornia/kornia | stanfordnlp/stanza | unit8co/darts | google-deepmind/sonnet | lucidrains/denoising-diffusion-pytorch
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,11,10,230,0.0,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,Michalos88/Quant-Projects,binance/binance-skills-hub,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | binance/binance-skills-hub
apache/airflow,apache-airflow,Good,0,0,0,9,10,185,54.19,feast-dev/feast,dagster-io/dagster,abhishek-ch/around-dataengineering,san089/goodreads_etl_pipeline,elyra-ai/elyra,feast-dev/feast | dagster-io/dagster | abhishek-ch/around-dataengineering | san089/goodreads_etl_pipeline | elyra-ai/elyra
bbfamily/abu,bbfamily-abu,Good,0,0,0,11,10,178,18.06,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,coding-kitties/investing-algorithm-framework,asavinov/intelligent-trading-bot,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | coding-kitties/investing-algorithm-framework | asavinov/intelligent-trading-bot
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,0,0,0,10,10,157,0.0,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,qualcomm/aimet,tensorflow/compression,tensorflow/model-optimization,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | qualcomm/aimet | tensorflow/compression | tensorflow/model-optimization
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,Good,0,0,2,11,10,186,64.75,mdbloice/Augmentor,aleju/imgaug,aladdinpersson/Machine-Learning-Collection,tflearn/tflearn,annoviko/pyclustering,mdbloice/Augmentor | aleju/imgaug | aladdinpersson/Machine-Learning-Collection | tflearn/tflearn | annoviko/pyclustering
explosion/spaCy,explosion-spacy,Good,0,0,0,10,10,182,60.0,huggingface/autotrain-advanced,NTMC-Community/MatchZoo,stanfordnlp/stanza,flairNLP/flair,huggingface/huggingface_hub,huggingface/autotrain-advanced | NTMC-Community/MatchZoo | stanfordnlp/stanza | flairNLP/flair | huggingface/huggingface_hub
gradio-app/gradio,gradio-app-gradio,Good,0,0,2,18,10,277,100.88,rio-labs/rio,writer/writer-framework,probabl-ai/skore,scikit-learn-contrib/imbalanced-learn,fbdesignpro/sweetviz,rio-labs/rio | writer/writer-framework | probabl-ai/skore | scikit-learn-contrib/imbalanced-learn | fbdesignpro/sweetviz
huggingface/datasets,huggingface-datasets,Good,0,0,0,8,10,211,93.38,Lightning-AI/litgpt,IBM/unitxt,nebuly-ai/optimate,jacobgil/pytorch-grad-cam,katanaml/sparrow,Lightning-AI/litgpt | IBM/unitxt | nebuly-ai/optimate | jacobgil/pytorch-grad-cam | katanaml/sparrow
huggingface/transformers,huggingface-transformers,Good,0,0,0,18,10,225,0.0,GradientHQ/parallax,hiyouga/EasyR1,speechbrain/speechbrain,Tencent/AngelSlim,OpenBMB/UltraRAG,GradientHQ/parallax | hiyouga/EasyR1 | speechbrain/speechbrain | Tencent/AngelSlim | OpenBMB/UltraRAG
jina-ai/serve,jina-ai-serve,Good,0,0,0,3,4,192,80.94,bentoml/BentoML,hongbo-miao/hongbomiao.com,DaoCloud/DaoCloud-docs,Netflix/metaflow,,bentoml/BentoML | hongbo-miao/hongbomiao.com | DaoCloud/DaoCloud-docs | Netflix/metaflow
mlflow/mlflow,mlflow-mlflow,Good,0,0,0,18,10,179,18.06,Arize-ai/phoenix,langchain-ai/open-swe,zenml-io/zenml,strands-agents/sdk-python,google/adk-python,Arize-ai/phoenix | langchain-ai/open-swe | zenml-io/zenml | strands-agents/sdk-python | google/adk-python
onnx/onnx,onnx-onnx,Good,0,0,0,30,10,202,28.63,fastmachinelearning/hls4ml,ufoym/deepo,OpenPPL/ppq,jina-ai/clip-as-service,google-deepmind/sonnet,fastmachinelearning/hls4ml | ufoym/deepo | OpenPPL/ppq | jina-ai/clip-as-service | google-deepmind/sonnet
pytorch/pytorch,pytorch-pytorch,Good,0,0,0,27,10,193,0.0,chainer/chainer,norse/norse,pranftw/neograd,leptonai/leptonai,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | pranftw/neograd | leptonai/leptonai | oreilly-japan/deep-learning-from-scratch-3
pytorch/vision,pytorch-vision,Good,0,0,0,14,10,180,111.44,PeterL1n/BackgroundMattingV2,roboflow/rf-detr,scikit-image/scikit-image,graphdeco-inria/gaussian-splatting,STVIR/pysot,PeterL1n/BackgroundMattingV2 | roboflow/rf-detr | scikit-image/scikit-image | graphdeco-inria/gaussian-splatting | STVIR/pysot
ray-project/ray,ray-project-ray,Good,0,0,0,6,10,233,18.06,torchpipe/torchpipe,ELS-RD/transformer-deploy,curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,run-llama/llama_deploy,NVIDIA/TensorRT-LLM,torchpipe/torchpipe | ELS-RD/transformer-deploy | curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI | run-llama/llama_deploy | NVIDIA/TensorRT-LLM
recommenders-team/recommenders,recommenders-team-recommenders,Good,0,0,1,27,9,301,0.0,jfkirk/tensorrec,wzhe06/Reco-papers,ylongqi/openrec,maciejkula/spotlight,RUCAIBox/RecBole,jfkirk/tensorrec | wzhe06/Reco-papers | ylongqi/openrec | maciejkula/spotlight | RUCAIBox/RecBole
scikit-learn/scikit-learn,scikit-learn-scikit-learn,Good,0,0,1,27,10,281,106.69,scikit-learn-contrib/imbalanced-learn,probabl-ai/skore,scikit-mobility/scikit-mobility,fbdesignpro/sweetviz,scikit-learn-contrib/metric-learn,scikit-learn-contrib/imbalanced-learn | probabl-ai/skore | scikit-mobility/scikit-mobility | fbdesignpro/sweetviz | scikit-learn-contrib/metric-learn
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,19,10,226,36.12,jasonwu0731/trade-dst,budzianowski/multiwoz,nltk/nltk,Maluuba/nlg-eval,hankcs/HanLP,jasonwu0731/trade-dst | budzianowski/multiwoz | nltk/nltk | Maluuba/nlg-eval | hankcs/HanLP
serengil/deepface,serengil-deepface,Good,0,0,0,11,10,161,18.06,RangiLyu/nanodet,Lasagne/Lasagne,deepinsight/insightface,wujiyang/Face_Pytorch,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,RangiLyu/nanodet | Lasagne/Lasagne | deepinsight/insightface | wujiyang/Face_Pytorch | Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB
streamlit/streamlit,streamlit-streamlit,Good,0,1,2,30,10,236,100.88,rio-labs/rio,probabl-ai/skore,scikit-learn-contrib/imbalanced-learn,python-visualization/folium,ndleah/python-mini-project,rio-labs/rio | probabl-ai/skore | scikit-learn-contrib/imbalanced-learn | python-visualization/folium | ndleah/python-mini-project
treeverse/dvc,treeverse-dvc,Good,0,0,0,1,2,164,135.47,feast-dev/feast,kedro-org/kedro,,,,feast-dev/feast | kedro-org/kedro
ultralytics/yolov5,ultralytics-yolov5,Good,0,0,0,23,10,206,36.12,ayooshkathuria/pytorch-yolo-v3,Megvii-BaseDetection/YOLOX,open-mmlab/mmyolo,tinyvision/DAMO-YOLO,PeterH0323/Smart_Construction,ayooshkathuria/pytorch-yolo-v3 | Megvii-BaseDetection/YOLOX | open-mmlab/mmyolo | tinyvision/DAMO-YOLO | PeterH0323/Smart_Construction
