CandidateRepo,FrequencyInFinal30,PctOfAnchors,IsMagnet
NannyML/nannyml,3,12.5,False
ResidentMario/missingno,3,12.5,False
airbnb/knowledge-repo,3,12.5,False
apachecn/python_data_analysis_and_mining_action,3,12.5,False
dfm/corner.py,3,12.5,False
fbdesignpro/sweetviz,3,12.5,False
has2k1/plotnine,3,12.5,False
justinzm/gopup,3,12.5,False
ndleah/python-mini-project,3,12.5,False
predict-idlab/plotly-resampler,3,12.5,False
probabl-ai/skore,3,12.5,False
python-visualization/folium,3,12.5,False
reflex-dev/reflex,3,12.5,False
rio-labs/rio,3,12.5,False
scikit-learn-contrib/imbalanced-learn,3,12.5,False
skrub-data/skrub,3,12.5,False
Lightning-AI/pytorch-lightning,2,8.3,True
Megvii-BaseDetection/YOLOX,2,8.3,False
Netflix/metaflow,2,8.3,False
PINTO0309/PINTO_model_zoo,2,8.3,False
PeterL1n/RobustVideoMatting,2,8.3,False
TransformerOptimus/SuperAGI,2,8.3,False
apache/tvm,2,8.3,False
apple/coremltools,2,8.3,False
capitalone/DataProfiler,2,8.3,False
catalyst-team/catalyst,2,8.3,False
datajuicer/data-juicer,2,8.3,False
deepinsight/insightface,2,8.3,False
edtechre/pybroker,2,8.3,False
feast-dev/feast,2,8.3,False
flairNLP/flair,2,8.3,False
flwrlabs/flower,2,8.3,False
google-deepmind/sonnet,2,8.3,False
kedro-org/kedro,2,8.3,False
keras-team/keras,2,8.3,True
kornia/kornia,2,8.3,False
kyegomez/swarms,2,8.3,False
lucidrains/denoising-diffusion-pytorch,2,8.3,False
mckinsey/vizro,2,8.3,False
microsoft/MMdnn,2,8.3,False
pandas-dev/pandas,2,8.3,False
piskvorky/gensim,2,8.3,False
polakowo/vectorbt,2,8.3,False
ruc-datalab/DeepAnalyze,2,8.3,False
scikit-learn/scikit-learn,2,8.3,True
stanfordnlp/stanza,2,8.3,False
streamlit/streamlit,2,8.3,True
tflearn/tflearn,2,8.3,False
tinyvision/DAMO-YOLO,2,8.3,False
unit8co/darts,2,8.3,False
voxel51/fiftyone,2,8.3,False
wandb/wandb,2,8.3,False
yanshengjia/ml-road,2,8.3,False
0x4m4/hexstrike-ai,1,4.2,False
1Panel-dev/MaxKB,1,4.2,False
2FastLabs/agent-squad,1,4.2,False
2noise/ChatTTS,1,4.2,False
4uiiurz1/keras-arcface,1,4.2,False
666DZY666/micronet,1,4.2,False
AIDC-AI/Pixelle-Video,1,4.2,False
AIGC-Audio/AudioGPT,1,4.2,False
AIInAi/tf-insightface,1,4.2,False
AgentOps-AI/agentops,1,4.2,False
AkiRusProd/numpy-nn-model,1,4.2,False
AlexanderLutsenko/nobuco,1,4.2,False
Amm1rr/WebAI-to-API,1,4.2,False
Anjok07/ultimatevocalremovergui,1,4.2,False
Arize-ai/phoenix,1,4.2,False
AsuharietYgvar/AppleNeuralHash2ONNX,1,4.2,False
BasPH/data-pipelines-with-apache-airflow,1,4.2,False
Blaizzy/mlx-audio,1,4.2,False
BlinkDL/RWKV-LM,1,4.2,False
CLUEbenchmark/CLUEDatasetSearch,1,4.2,False
Cadene/pretrained-models.pytorch,1,4.2,False
ChinaIceF/PyQt-SiliconUI,1,4.2,False
Cinnamon/kotaemon,1,4.2,False
Coder-Yu/QRec,1,4.2,False
Coframe/coffee,1,4.2,False
Comfy-Org/ComfyUI,1,4.2,False
CryptoSignal/Crypto-Signal,1,4.2,False
DA-southampton/NLP_ability,1,4.2,False
DLTK/DLTK,1,4.2,False
Daniil-Osokin/lightweight-human-pose-estimation.pytorch,1,4.2,False
DanilBaibak/ml-in-production,1,4.2,False
DaoCloud/DaoCloud-docs,1,4.2,False
DerwenAI/pytextrank,1,4.2,False
Djdefrag/QualityScaler,1,4.2,False
DuaneNielsen/DeepInfomaxPytorch,1,4.2,False
DuyNguDao/Identity-Action,1,4.2,False
ELS-RD/transformer-deploy,1,4.2,False
ENOT-AutoDL/onnx2torch,1,4.2,False
EdoardoBotta/RQ-VAE-Recommender,1,4.2,False
Embedding/Chinese-Word-Vectors,1,4.2,False
FLming/CRNN.tf2,1,4.2,False
Farama-Foundation/Gymnasium,1,4.2,False
Flame-Code-VLM/Flame-Code-VLM,1,4.2,False
FreedomIntelligence/TextClassificationBenchmark,1,4.2,False
GabrielDornelles/pytorch-ocr,1,4.2,False
GradientHQ/parallax,1,4.2,False
HKUDS/OpenHarness,1,4.2,False
HKUDS/RAG-Anything,1,4.2,False
Heerozh/spectre,1,4.2,False
Helsinki-NLP/Opus-MT,1,4.2,False
Hironsan/BossSensor,1,4.2,False
HomebrewML/revlib,1,4.2,False
IBM/unitxt,1,4.2,False
IBM/zshot,1,4.2,False
Imbad0202/academic-research-skills,1,4.2,False
InterDigitalInc/CompressAI,1,4.2,False
JingyibySUTsoftware/Yolov5-deepsort-driverDistracted-driving-behavior-detection,1,4.2,False
Jittor/jittor,1,4.2,False
KaiyangZhou/deep-person-reid,1,4.2,False
Kanaries/pygwalker,1,4.2,False
KevinMusgrave/pytorch-metric-learning,1,4.2,False
LambdaLabsML/distributed-training-guide,1,4.2,False
Lasagne/Lasagne,1,4.2,False
Lightning-AI/litgpt,1,4.2,False
Lightricks/LTX-Video,1,4.2,False
Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,1,4.2,False
LongmaoTeamTf/deep_recommenders,1,4.2,False
MTSWebServices/RecTools,1,4.2,False
MaaAssistantArknights/MaaAssistantArknights,1,4.2,False
Maluuba/nlg-eval,1,4.2,False
MaurizioFD/RecSys2019_DeepLearning_Evaluation,1,4.2,False
MemeMeow-Studio/MemeMeow,1,4.2,False
Michalos88/Quant-Projects,1,4.2,False
MigoXLab/dingo,1,4.2,False
Minqi824/ADBench,1,4.2,False
ModelTC/LightCompress,1,4.2,False
NTMC-Community/MatchZoo,1,4.2,False
NVIDIA-Merlin/Merlin,1,4.2,False
NVIDIA-Merlin/NVTabular,1,4.2,False
NVIDIA-Merlin/models,1,4.2,False
NVIDIA-NeMo/Guardrails,1,4.2,False
NVIDIA/Megatron-LM,1,4.2,False
NVIDIA/MinkowskiEngine,1,4.2,False
NVIDIA/TensorRT-LLM,1,4.2,False
NVIDIA/TransformerEngine,1,4.2,False
NVlabs/Sana,1,4.2,False
Nota-NetsPresso/BK-SDM,1,4.2,False
Novaquant-labs/hyperliquid-trading-bot,1,4.2,False
Oldpan/Pytorch-Memory-Utils,1,4.2,False
OpenBMB/MiniCPM-V,1,4.2,False
OpenBMB/UltraRAG,1,4.2,False
OpenBMB/VoxCPM,1,4.2,False
OpenMOSS/CoLLiE,1,4.2,False
OpenMOSS/MOSS-TTS,1,4.2,False
OpenPPL/ppq,1,4.2,False
OpenRLHF/OpenRLHF,1,4.2,False
PINTO0309/HeadPoseEstimation-WHENet-yolov4-onnx-openvino,1,4.2,False
PaddlePaddle/PaddleDetection,1,4.2,False
PaddlePaddle/Research,1,4.2,False
PaddlePaddle/X2Paddle,1,4.2,False
PaddlePaddle/models,1,4.2,False
Panniantong/Agent-Reach,1,4.2,False
PennyLaneAI/pennylane,1,4.2,False
PeterH0323/Smart_Construction,1,4.2,False
PeterL1n/BackgroundMattingV2,1,4.2,False
PointCloudLibrary/pcl,1,4.2,False
PrefectHQ/fastmcp,1,4.2,False
PrefectHQ/marvin,1,4.2,False
RICHQAQ/PasteMD,1,4.2,False
ROCm/Tensile,1,4.2,False
RQLuo/MixTeX-Latex-OCR,1,4.2,False
RUCAIBox/CRSLab,1,4.2,False
RUCAIBox/RecBole,1,4.2,False
RangiLyu/nanodet,1,4.2,False
RayVentura/ShortGPT,1,4.2,False
Renovamen/Speech-Emotion-Recognition,1,4.2,False
Res2Net/Res2Net-PretrainedModels,1,4.2,False
RomelTorres/alpha_vantage,1,4.2,False
STVIR/pysot,1,4.2,False
SamYuen101234/Masked_Face_Recognition,1,4.2,False
Sanster/text_renderer,1,4.2,False
SciPhi-AI/R2R,1,4.2,False
Seeed-Studio/ModelAssistant,1,4.2,False
Sharpiless/Yolov5-Deepsort,1,4.2,False
THUwangcy/ReChorus,1,4.2,False
TachibanaYoshino/AnimeGAN,1,4.2,False
TachibanaYoshino/AnimeGANv3,1,4.2,False
Tencent/AngelSlim,1,4.2,False
Tianxiaomo/pytorch-YOLOv4,1,4.2,False
TingFree/NLPer-Arsenal,1,4.2,False
Tomiinek/MultiWOZ_Evaluation,1,4.2,False
UFAL-DSG/tgen,1,4.2,False
UlionTse/mlgb,1,4.2,False
Unbabel/COMET,1,4.2,False
ValueCell-ai/valuecell,1,4.2,False
Vision-CAIR/MiniGPT-4,1,4.2,False
XiaoLongtaoo/TIGER,1,4.2,False
Xiaoccer/MobileFaceNet_Pytorch,1,4.2,False
YihangChen-ee/FCGS,1,4.2,False
YihangChen-ee/HAC,1,4.2,False
YihangChen-ee/HAC-plus,1,4.2,False
YunYang1994/tensorflow-yolov3,1,4.2,False
ZainZhao/Personalized-recommend,1,4.2,False
ZhengyaoJiang/PGPortfolio,1,4.2,False
abdulfatir/twitter-sentiment-analysis,1,4.2,False
abhishek-ch/around-dataengineering,1,4.2,False
adobe-research/convmelspec,1,4.2,False
aeon-toolkit/aeon,1,4.2,False
ageitgey/face_recognition,1,4.2,False
agno-agi/agno,1,4.2,False
ahmetgunduz/Real-time-GesRec,1,4.2,False
aiming-lab/AutoResearchClaw,1,4.2,False
akirasosa/mobile-semantic-segmentation,1,4.2,False
aladdinpersson/Machine-Learning-Collection,1,4.2,False
alanchn31/Movalytics-Data-Warehouse,1,4.2,False
alegonz/baikal,1,4.2,False
aleju/imgaug,1,4.2,False
aliasrobotics/cai,1,4.2,False
alibaba/EasyParallelLibrary,1,4.2,False
alicevision/Meshroom,1,4.2,False
alteryx/featuretools,1,4.2,False
amdegroot/ssd.pytorch,1,4.2,False
amirgholami/ZeroQ,1,4.2,False
amor71/LiuAlgoTrader,1,4.2,False
ankonzoid/artificio,1,4.2,False
annoviko/pyclustering,1,4.2,False
ansible/ansible,1,4.2,False
antonior92/ecg-age-prediction,1,4.2,False
apachecn/ailearning,1,4.2,False
argoproj/argo-workflows,1,4.2,False
arogozhnikov/einops,1,4.2,False
asavinov/intelligent-trading-bot,1,4.2,False
asyml/texar,1,4.2,False
augmentedstartups/AS-One,1,4.2,False
autodistill/autodistill,1,4.2,False
ayooshkathuria/pytorch-yolo-v3,1,4.2,False
babysor/MockingBird,1,4.2,False
bentoml/BentoML,1,4.2,False
binance/binance-skills-hub,1,4.2,False
boyac/pyOptionPricing,1,4.2,False
breizhn/DTLN,1,4.2,False
brightmart/text_classification,1,4.2,False
brokermr810/QuantDinger,1,4.2,False
budzianowski/multiwoz,1,4.2,False
caoscott/SReC,1,4.2,False
cavalleria/cavaface,1,4.2,False
cfzd/Ultra-Fast-Lane-Detection,1,4.2,False
chainer/chainer,1,4.2,False
changyeyu/LLM-RL-Visualized,1,4.2,False
chartbeat-labs/textacy,1,4.2,False
cheahjs/free-llm-api-resources,1,4.2,False
cheungdaven/DeepRec,1,4.2,False
chunyuanY/Dialogue,1,4.2,False
cleardusk/3DDFA_V2,1,4.2,False
code-kern-ai/refinery,1,4.2,False
coding-kitties/investing-algorithm-framework,1,4.2,False
colmap/colmap,1,4.2,False
constverum/Quantdom,1,4.2,False
couler-proj/couler,1,4.2,False
cuemacro/finmarketpy,1,4.2,False
curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,1,4.2,False
cvat-ai/cvat,1,4.2,False
cvqluu/Angular-Penalty-Softmax-Losses-Pytorch,1,4.2,False
cylnlp/dialogsum,1,4.2,False
dagster-io/dagster,1,4.2,False
damklis/DataEngineeringProject,1,4.2,False
databricks/spark-deep-learning,1,4.2,False
datacamp/viewflow,1,4.2,False
datapane/datapane,1,4.2,False
datawhalechina/all-in-rag,1,4.2,False
datawhalechina/fun-rec,1,4.2,False
dbolya/yolact,1,4.2,False
dbrojas/optlib,1,4.2,False
ddbourgin/numpy-ml,1,4.2,False
deepcam-cn/yolov5-face,1,4.2,False
deeppavlov/DeepPavlov,1,4.2,False
dkeras-project/dkeras,1,4.2,False
eduardoleao052/Autograd-from-scratch,1,4.2,False
elyra-ai/elyra,1,4.2,False
emedvedev/attention-ocr,1,4.2,False
emilianavt/OpenSeeFace,1,4.2,False
enarjord/passivbot,1,4.2,False
eriklindernoren/PyTorch-YOLOv3,1,4.2,False
explosion/spaCy,1,4.2,True
fastmachinelearning/hls4ml,1,4.2,False
feature-engine/feature_engine,1,4.2,False
federicomariamassari/financial-engineering,1,4.2,False
filipradenovic/cnnimageretrieval-pytorch,1,4.2,False
freqtrade/freqtrade-strategies,1,4.2,False
frgfm/torch-cam,1,4.2,False
frotms/PaddleOCR2Pytorch,1,4.2,False
gandersen101/spaczz,1,4.2,False
gasparian/PicsArtHack-binary-segmentation,1,4.2,False
gaussic/text-classification-cnn-rnn,1,4.2,False
geniusrise/geniusrise,1,4.2,False
getzep/graphiti,1,4.2,False
gmalivenko/pytorch2keras,1,4.2,False
google-deepmind/acme,1,4.2,False
google/adk-python,1,4.2,False
google/gin-config,1,4.2,False
google/tf-quant-finance,1,4.2,False
gpustack/gpustack,1,4.2,False
gradio-app/gradio,1,4.2,True
graphdeco-inria/gaussian-splatting,1,4.2,False
hankcs/HanLP,1,4.2,False
he-yufeng/CoreCoder,1,4.2,False
helmholtz-analytics/heat,1,4.2,False
hexiangnan/neural_collaborative_filtering,1,4.2,False
hiyouga/EasyR1,1,4.2,False
hkproj/pytorch-transformer-distributed,1,4.2,False
hongbo-miao/hongbomiao.com,1,4.2,False
hpcaitech/ColossalAI,1,4.2,False
hplt-project/sacremoses,1,4.2,False
hsliuping/TradingAgents-CN,1,4.2,False
hudson-and-thames/mlfinlab,1,4.2,False
huggingface/accelerate,1,4.2,False
huggingface/autotrain-advanced,1,4.2,False
huggingface/huggingface_hub,1,4.2,False
