"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"jina-ai/serve","https://github.com/jina-ai/serve","bentoml/BentoML","https://github.com/bentoml/BentoML","bentoml","Python","8657","llm","782.86","926","143.14","50","QueryCoverage excluded from Score (recommended).","True","0.2069","0","1","0.7988","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":186.21,""Lexical"":0.0,""Lang"":250.0,""Stars"":139.79,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":926.0,""ScoreFinal"":782.86}","Score>=MinimumScore","build language:Python stars:>=50","The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!","1"
"jina-ai/serve","https://github.com/jina-ai/serve","hongbo-miao/hongbomiao.com","https://github.com/hongbo-miao/hongbomiao.com","hongbo-miao","Python","296","llm","711.63","711.63","0","50","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0.0665","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":11.63,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":711.63,""ScoreFinal"":711.63}","Score>=MinimumScore","topic:cloud-native language:Python stars:>=50","A personal research and development (R&D) lab that facilitates the sharing of knowledge.","2"
"jina-ai/serve","https://github.com/jina-ai/serve","DaoCloud/DaoCloud-docs","https://github.com/DaoCloud/DaoCloud-docs","DaoCloud","Python","202","llm","702.86","702.86","0","50","QueryCoverage excluded from Score (recommended).","True","0.1143","0","1","0","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":102.86,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":702.86,""ScoreFinal"":702.86}","Score>=MinimumScore","topic:cloud-native language:Python stars:>=50","DaoCloud Enterprise 5.0 Documentation","3"
"jina-ai/serve","https://github.com/jina-ai/serve","Netflix/metaflow","https://github.com/Netflix/metaflow","Netflix","Python","10108","llm","693.63","874.25","180.62","50","QueryCoverage excluded from Score (recommended).","False","0.1429","0","1","0.8325","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":145.68,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":180.62,""ScoreBase"":874.25,""ScoreFinal"":693.63}","Score<MinimumScore","build language:Python stars:>=50","Build, Manage and Deploy AI/ML Systems","4"
"jina-ai/serve","https://github.com/jina-ai/serve","agentscope-ai/agentscope","https://github.com/agentscope-ai/agentscope","agentscope-ai","Python","25724","llm","678.52","768.83","90.31","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.9647","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":168.83,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":768.83,""ScoreFinal"":678.52}","Score<MinimumScore","build language:Python stars:>=50","Build and run agents you can see, understand and trust.","0"
"jina-ai/serve","https://github.com/jina-ai/serve","emcie-co/parlant","https://github.com/emcie-co/parlant","emcie-co","Python","18086","llm","677.48","767.79","90.31","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.9588","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":167.79,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":767.79,""ScoreFinal"":677.48}","Score<MinimumScore","build language:Python stars:>=50","Build reliable customer-facing AI agents with Parlant: an interaction control harness optimized for controlled, consistent, and predictable LLM interactions.","0"
"jina-ai/serve","https://github.com/jina-ai/serve","Chainlit/chainlit","https://github.com/Chainlit/chainlit","Chainlit","Python","12131","llm","662.3","752.61","90.31","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.8721","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":152.61,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":752.61,""ScoreFinal"":662.3}","Score<MinimumScore","build language:Python stars:>=50","Build Conversational AI in minutes ⚡️","0"
"jina-ai/serve","https://github.com/jina-ai/serve","microsoft/promptflow","https://github.com/microsoft/promptflow","microsoft","Python","11132","llm","659.04","749.35","90.31","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.8534","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":149.35,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":749.35,""ScoreFinal"":659.04}","Score<MinimumScore","build language:Python stars:>=50","Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.","0"
"jina-ai/serve","https://github.com/jina-ai/serve","nlpxucan/WizardLM","https://github.com/nlpxucan/WizardLM","nlpxucan","Python","9483","llm","652.95","743.26","90.31","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.8186","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":143.26,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":743.26,""ScoreFinal"":652.95}","Score<MinimumScore","build language:Python stars:>=50","LLMs build upon Evol Insturct: WizardLM, WizardCoder, WizardMath","0"
"jina-ai/serve","https://github.com/jina-ai/serve","apify/crawlee-python","https://github.com/apify/crawlee-python","apify","Python","9104","llm","651.4","741.71","90.31","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.8097","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":141.71,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":741.71,""ScoreFinal"":651.4}","Score<MinimumScore","build language:Python stars:>=50","Crawlee—A web scraping and browser automation library for Python to build reliable crawlers. Extract data for AI, LLMs, RAG, or GPTs. Download HTML, PDF, JPG, PNG, and other files from websites. Works with Parsel, BeautifulSoup, Playwright, and raw HTTP. Both headful and headless mode. With proxy rotation.","0"
