"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","stanfordnlp","Python","7803","False","False","9/26/2017 8:00:56 AM","5/25/2026 4:56:52 PM","Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages","artificial-intelligence;corenlp;deep-learning;machine-learning;named-entity-recognition;natural-language-processing;nlp;python;pytorch;universal-dependencies","topic:artificial-intelligence language:Python stars:>=50"
"AlexanderLutsenko/nobuco","https://github.com/AlexanderLutsenko/nobuco","AlexanderLutsenko","Python","344","False","False","4/5/2023 1:26:18 PM","5/7/2026 10:45:34 PM","Pytorch to Keras/Tensorflow/TFLite conversion made intuitive","conversion;converter;deep-learning;keras;machine-learning;model-conversion;model-converter;pytorch;tensorflow;tensorflow-js;tensorflow-lite;tfjs;tflite","topic:model-conversion language:Python stars:>=50"
"langchain-ai/open_deep_research","https://github.com/langchain-ai/open_deep_research","langchain-ai","Python","11507","False","False","11/20/2024 5:37:22 PM","5/27/2026 7:25:21 AM","","","o language:Python stars:>=50"
"deepseek-ai/DeepSeek-OCR","https://github.com/deepseek-ai/DeepSeek-OCR","deepseek-ai","Python","23182","False","False","10/17/2025 6:14:27 AM","5/27/2026 7:08:18 AM","Contexts Optical Compression","","o language:Python stars:>=50"
"evilsocket/opensnitch","https://github.com/evilsocket/opensnitch","evilsocket","Python","13689","False","False","4/16/2017 2:02:50 PM","5/26/2026 10:53:59 PM","OpenSnitch is a GNU/Linux interactive application firewall inspired by Little Snitch.","application-firewall;data-breach;firewall;linux;networking;security","o language:Python stars:>=50"
"Lightning-AI/litgpt","https://github.com/Lightning-AI/litgpt","Lightning-AI","Python","13387","False","False","5/4/2023 5:46:11 PM","5/27/2026 1:54:43 AM","20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.","ai;artificial-intelligence;deep-learning;large-language-models;llm;llm-inference;llms","topic:artificial-intelligence language:Python stars:>=50"
"cunjian/pytorch_face_landmark","https://github.com/cunjian/pytorch_face_landmark","cunjian","Python","919","False","False","2/2/2020 10:42:57 PM","5/27/2026 6:00:18 AM","Fast and accurate face landmark detection library using PyTorch; Support 68-point semi-frontal and 39-point profile landmark detection; Support both coordinate-based and heatmap-based inference; Up to 100 FPS landmark inference speed with SOTA face detector on CPU.","face-alignment;face-landmark-detection;onnx;openvino;pytorch-face-landmark","topic:onnx language:Python stars:>=50 | ONNX language:Python stars:>=50"
"DeepVAC/deepvac","https://github.com/DeepVAC/deepvac","DeepVAC","Python","681","False","False","7/17/2020 11:17:33 AM","5/19/2026 2:03:27 AM","PyTorch Project Specification.","amp;coreml;ddp;deepvac;ncnn;onnx;python;pytorch;quantization;tensorboard;tensorrt;torchscript","topic:onnx language:Python stars:>=50"
"microsoft/VibeVoice","https://github.com/microsoft/VibeVoice","microsoft","Python","47458","False","False","8/25/2025 1:24:01 PM","5/27/2026 7:24:18 AM","Open-Source Frontier Voice AI","","open language:Python stars:>=50"
"jundot/omlx","https://github.com/jundot/omlx","jundot","Python","15265","False","False","2/13/2026 2:13:27 PM","5/27/2026 7:50:14 AM","LLM inference server with continuous batching & SSD caching for Apple Silicon — managed from the macOS menu bar","apple-silicon;inference-server;llm;macos;mlx;openai-api","o language:Python stars:>=50"
