"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","jfkirk/tensorrec","https://github.com/jfkirk/tensorrec","jfkirk","Python","1301","deep-learning","848.05","848.05","0","100","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.3889","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":68.05,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":848.05,""ScoreFinal"":848.05}","Score>=MinimumScore","topic:recommender-system language:Python stars:>=50 | topic:recommendation-system language:Python stars:>=50","A TensorFlow recommendation algorithm and framework in Python.","1"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","wzhe06/Reco-papers","https://github.com/wzhe06/Reco-papers","wzhe06","Python","3548","deep-learning","841.16","841.16","0","100","QueryCoverage excluded from Score (recommended).","True","0.15","0","1","0.6066","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":135.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":106.16,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":841.16,""ScoreFinal"":841.16}","Score>=MinimumScore","topic:recommender-system language:Python stars:>=50 | topic:recommendation language:Python stars:>=50","Classic papers and resources on recommendation","2"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","ylongqi/openrec","https://github.com/ylongqi/openrec","ylongqi","Python","417","deep-learning","836.72","836.72","0","100","QueryCoverage excluded from Score (recommended).","True","0.2632","0","1","0.1422","0.8","1","0.6667","Lang+Topic+Subdomain","{""Topic"":236.84,""Lexical"":0.0,""Lang"":250.0,""Stars"":24.88,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":836.72,""ScoreFinal"":836.72}","Score>=MinimumScore","topic:recommendation language:Python stars:>=50 | topic:recommendation-system language:Python stars:>=50","OpenRec is an open-source and modular library for neural network-inspired recommendation algorithms","3"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","maciejkula/spotlight","https://github.com/maciejkula/spotlight","maciejkula","Python","3047","deep-learning","828.95","828.95","0","50","QueryCoverage excluded from Score (recommended).","True","0.1429","0","1","0.5736","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":100.38,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":828.95,""ScoreFinal"":828.95}","Score>=MinimumScore","topic:recommender-system language:Python stars:>=50","Deep recommender models using PyTorch.","4"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","RUCAIBox/RecBole","https://github.com/RUCAIBox/RecBole","RUCAIBox","Python","4449","deep-learning","822.76","822.76","0","50","QueryCoverage excluded from Score (recommended).","True","0.12","0","1","0.6558","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":108.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":114.76,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":822.76,""ScoreFinal"":822.76}","Score>=MinimumScore","topic:recommendation-system language:Python stars:>=50","A unified, comprehensive and efficient recommendation library","5"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","datawhalechina/fun-rec","https://github.com/datawhalechina/fun-rec","datawhalechina","Python","7130","deep-learning","810.94","810.94","0","50","QueryCoverage excluded from Score (recommended).","True","0.087","0","1","0.7582","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":78.26,""Lexical"":0.0,""Lang"":250.0,""Stars"":132.68,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":810.94,""ScoreFinal"":810.94}","Score>=MinimumScore","topic:recommender-system language:Python stars:>=50","推荐系统入门教程，在线阅读地址：https://datawhalechina.github.io/fun-rec/","6"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","cheungdaven/DeepRec","https://github.com/cheungdaven/DeepRec","cheungdaven","Python","1163","deep-learning","807.8","807.8","0","100","QueryCoverage excluded from Score (recommended).","True","0.16","0","1","0.3646","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":144.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":63.8,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":807.8,""ScoreFinal"":807.8}","Score>=MinimumScore","topic:recommendation language:Python stars:>=50 | topic:recommendation-system language:Python stars:>=50","An Open-source Toolkit for Deep Learning based Recommendation with Tensorflow.","7"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","wzhe06/SparrowRecSys","https://github.com/wzhe06/SparrowRecSys","wzhe06","Python","2764","deep-learning","796.67","796.67","0","50","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0.5524","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":96.67,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":796.67,""ScoreFinal"":796.67}","Score>=MinimumScore","topic:recommender-system language:Python stars:>=50","A Deep Learning Recommender System","8"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","MTSWebServices/RecTools","https://github.com/MTSWebServices/RecTools","MTSWebServices","Python","442","deep-learning","790.72","790.72","0","100","QueryCoverage excluded from Score (recommended).","True","0.1818","0","1","0.1548","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":163.64,""Lexical"":0.0,""Lang"":250.0,""Stars"":27.09,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":790.72,""ScoreFinal"":790.72}","Score>=MinimumScore","topic:recommender-system language:Python stars:>=50 | topic:recommendation-system language:Python stars:>=50","RecTools - library to build Recommendation Systems easier and faster than ever before","9"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","NVIDIA-Merlin/Merlin","https://github.com/NVIDIA-Merlin/Merlin","NVIDIA-Merlin","Python","891","deep-learning","788.68","788.68","0","100","QueryCoverage excluded from Score (recommended).","True","0.15","0","1","0.3068","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":135.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":53.68,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":788.68,""ScoreFinal"":788.68}","Score>=MinimumScore","topic:recommender-system language:Python stars:>=50 | topic:recommendation-system language:Python stars:>=50","NVIDIA Merlin is an open source library providing end-to-end GPU-accelerated recommender systems, from feature engineering and preprocessing to training deep learning models and running inference in production.","10"
