"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","scikit-learn-contrib/imbalanced-learn","https://github.com/scikit-learn-contrib/imbalanced-learn","scikit-learn-contrib","Python","7104","ui","1597.17","1806.86","209.69","50","QueryCoverage excluded from Score (recommended).","True","1","0.3333","1","0.5154","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":900.0,""Lexical"":216.67,""Lang"":250.0,""Stars"":90.2,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":209.69,""ScoreBase"":1806.86,""ScoreFinal"":1597.17}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50"," A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning","1"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","probabl-ai/skore","https://github.com/probabl-ai/skore","probabl-ai","Python","639","ui","906.86","1050","143.14","50","QueryCoverage excluded from Score (recommended).","True","0.5","0","1","0","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":450.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":1050.0,""ScoreFinal"":906.86}","Score>=MinimumScore","topic:data-visualization language:Python stars:>=50","Track your Data Science. Skore's open-source Python library accelerates ML model development with automated evaluation reports, smart methodological guidance, and comprehensive cross-validation analysis.","2"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","scikit-mobility/scikit-mobility","https://github.com/scikit-mobility/scikit-mobility","scikit-mobility","Python","805","ui","896.43","896.43","0","50","QueryCoverage excluded from Score (recommended).","True","0.2308","0.125","1","0.0428","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":207.69,""Lexical"":81.25,""Lang"":250.0,""Stars"":7.49,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":896.43,""ScoreFinal"":896.43}","Score>=MinimumScore","scikit language:Python stars:>=50","scikit-mobility: mobility analysis in Python","3"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","fbdesignpro/sweetviz","https://github.com/fbdesignpro/sweetviz","fbdesignpro","Python","3103","ui","824.26","1004.88","180.62","100","QueryCoverage excluded from Score (recommended).","True","0.3846","0","1","0.3356","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":346.15,""Lexical"":0.0,""Lang"":250.0,""Stars"":58.73,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":180.62,""ScoreBase"":1004.88,""ScoreFinal"":824.26}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","Visualize and compare datasets, target values and associations, with one line of code.","4"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","scikit-learn-contrib/metric-learn","https://github.com/scikit-learn-contrib/metric-learn","scikit-learn-contrib","Python","1434","","822.27","822.27","0","50","QueryCoverage excluded from Score (recommended).","True","0.2857","0.2857","1","0.1681","0.8","0","0.3333","Topic+Lang+Lexical","{""Topic"":257.14,""Lexical"":185.71,""Lang"":250.0,""Stars"":29.41,""Recency"":100.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":822.27,""ScoreFinal"":822.27}","Score>=MinimumScore","scikit-learn language:Python stars:>=50","Metric learning algorithms in Python","5"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","rio-labs/rio","https://github.com/rio-labs/rio","rio-labs","Python","3404","ui","819.11","962.25","143.14","100","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.3557","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":62.25,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":962.25,""ScoreFinal"":819.11}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","WebApps in pure Python. No JavaScript, HTML and CSS needed","6"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","pandas-dev/pandas","https://github.com/pandas-dev/pandas","pandas-dev","Python","48855","ui","814.69","1100.97","286.27","100","QueryCoverage excluded from Score (recommended).","True","0.375","0","1","0.9341","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":337.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":163.47,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":286.27,""ScoreBase"":1100.97,""ScoreFinal"":814.69}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-science language:Python stars:>=50","Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more","7"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","sebp/scikit-survival","https://github.com/sebp/scikit-survival","sebp","Python","1300","data-science","802.27","802.27","0","100","QueryCoverage excluded from Score (recommended).","True","0.2857","0.2222","1","0.1468","1","0","0.6667","Topic+Lang+Lexical","{""Topic"":257.14,""Lexical"":144.44,""Lang"":250.0,""Stars"":25.68,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":802.27,""ScoreFinal"":802.27}","Score>=MinimumScore","scikit-learn language:Python stars:>=50 | scikit language:Python stars:>=50","Survival analysis built on top of scikit-learn","8"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","airbnb/knowledge-repo","https://github.com/airbnb/knowledge-repo","airbnb","Python","5534","ui","794.71","937.85","143.14","50","QueryCoverage excluded from Score (recommended).","True","0.2857","0","1","0.4612","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":257.14,""Lexical"":0.0,""Lang"":250.0,""Stars"":80.71,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":937.85,""ScoreFinal"":794.71}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50","A next-generation curated knowledge sharing platform for data scientists and other technical professions.","9"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","uxlfoundation/scikit-learn-intelex","https://github.com/uxlfoundation/scikit-learn-intelex","uxlfoundation","Python","1347","ui","792.44","973.06","180.62","150","QueryCoverage excluded from Score (recommended).","True","0.1875","0.2727","1","0.1545","1","1","1","Lang+Subdomain+Lexical","{""Topic"":168.75,""Lexical"":177.27,""Lang"":250.0,""Stars"":27.03,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":180.62,""ScoreBase"":973.06,""ScoreFinal"":792.44}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | scikit-learn language:Python stars:>=50 | scikit language:Python stars:>=50"," Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application","10"
