"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","jasonwu0731/trade-dst","https://github.com/jasonwu0731/trade-dst","jasonwu0731","Python","393","nlp","920.52","920.52","0","50","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.1172","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":20.52,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":920.52,""ScoreFinal"":920.52}","Score>=MinimumScore","topic:dialogue language:Python stars:>=50","Source code for transferable dialogue state generator (TRADE, Wu et al., 2019). https://arxiv.org/abs/1905.08743 ","1"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","budzianowski/multiwoz","https://github.com/budzianowski/multiwoz","budzianowski","Python","947","nlp","899.34","899.34","0","50","QueryCoverage excluded from Score (recommended).","True","0.2727","0","1","0.3079","1","1","0.3333","Lang+Topic+Subdomain","{""Topic"":245.45,""Lexical"":0.0,""Lang"":250.0,""Stars"":53.88,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":899.34,""ScoreFinal"":899.34}","Score>=MinimumScore","topic:dialogue language:Python stars:>=50","Source code for end-to-end dialogue model from the MultiWOZ paper (Budzianowski et al. 2018, EMNLP)","2"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14625","nlp","867.55","957.86","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.2222","0","1","0.9021","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":200.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":157.86,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":957.86,""ScoreFinal"":867.55}","Score>=MinimumScore","nlp language:Python stars:>=50 | topic:nlp stars:>=100","NLTK Source","3"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","Maluuba/nlg-eval","https://github.com/Maluuba/nlg-eval","Maluuba","Python","1394","nlp","865.47","865.47","0","100","QueryCoverage excluded from Score (recommended).","True","0.15","0.0952","1","0.3918","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":135.0,""Lexical"":61.9,""Lang"":250.0,""Stars"":68.56,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":865.47,""ScoreFinal"":865.47}","Score>=MinimumScore","topic:dialogue language:Python stars:>=50 | topic:machine-translation language:Python stars:>=50","Evaluation code for various unsupervised automated metrics for Natural Language Generation.","4"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","hankcs/HanLP","https://github.com/hankcs/HanLP","hankcs","Python","36326","nlp","817.26","907.57","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.1667","0","1","0.9004","1","1","0.6667","Lang+Subdomain+Stars","{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":157.57,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":907.57,""ScoreFinal"":817.26}","Score>=MinimumScore","nlp language:Python stars:>=50 | topic:nlp stars:>=100","中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理","5"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","shawnwun/NNDIAL","https://github.com/shawnwun/NNDIAL","shawnwun","Python","352","nlp","799.03","799.03","0","50","QueryCoverage excluded from Score (recommended).","True","0.2308","0","1","0.0934","0.8","1","0.3333","Lang+Subdomain+Topic","{""Topic"":207.69,""Lexical"":0.0,""Lang"":250.0,""Stars"":16.34,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":799.03,""ScoreFinal"":799.03}","Score>=MinimumScore","topic:dialogue language:Python stars:>=50","NNDial is an open source toolkit for building end-to-end trainable task-oriented dialogue models. It is released by Tsung-Hsien (Shawn) Wen from Cambridge Dialogue Systems Group under Apache License 2.0.","6"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","thammegowda/mtdata","https://github.com/thammegowda/mtdata","thammegowda","Python","164","nlp","780","780","0","50","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":780.0,""ScoreFinal"":780.0}","Score>=MinimumScore","topic:machine-translation language:Python stars:>=50","A tool that locates, downloads, and extracts machine translation corpora","7"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","DA-southampton/NLP_ability","https://github.com/DA-southampton/NLP_ability","DA-southampton","Python","7493","nlp","778.88","778.88","0","50","QueryCoverage excluded from Score (recommended).","True","0","0.0714","1","0.7569","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":46.43,""Lang"":250.0,""Stars"":132.45,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":778.88,""ScoreFinal"":778.88}","Score>=MinimumScore","nlp language:Python stars:>=50","总结梳理自然语言处理工程师(NLP)需要积累的各方面知识，包括面试题，各种基础知识，工程能力等等，提升核心竞争力","8"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","jasonwu0731/ToD-BERT","https://github.com/jasonwu0731/ToD-BERT","jasonwu0731","Python","295","nlp","764.65","764.65","0","50","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.0551","0.8","1","0.3333","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":9.65,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":764.65,""ScoreFinal"":764.65}","Score>=MinimumScore","topic:dialogue language:Python stars:>=50","Pre-Trained Models for ToD-BERT","9"
"sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","CLUEbenchmark/CLUEDatasetSearch","https://github.com/CLUEbenchmark/CLUEDatasetSearch","CLUEbenchmark","Python","4443","nlp","759.96","759.96","0","50","QueryCoverage excluded from Score (recommended).","True","0.0526","0","1","0.6434","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":47.37,""Lexical"":0.0,""Lang"":250.0,""Stars"":112.59,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":759.96,""ScoreFinal"":759.96}","Score>=MinimumScore","topic:machine-translation language:Python stars:>=50","搜索所有中文NLP数据集，附常用英文NLP数据集","10"
