"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"serengil/deepface","https://github.com/serengil/deepface","RangiLyu/nanodet","https://github.com/RangiLyu/nanodet","RangiLyu","Python","6212","deep-learning","754.57","754.57","0","50","QueryCoverage excluded from Score (recommended).","True","0.0323","0","1","0.7174","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":29.03,""Lexical"":0.0,""Lang"":250.0,""Stars"":125.54,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":754.57,""ScoreFinal"":754.57}","Score>=MinimumScore","lightweight language:Python stars:>=50","NanoDet-Plus⚡Super fast and lightweight anchor-free object detection model. 🔥Only 980 KB(int8) / 1.8MB (fp16) and run 97FPS on cellphone🔥","1"
"serengil/deepface","https://github.com/serengil/deepface","Lasagne/Lasagne","https://github.com/Lasagne/Lasagne","Lasagne","Python","3864","deep-learning","752.5","752.5","0","50","QueryCoverage excluded from Score (recommended).","True","0.05","0","1","0.6143","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":45.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":107.5,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":752.5,""ScoreFinal"":752.5}","Score>=MinimumScore","lightweight language:Python stars:>=50","Lightweight library to build and train neural networks in Theano","2"
"serengil/deepface","https://github.com/serengil/deepface","deepinsight/insightface","https://github.com/deepinsight/insightface","deepinsight","Python","28821","deep-learning","747.84","838.15","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.08","0","1","0.9494","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":72.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":166.15,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":838.15,""ScoreFinal"":747.84}","Score>=MinimumScore","topic:arcface language:Python stars:>=50","State-of-the-art 2D and 3D Face Analysis Project","3"
"serengil/deepface","https://github.com/serengil/deepface","wujiyang/Face_Pytorch","https://github.com/wujiyang/Face_Pytorch","wujiyang","Python","831","deep-learning","739.14","739.14","0","50","QueryCoverage excluded from Score (recommended).","True","0.1","0","1","0.2808","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":90.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":49.14,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":739.14,""ScoreFinal"":739.14}","Score>=MinimumScore","topic:arcface language:Python stars:>=50","face recognition algorithms  in pytorch framework, including arcface, cosface, sphereface and so on","4"
"serengil/deepface","https://github.com/serengil/deepface","Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB","https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB","Linzaer","Python","7530","deep-learning","732.85","732.85","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.7591","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":132.85,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":732.85,""ScoreFinal"":732.85}","Score>=MinimumScore","lightweight language:Python stars:>=50"," 💎1MB lightweight face detection model  (1MB轻量级人脸检测模型)","5"
"serengil/deepface","https://github.com/serengil/deepface","google/gin-config","https://github.com/google/gin-config","google","Python","2152","deep-learning","730.27","730.27","0","50","QueryCoverage excluded from Score (recommended).","True","0.05","0","1","0.4872","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":45.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":85.27,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":730.27,""ScoreFinal"":730.27}","Score>=MinimumScore","lightweight language:Python stars:>=50","Gin provides a lightweight configuration framework for Python","6"
"serengil/deepface","https://github.com/serengil/deepface","Daniil-Osokin/lightweight-human-pose-estimation.pytorch","https://github.com/Daniil-Osokin/lightweight-human-pose-estimation.pytorch","Daniil-Osokin","Python","2239","deep-learning","720.11","720.11","0","50","QueryCoverage excluded from Score (recommended).","True","0.037","0","1","0.4958","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":33.33,""Lexical"":0.0,""Lang"":250.0,""Stars"":86.77,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":720.11,""ScoreFinal"":720.11}","Score>=MinimumScore","lightweight language:Python stars:>=50","Fast and accurate human pose estimation in PyTorch. Contains implementation of ""Real-time 2D Multi-Person Pose Estimation on CPU: Lightweight OpenPose"" paper.","7"
"serengil/deepface","https://github.com/serengil/deepface","TachibanaYoshino/AnimeGAN","https://github.com/TachibanaYoshino/AnimeGAN","TachibanaYoshino","Python","4603","deep-learning","714.15","714.15","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.6523","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":114.15,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":714.15,""ScoreFinal"":714.15}","Score>=MinimumScore","lightweight language:Python stars:>=50","A Tensorflow implementation of AnimeGAN for fast photo animation  ! This is the Open source of the paper 「AnimeGAN: a novel lightweight GAN for photo animation」, which uses the GAN framwork to transform real-world photos into anime images.","8"
"serengil/deepface","https://github.com/serengil/deepface","Xiaoccer/MobileFaceNet_Pytorch","https://github.com/Xiaoccer/MobileFaceNet_Pytorch","Xiaoccer","Python","406","deep-learning","711.97","711.97","0","50","QueryCoverage excluded from Score (recommended).","True","0.1","0","1","0.1255","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":90.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":21.97,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":711.97,""ScoreFinal"":711.97}","Score>=MinimumScore","topic:arcface language:Python stars:>=50"," MobileFaceNets: Efficient CNNs for Accurate Real-Time Face Verification on Mobile Devices","9"
"serengil/deepface","https://github.com/serengil/deepface","4uiiurz1/keras-arcface","https://github.com/4uiiurz1/keras-arcface","4uiiurz1","Python","286","deep-learning","708.69","708.69","0","50","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0.0497","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":8.69,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":708.69,""ScoreFinal"":708.69}","Score>=MinimumScore","topic:arcface language:Python stars:>=50","Keras implementation of ArcFace, CosFace, and SphereFace","10"
