CandidateRepo,Frequency,PctOfAnchors,Source
Lightning-AI/pytorch-lightning,2,10.0,30_Matches_final
Megvii-BaseDetection/YOLOX,2,10.0,30_Matches_final
NannyML/nannyml,2,10.0,30_Matches_final
PINTO0309/PINTO_model_zoo,2,10.0,30_Matches_final
PeterL1n/RobustVideoMatting,2,10.0,30_Matches_final
ResidentMario/missingno,2,10.0,30_Matches_final
airbnb/knowledge-repo,2,10.0,30_Matches_final
apache/tvm,2,10.0,30_Matches_final
apple/coremltools,2,10.0,30_Matches_final
catalyst-team/catalyst,2,10.0,30_Matches_final
datajuicer/data-juicer,2,10.0,30_Matches_final
deepinsight/insightface,2,10.0,30_Matches_final
dfm/corner.py,2,10.0,30_Matches_final
edtechre/pybroker,2,10.0,30_Matches_final
fbdesignpro/sweetviz,2,10.0,30_Matches_final
flairNLP/flair,2,10.0,30_Matches_final
flwrlabs/flower,2,10.0,30_Matches_final
google-deepmind/sonnet,2,10.0,30_Matches_final
has2k1/plotnine,2,10.0,30_Matches_final
justinzm/gopup,2,10.0,30_Matches_final
keras-team/keras,2,10.0,30_Matches_final
kornia/kornia,2,10.0,30_Matches_final
lucidrains/denoising-diffusion-pytorch,2,10.0,30_Matches_final
microsoft/MMdnn,2,10.0,30_Matches_final
ndleah/python-mini-project,2,10.0,30_Matches_final
piskvorky/gensim,2,10.0,30_Matches_final
predict-idlab/plotly-resampler,2,10.0,30_Matches_final
probabl-ai/skore,2,10.0,30_Matches_final
python-visualization/folium,2,10.0,30_Matches_final
reflex-dev/reflex,2,10.0,30_Matches_final
rio-labs/rio,2,10.0,30_Matches_final
scikit-learn-contrib/imbalanced-learn,2,10.0,30_Matches_final
scikit-learn/scikit-learn,2,10.0,30_Matches_final
stanfordnlp/stanza,2,10.0,30_Matches_final
tflearn/tflearn,2,10.0,30_Matches_final
tinyvision/DAMO-YOLO,2,10.0,30_Matches_final
unit8co/darts,2,10.0,30_Matches_final
voxel51/fiftyone,2,10.0,30_Matches_final
wandb/wandb,2,10.0,30_Matches_final
0x4m4/hexstrike-ai,1,5.0,30_Matches_final
2noise/ChatTTS,1,5.0,30_Matches_final
4uiiurz1/keras-arcface,1,5.0,30_Matches_final
666DZY666/micronet,1,5.0,30_Matches_final
AIGC-Audio/AudioGPT,1,5.0,30_Matches_final
AIInAi/tf-insightface,1,5.0,30_Matches_final
AkiRusProd/numpy-nn-model,1,5.0,30_Matches_final
AlexanderLutsenko/nobuco,1,5.0,30_Matches_final
Amm1rr/WebAI-to-API,1,5.0,30_Matches_final
Anjok07/ultimatevocalremovergui,1,5.0,30_Matches_final
AsuharietYgvar/AppleNeuralHash2ONNX,1,5.0,30_Matches_final
BasPH/data-pipelines-with-apache-airflow,1,5.0,30_Matches_final
Blaizzy/mlx-audio,1,5.0,30_Matches_final
BlinkDL/RWKV-LM,1,5.0,30_Matches_final
CLUEbenchmark/CLUEDatasetSearch,1,5.0,30_Matches_final
