"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"explosion/spaCy","https://github.com/explosion/spaCy","huggingface/autotrain-advanced","https://github.com/huggingface/autotrain-advanced","huggingface","Python","4573","deep-learning","879.21","879.21","0","50","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.5669","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":99.21,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":879.21,""ScoreFinal"":879.21}","Score>=MinimumScore","topic:natural-language-processing language:Python stars:>=50","🤗 AutoTrain Advanced","1"
"explosion/spaCy","https://github.com/explosion/spaCy","catalyst-team/catalyst","https://github.com/catalyst-team/catalyst","catalyst-team","Python","3376","deep-learning","828.3","828.3","0","50","QueryCoverage excluded from Score (recommended).","True","0.1562","0","1","0.501","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":140.62,""Lexical"":0.0,""Lang"":250.0,""Stars"":87.68,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":828.3,""ScoreFinal"":828.3}","Score>=MinimumScore","topic:natural-language-processing language:Python stars:>=50","Accelerated deep learning R&D","2"
"explosion/spaCy","https://github.com/explosion/spaCy","NTMC-Community/MatchZoo","https://github.com/NTMC-Community/MatchZoo","NTMC-Community","Python","3849","deep-learning","827.66","827.66","0","50","QueryCoverage excluded from Score (recommended).","True","0.15","0","1","0.5295","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":135.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":92.66,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":827.66,""ScoreFinal"":827.66}","Score>=MinimumScore","topic:natural-language-processing language:Python stars:>=50","Facilitating the design, comparison and sharing of deep text matching models.","3"
"explosion/spaCy","https://github.com/explosion/spaCy","flairNLP/flair","https://github.com/flairNLP/flair","flairNLP","Python","14376","deep-learning","823.85","914.16","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.1905","0","1","0.8156","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":171.43,""Lexical"":0.0,""Lang"":250.0,""Stars"":142.73,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":914.16,""ScoreFinal"":823.85}","Score>=MinimumScore","topic:nlp language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50","A very simple framework for state-of-the-art Natural Language Processing (NLP)","4"
"explosion/spaCy","https://github.com/explosion/spaCy","huggingface/huggingface_hub","https://github.com/huggingface/huggingface_hub","huggingface","Python","3633","deep-learning","813.19","813.19","0","50","QueryCoverage excluded from Score (recommended).","True","0.1364","0","1","0.5169","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":122.73,""Lexical"":0.0,""Lang"":250.0,""Stars"":90.46,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":813.19,""ScoreFinal"":813.19}","Score>=MinimumScore","topic:natural-language-processing language:Python stars:>=50","The official Python client for the Hugging Face Hub.","5"
"explosion/spaCy","https://github.com/explosion/spaCy","modelscope/modelscope","https://github.com/modelscope/modelscope","modelscope","Python","8950","deep-learning","805.84","896.15","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.1905","0","1","0.7127","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":171.43,""Lexical"":0.0,""Lang"":250.0,""Stars"":124.72,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":896.15,""ScoreFinal"":805.84}","Score>=MinimumScore","topic:nlp language:Python stars:>=50","ModelScope: bring the notion of Model-as-a-Service to life.","6"
"explosion/spaCy","https://github.com/explosion/spaCy","stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","stanfordnlp","Python","7803","deep-learning","801.06","1034.51","233.45","100","QueryCoverage excluded from Score (recommended).","True","0.35","0","1","0.6829","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":315.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":119.51,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":233.45,""ScoreBase"":1034.51,""ScoreFinal"":801.06}","Score>=MinimumScore","topic:nlp language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50","Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages","7"
"explosion/spaCy","https://github.com/explosion/spaCy","PaddlePaddle/models","https://github.com/PaddlePaddle/models","PaddlePaddle","Python","6943","deep-learning","728.46","871.59","143.14","100","QueryCoverage excluded from Score (recommended).","True","0.1739","0","1","0.6576","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":156.52,""Lexical"":0.0,""Lang"":250.0,""Stars"":115.07,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":871.59,""ScoreFinal"":728.46}","Score>=MinimumScore","topic:nlp language:Python stars:>=50 | topic:natural-language-processing language:Python stars:>=50","Officially maintained, supported by PaddlePaddle, including CV, NLP, Speech, Rec, TS, big models and so on.","8"
"explosion/spaCy","https://github.com/explosion/spaCy","code-kern-ai/refinery","https://github.com/code-kern-ai/refinery","code-kern-ai","Python","1471","llm","720.41","720.41","0","50","QueryCoverage excluded from Score (recommended).","True","0.3214","0","1","0.3207","1","0","0.3333","Topic+Lang+Recency","{""Topic"":289.29,""Lexical"":0.0,""Lang"":250.0,""Stars"":56.12,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":720.41,""ScoreFinal"":720.41}","Score>=MinimumScore","topic:spacy language:Python stars:>=50","The data scientist's open-source choice to scale, assess and maintain natural language data. Treat training data like a software artifact.","9"
"explosion/spaCy","https://github.com/explosion/spaCy","zihangdai/xlnet","https://github.com/zihangdai/xlnet","zihangdai","Python","6175","deep-learning","720.31","810.62","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0.6321","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":110.62,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":810.62,""ScoreFinal"":720.31}","Score>=MinimumScore","topic:nlp language:Python stars:>=50","XLNet: Generalized Autoregressive Pretraining for Language Understanding","10"
