"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"huggingface/transformers","https://github.com/huggingface/transformers","GradientHQ/parallax","https://github.com/GradientHQ/parallax","GradientHQ","Python","1300","llm","817.24","817.24","0","50","QueryCoverage excluded from Score (recommended).","True","0.2414","0","1","0","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":217.24,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":817.24,""ScoreFinal"":817.24}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","Parallax is a distributed model serving framework that lets you build your own AI cluster anywhere","1"
"huggingface/transformers","https://github.com/huggingface/transformers","hiyouga/EasyR1","https://github.com/hiyouga/EasyR1","hiyouga","Python","4960","llm","799.29","799.29","0","50","QueryCoverage excluded from Score (recommended).","True","0.1739","0","1","0.2444","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":156.52,""Lexical"":0.0,""Lang"":250.0,""Stars"":42.77,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":799.29,""ScoreFinal"":799.29}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","EasyR1: An Efficient, Scalable, Multi-Modality RL Training Framework based on veRL","2"
"huggingface/transformers","https://github.com/huggingface/transformers","speechbrain/speechbrain","https://github.com/speechbrain/speechbrain","speechbrain","Python","11568","llm","777.8","777.8","0","100","QueryCoverage excluded from Score (recommended).","True","0.1143","0","1","0.4283","1","1","0.6667","Lang+Subdomain+Recency","{""Topic"":102.86,""Lexical"":0.0,""Lang"":250.0,""Stars"":74.95,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":777.8,""ScoreFinal"":777.8}","Score>=MinimumScore","topic:audio language:Python stars:>=50 | transformers language:Python stars:>=50","A PyTorch-based Speech Toolkit","3"
"huggingface/transformers","https://github.com/huggingface/transformers","Tencent/AngelSlim","https://github.com/Tencent/AngelSlim","Tencent","Python","1249","llm","766.67","766.67","0","100","QueryCoverage excluded from Score (recommended).","True","0.1852","0","1","0","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":166.67,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":766.67,""ScoreFinal"":766.67}","Score>=MinimumScore","topic:audio language:Python stars:>=50 | topic:deepseek language:Python stars:>=50","Model compression toolkit engineered for enhanced usability, comprehensiveness, and efficiency.","4"
"huggingface/transformers","https://github.com/huggingface/transformers","OpenBMB/UltraRAG","https://github.com/OpenBMB/UltraRAG","OpenBMB","Python","5559","llm","759.6","759.6","0","50","QueryCoverage excluded from Score (recommended).","True","0.125","0","1","0.2692","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":112.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":47.1,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":759.6,""ScoreFinal"":759.6}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","A Low-Code MCP Framework for Building Complex and Innovative RAG Pipelines","5"
"huggingface/transformers","https://github.com/huggingface/transformers","datawhalechina/all-in-rag","https://github.com/datawhalechina/all-in-rag","datawhalechina","Python","7962","llm","757.18","757.18","0","50","QueryCoverage excluded from Score (recommended).","True","0.1071","0","1","0.3472","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":96.43,""Lexical"":0.0,""Lang"":250.0,""Stars"":60.75,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":757.18,""ScoreFinal"":757.18}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","🔍大模型应用开发实战一：RAG 技术全栈指南，在线阅读地址：https://datawhalechina.github.io/all-in-rag/","6"
"huggingface/transformers","https://github.com/huggingface/transformers","raullenchai/Rapid-MLX","https://github.com/raullenchai/Rapid-MLX","raullenchai","Python","2434","llm","752.09","752.09","0","50","QueryCoverage excluded from Score (recommended).","True","0.1515","0","1","0.0899","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":136.36,""Lexical"":0.0,""Lang"":250.0,""Stars"":15.73,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":752.09,""ScoreFinal"":752.09}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","The fastest local AI engine for Apple Silicon. 4.2x faster than Ollama, 0.08s cached TTFT, 100% tool calling. 17 tool parsers, prompt cache, reasoning separation, cloud routing. Drop-in OpenAI replacement. Works with Claude Code, Cursor, Aider.","7"
"huggingface/transformers","https://github.com/huggingface/transformers","vladmandic/sdnext","https://github.com/vladmandic/sdnext","vladmandic","Python","7098","llm","723.06","723.06","0","50","QueryCoverage excluded from Score (recommended).","True","0.0741","0","1","0.3222","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":66.67,""Lexical"":0.0,""Lang"":250.0,""Stars"":56.39,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":723.06,""ScoreFinal"":723.06}","Score>=MinimumScore","transformers language:Python stars:>=50","SD.Next: All-in-one WebUI for AI generative image and video creation, captioning and processing","8"
"huggingface/transformers","https://github.com/huggingface/transformers","gpustack/gpustack","https://github.com/gpustack/gpustack","gpustack","Python","5056","llm","722.91","722.91","0","50","QueryCoverage excluded from Score (recommended).","True","0.0882","0","1","0.2486","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":79.41,""Lexical"":0.0,""Lang"":250.0,""Stars"":43.5,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":722.91,""ScoreFinal"":722.91}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","A GPU cluster manager that configures and orchestrates inference engines like vLLM and SGLang for high-performance AI model deployment.","9"
"huggingface/transformers","https://github.com/huggingface/transformers","lss233/kirara-ai","https://github.com/lss233/kirara-ai","lss233","Python","18760","llm","717","717","0","50","QueryCoverage excluded from Score (recommended).","True","0.0263","0","1","0.5333","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":23.68,""Lexical"":0.0,""Lang"":250.0,""Stars"":93.32,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":717.0,""ScoreFinal"":717.0}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","🤖 可 DIY 的 多模态 AI 聊天机器人 | 🚀 快速接入 微信、 QQ、Telegram、等聊天平台 | 🦈支持DeepSeek、Grok、Claude、Ollama、Gemini、OpenAI | 工作流系统、网页搜索、AI画图、人设调教、虚拟女仆、语音对话 | ","10"
"huggingface/transformers","https://github.com/huggingface/transformers","zilliztech/deep-searcher","https://github.com/zilliztech/deep-searcher","zilliztech","Python","7845","llm","713.13","713.13","0","50","QueryCoverage excluded from Score (recommended).","True","0.0588","0","1","0.3439","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":52.94,""Lexical"":0.0,""Lang"":250.0,""Stars"":60.19,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":713.13,""ScoreFinal"":713.13}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","Open Source Deep Research Alternative to Reason and Search on Private Data. Written in Python.","11"
"huggingface/transformers","https://github.com/huggingface/transformers","hsliuping/TradingAgents-CN","https://github.com/hsliuping/TradingAgents-CN","hsliuping","Python","27395","llm","707.71","707.71","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.6155","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":107.71,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":707.71,""ScoreFinal"":707.71}","Score>=MinimumScore","t language:Python stars:>=50","基于多智能体LLM的中文金融交易框架 - TradingAgents中文增强版","12"
"huggingface/transformers","https://github.com/huggingface/transformers","AIGC-Audio/AudioGPT","https://github.com/AIGC-Audio/AudioGPT","AIGC-Audio","Python","10180","llm","707.59","707.59","0","50","QueryCoverage excluded from Score (recommended).","True","0.0417","0","1","0.4005","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":37.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":70.09,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":707.59,""ScoreFinal"":707.59}","Score>=MinimumScore","topic:audio language:Python stars:>=50","AudioGPT: Understanding and Generating Speech, Music, Sound, and Talking Head","13"
