"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"streamlit/streamlit","https://github.com/streamlit/streamlit","rio-labs/rio","https://github.com/rio-labs/rio","rio-labs","Python","3404","ui","1002.21","1092.52","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.4615","0","1","0.4408","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":415.38,""Lexical"":0.0,""Lang"":250.0,""Stars"":77.14,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":1092.52,""ScoreFinal"":1002.21}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","WebApps in pure Python. No JavaScript, HTML and CSS needed","1"
"streamlit/streamlit","https://github.com/streamlit/streamlit","probabl-ai/skore","https://github.com/probabl-ai/skore","probabl-ai","Python","639","ui","973.31","1063.62","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.5","0","1","0.0778","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":450.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":13.62,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":1063.62,""ScoreFinal"":973.31}","Score>=MinimumScore","topic:data-visualization language:Python stars:>=50","Track your Data Science. Skore's open-source Python library accelerates ML model development with automated evaluation reports, smart methodological guidance, and comprehensive cross-validation analysis.","2"
"streamlit/streamlit","https://github.com/streamlit/streamlit","scikit-learn-contrib/imbalanced-learn","https://github.com/scikit-learn-contrib/imbalanced-learn","scikit-learn-contrib","Python","7104","ui","961.95","1105.09","143.14","50","QueryCoverage excluded from Score (recommended).","True","0.4444","0","1","0.6005","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":400.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":105.09,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":1105.09,""ScoreFinal"":961.95}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50"," A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning","3"
"streamlit/streamlit","https://github.com/streamlit/streamlit","python-visualization/folium","https://github.com/python-visualization/folium","python-visualization","Python","7367","ui","886.16","976.47","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.3","0","1","0.6084","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":270.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":106.47,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":976.47,""ScoreFinal"":886.16}","Score>=MinimumScore","topic:data-visualization language:Python stars:>=50","Python Data. Leaflet.js Maps. ","4"
"streamlit/streamlit","https://github.com/streamlit/streamlit","ndleah/python-mini-project","https://github.com/ndleah/python-mini-project","ndleah","Python","4215","ui","871.87","962.18","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.3077","0","1","0.4872","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":276.92,""Lexical"":0.0,""Lang"":250.0,""Stars"":85.26,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":962.18,""ScoreFinal"":871.87}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","🙌 Welcome open-source Python mini-project contributions!","5"
"streamlit/streamlit","https://github.com/streamlit/streamlit","ResidentMario/missingno","https://github.com/ResidentMario/missingno","ResidentMario","Python","4207","ui","864.88","955.18","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.3","0","1","0.4868","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":270.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":85.18,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":955.18,""ScoreFinal"":864.88}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","Missing data visualization module for Python.","6"
"streamlit/streamlit","https://github.com/streamlit/streamlit","fbdesignpro/sweetviz","https://github.com/fbdesignpro/sweetviz","fbdesignpro","Python","3102","ui","864.55","954.86","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.3125","0","1","0.4206","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":281.25,""Lexical"":0.0,""Lang"":250.0,""Stars"":73.61,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":954.86,""ScoreFinal"":864.55}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","Visualize and compare datasets, target values and associations, with one line of code.","7"
"streamlit/streamlit","https://github.com/streamlit/streamlit","scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","scikit-learn","Python","66181","ui","860.11","1160.11","300","150","QueryCoverage excluded from Score (recommended).","True","0.4444","0","1","0.9149","1","1","1","Topic+Lang+Subdomain","{""Topic"":400.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":160.11,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":300.0,""ScoreBase"":1160.11,""ScoreFinal"":860.11}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | s language:Python stars:>=50","scikit-learn: machine learning in Python","8"
"streamlit/streamlit","https://github.com/streamlit/streamlit","predict-idlab/plotly-resampler","https://github.com/predict-idlab/plotly-resampler","predict-idlab","Python","1198","ui","847.17","937.47","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.2141","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":37.47,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":937.47,""ScoreFinal"":847.17}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","Visualize large time series data with plotly.py","9"
"streamlit/streamlit","https://github.com/streamlit/streamlit","reflex-dev/reflex","https://github.com/reflex-dev/reflex","reflex-dev","Python","28453","ui","825.71","1079.24","253.53","150","QueryCoverage excluded from Score (recommended).","True","0.3571","0","1","0.9018","1","1","1","Topic+Lang+Subdomain","{""Topic"":321.43,""Lexical"":0.0,""Lang"":250.0,""Stars"":157.82,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":253.53,""ScoreBase"":1079.24,""ScoreFinal"":825.71}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","🕸️ Web apps in pure Python 🐍","10"
