"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"pytorch/pytorch","https://github.com/pytorch/pytorch","chainer/chainer","https://github.com/chainer/chainer","chainer","Python","5916","deep-learning","1082.93","1082.93","0","50","QueryCoverage excluded from Score (recommended).","True","0.4615","0","1","0.386","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":415.38,""Lexical"":0.0,""Lang"":250.0,""Stars"":67.54,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":1082.93,""ScoreFinal"":1082.93}","Score>=MinimumScore","topic:gpu language:Python stars:>=50","A flexible framework of neural networks for deep learning","1"
"pytorch/pytorch","https://github.com/pytorch/pytorch","norse/norse","https://github.com/norse/norse","norse","Python","803","deep-learning","1050","1050","0","50","QueryCoverage excluded from Score (recommended).","True","0.5","0","1","0","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":450.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":1050.0,""ScoreFinal"":1050.0}","Score>=MinimumScore","topic:autograd language:Python stars:>=50","Deep learning with spiking neural networks (SNNs) in PyTorch.","2"
"pytorch/pytorch","https://github.com/pytorch/pytorch","leptonai/leptonai","https://github.com/leptonai/leptonai","leptonai","Python","2805","deep-learning","999.19","999.19","0","50","QueryCoverage excluded from Score (recommended).","True","0.4","0","1","0.2239","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":360.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":39.19,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":999.19,""ScoreFinal"":999.19}","Score>=MinimumScore","topic:gpu language:Python stars:>=50","A Pythonic framework to simplify AI service building","3"
"pytorch/pytorch","https://github.com/pytorch/pytorch","pranftw/neograd","https://github.com/pranftw/neograd","pranftw","Python","237","deep-learning","990.38","990.38","0","50","QueryCoverage excluded from Score (recommended).","True","0.4615","0","1","0","0.8","1","0.3333","Topic+Lang+Subdomain","{""Topic"":415.38,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":100.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":990.38,""ScoreFinal"":990.38}","Score>=MinimumScore","topic:autograd language:Python stars:>=50","A deep learning framework created from scratch with Python and NumPy","4"
"pytorch/pytorch","https://github.com/pytorch/pytorch","oreilly-japan/deep-learning-from-scratch-3","https://github.com/oreilly-japan/deep-learning-from-scratch-3","oreilly-japan","Python","868","deep-learning","960","960","0","100","QueryCoverage excluded from Score (recommended).","True","0.4","0","1","0","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":360.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":960.0,""ScoreFinal"":960.0}","Score>=MinimumScore","topic:autograd language:Python stars:>=50 | topic:gpu language:Python stars:>=50","『ゼロから作る Deep Learning ❸』(O'Reilly Japan, 2020)","5"
"pytorch/pytorch","https://github.com/pytorch/pytorch","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77929","deep-learning","935.54","973.2","37.66","100","QueryCoverage excluded from Score (recommended).","True","0.2308","0","1","0.9458","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":207.69,""Lexical"":0.0,""Lang"":250.0,""Stars"":165.51,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":37.66,""ScoreBase"":973.2,""ScoreFinal"":935.54}","Score>=MinimumScore","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。","6"
"pytorch/pytorch","https://github.com/pytorch/pytorch","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64079","deep-learning","928.85","965.76","36.91","100","QueryCoverage excluded from Score (recommended).","True","0.2308","0","1","0.9033","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":207.69,""Lexical"":0.0,""Lang"":250.0,""Stars"":158.07,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":36.91,""ScoreBase"":965.76,""ScoreFinal"":928.85}","Score>=MinimumScore","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans","7"
"pytorch/pytorch","https://github.com/pytorch/pytorch","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31152","deep-learning","918.01","955.66","37.66","150","QueryCoverage excluded from Score (recommended).","True","0.25","0","1","0.7467","1","1","1","Lang+Topic+Subdomain","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":130.66,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":37.66,""ScoreBase"":955.66,""ScoreFinal"":918.01}","Score>=MinimumScore","topic:deep-learning language:Python stars:>=50 | p language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.","8"
"pytorch/pytorch","https://github.com/pytorch/pytorch","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44655","deep-learning","915.13","952.04","36.91","100","QueryCoverage excluded from Score (recommended).","True","0.2308","0","1","0.8248","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":207.69,""Lexical"":0.0,""Lang"":250.0,""Stars"":144.35,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":36.91,""ScoreBase"":952.04,""ScoreFinal"":915.13}","Score>=MinimumScore","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps.","9"
"pytorch/pytorch","https://github.com/pytorch/pytorch","triton-inference-server/server","https://github.com/triton-inference-server/server","triton-inference-server","Python","10686","deep-learning","915.01","915.01","0","50","QueryCoverage excluded from Score (recommended).","True","0.25","0","1","0.5143","1","1","0.3333","Lang+Topic+Subdomain","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":90.01,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":915.01,""ScoreFinal"":915.01}","Score>=MinimumScore","topic:gpu language:Python stars:>=50","The Triton Inference Server provides an optimized cloud and edge inferencing solution. ","10"
