"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"HKUDS/nanobot","https://github.com/HKUDS/nanobot","HKUDS","Python","42947","False","False","2/1/2026 7:16:15 AM","5/21/2026 10:08:42 PM","Lightweight, open-source AI agent for your tools, chats, and workflows.","ai;ai-agent;ai-agents;anthropic;chatgpt;claude;claude-code;codex;codex-cli;llm;nanobot;openai;openclaw","topic:ai language:Python stars:>=50 | open language:Python stars:>=50"
"openai/openai-agents-python","https://github.com/openai/openai-agents-python","openai","Python","26553","False","False","3/11/2025 3:42:36 AM","5/21/2026 10:06:55 PM","A lightweight, powerful framework for multi-agent workflows","agents;ai;framework;harness;llm;openai;python","topic:ai language:Python stars:>=50 | open language:Python stars:>=50 | o language:Python stars:>=50"
"gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42648","False","False","12/19/2018 8:24:04 AM","5/21/2026 10:26:06 PM","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!","data-analysis;data-science;data-visualization;deep-learning;deploy;gradio;gradio-interface;interface;machine-learning;models;python;python-notebook;ui;ui-components","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"hacksider/Deep-Live-Cam","https://github.com/hacksider/Deep-Live-Cam","hacksider","Python","93263","False","False","9/24/2023 1:19:31 PM","5/21/2026 9:54:59 PM","real time face swap and one-click video deepfake with only a single image","ai;ai-deep-fake;ai-face;ai-webcam;artificial-intelligence;deep-fake;deepfake;deepfake-webcam;faceswap;fake-webcam;gan;real-time-deepfake;realtime;realtime-deepfake;realtime-face-changer;video-deepfake;webcam;webcamera","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50"
"tensorlayer/TensorLayer","https://github.com/tensorlayer/TensorLayer","tensorlayer","Python","7388","False","False","6/7/2016 3:55:16 PM","5/15/2026 8:42:56 AM","Deep Learning and Reinforcement Learning Library for Scientists and Engineers ","a3c;artificial-intelligence;chatbot;deep-learning;dqn;gan;google;imagenet;neural-network;object-detection;python;reinforcement-learning;tensorflow;tensorflow-tutorial;tensorflow-tutorials;tensorlayer","topic:artificial-intelligence language:Python stars:>=50"
"WZMIAOMIAO/deep-learning-for-image-processing","https://github.com/WZMIAOMIAO/deep-learning-for-image-processing","WZMIAOMIAO","Python","26235","False","False","11/14/2019 3:02:27 PM","5/21/2026 6:42:16 PM","deep learning for image processing including classification and object-detection etc.","bilibili;classification;deep-learning;object-detection;pytorch;segmentation;tensorflow2","topic:deep-learning language:Python stars:>=50"
"rasbt/LLMs-from-scratch","https://github.com/rasbt/LLMs-from-scratch","rasbt","Jupyter Notebook","95355","False","False","7/23/2023 6:15:57 PM","5/21/2026 10:35:35 PM","Implement a ChatGPT-like LLM in PyTorch from scratch, step by step","ai;artificial-intelligence;attention-mechanism;deep-learning;finetuning;from-scratch;generative-ai;gpt;instruction-tuning;language-model;large-language-models;llm;machine-learning;natural-language-processing;pretraining;python;pytorch;tokenizer;transformers","topic:deep-learning stars:>=100"
"jumpserver/jumpserver","https://github.com/jumpserver/jumpserver","jumpserver","Python","30482","False","False","7/4/2014 3:54:59 AM","5/21/2026 6:11:41 PM","JumpServer is an open-source Privileged Access Management (PAM) platform that provides DevOps and IT teams with on-demand and secure access to SSH, RDP, Kubernetes, Database and RemoteApp endpoints through a web browser.","bastion-host;cyberark;django;jumpserver;pam;python;ssh-server;teleport;terminal","open language:Python stars:>=50"
"docling-project/docling","https://github.com/docling-project/docling","docling-project","Python","60125","False","False","7/9/2024 7:50:26 AM","5/21/2026 10:11:27 PM","Get your documents ready for gen AI","ai;convert;document-parser;document-parsing;documents;docx;html;markdown;pdf;pdf-converter;pdf-to-json;pdf-to-text;pptx;tables;xlsx","topic:ai language:Python stars:>=50"
"dortania/OpenCore-Legacy-Patcher","https://github.com/dortania/OpenCore-Legacy-Patcher","dortania","Python","17450","False","False","11/24/2020 1:54:56 AM","5/21/2026 10:02:29 PM","Experience macOS just like before","big-sur;macos;opencore;patcher","o language:Python stars:>=50"
"lucidrains/denoising-diffusion-pytorch","https://github.com/lucidrains/denoising-diffusion-pytorch","lucidrains","Python","10563","False","False","8/26/2020 2:22:10 AM","5/21/2026 11:28:31 AM","Implementation of Denoising Diffusion Probabilistic Model in Pytorch","artificial-intelligence;deep-learning;generative-model;score-matching","topic:artificial-intelligence language:Python stars:>=50"
"alirezamika/autoscraper","https://github.com/alirezamika/autoscraper","alirezamika","Python","7175","False","False","8/31/2020 12:02:19 PM","5/20/2026 7:53:54 PM","A Smart, Automatic, Fast and Lightweight Web Scraper for Python","ai;artificial-intelligence;automation;crawler;machine-learning;python;scrape;scraper;scraping;web-scraping;webautomation;webscraping","topic:artificial-intelligence language:Python stars:>=50"
"jingyaogong/minimind","https://github.com/jingyaogong/minimind","jingyaogong","Python","50343","False","False","7/27/2024 4:34:12 AM","5/21/2026 8:57:38 PM","🧠「大模型」2小时完全从0训练64M的小参数LLM！Train a 64M-parameter LLM from scratch in just 2h!","artificial-intelligence;large-language-model","topic:artificial-intelligence language:Python stars:>=50"
"lucidrains/imagen-pytorch","https://github.com/lucidrains/imagen-pytorch","lucidrains","Python","8403","False","False","5/23/2022 10:06:13 PM","5/21/2026 8:30:47 PM","Implementation of Imagen, Google's Text-to-Image Neural Network, in Pytorch","artificial-intelligence;deep-learning;imagination-machine;text-to-image;text-to-video","topic:artificial-intelligence language:Python stars:>=50"
"lm-sys/FastChat","https://github.com/lm-sys/FastChat","lm-sys","Python","39478","False","False","3/19/2023 12:18:02 AM","5/21/2026 9:27:44 PM","An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.","","open language:Python stars:>=50"
"jina-ai/serve","https://github.com/jina-ai/serve","jina-ai","Python","21869","False","False","2/13/2020 5:04:44 PM","5/20/2026 4:12:25 AM","☁️ Build multimodal AI applications with cloud-native stack","cloud-native;cncf;deep-learning;docker;fastapi;framework;generative-ai;grpc;jaeger;kubernetes;llmops;machine-learning;microservice;mlops;multimodal;neural-search;opentelemetry;orchestration;pipeline;prometheus","topic:deep-learning language:Python stars:>=50"
"home-assistant/core","https://github.com/home-assistant/core","home-assistant","Python","87174","False","False","9/17/2013 7:29:48 AM","5/21/2026 10:34:03 PM",":house_with_garden: Open source home automation that puts local control and privacy first.","asyncio;hacktoberfest;home-automation;internet-of-things;iot;mqtt;python;raspberry-pi","open language:Python stars:>=50"
"huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21530","False","False","3/26/2020 9:23:22 AM","5/21/2026 3:46:53 PM","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools","ai;artificial-intelligence;computer-vision;dataset-hub;datasets;deep-learning;huggingface;llm;machine-learning;natural-language-processing;nlp;numpy;pandas;pytorch;speech;tensorflow","topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50"
