"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64075","deep-learning","1129.92","1197.6","67.67","150","QueryCoverage excluded from Score (recommended).","True","0.5","0","1","0.8434","1","1","1","Topic+Lang+Subdomain","{""Topic"":450.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":147.6,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":1197.6,""ScoreFinal"":1129.92}","Score>=MinimumScore","topic:data-science language:Python stars:>=50 | pytorch language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans","1"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","stanfordnlp/stanza","https://github.com/stanfordnlp/stanza","stanfordnlp","Python","7796","deep-learning","1054.56","1097.36","42.8","50","QueryCoverage excluded from Score (recommended).","True","0.4167","0","1","0.6992","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":375.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":122.36,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":42.8,""ScoreBase"":1097.36,""ScoreFinal"":1054.56}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages","2"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","unit8co/darts","https://github.com/unit8co/darts","unit8co","Python","9379","deep-learning","1046.59","1089.39","42.8","50","QueryCoverage excluded from Score (recommended).","True","0.4","0","1","0.7393","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":360.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":129.39,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":42.8,""ScoreBase"":1089.39,""ScoreFinal"":1046.59}","Score>=MinimumScore","topic:data-science language:Python stars:>=50","A python library for user-friendly forecasting and anomaly detection on time series.","3"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11210","deep-learning","1043.87","1082.32","38.44","50","QueryCoverage excluded from Score (recommended).","True","0.3846","0","1","0.7781","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":346.15,""Lexical"":0.0,""Lang"":250.0,""Stars"":136.16,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":38.44,""ScoreBase"":1082.32,""ScoreFinal"":1043.87}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI","4"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44671","deep-learning","1020.9","1088.58","67.67","100","QueryCoverage excluded from Score (recommended).","True","0.3636","0","1","0.9217","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":327.27,""Lexical"":0.0,""Lang"":250.0,""Stars"":161.3,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":1088.58,""ScoreFinal"":1020.9}","Score>=MinimumScore","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps.","5"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33596","deep-learning","1003.09","1072.13","69.04","150","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.9836","1","1","1","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":172.13,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":1072.13,""ScoreFinal"":1003.09}","Score>=MinimumScore","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python","6"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","onnx/onnx","https://github.com/onnx/onnx","onnx","Python","20862","deep-learning","996.73","1059.76","63.04","100","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.9129","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":159.76,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":63.04,""ScoreBase"":1059.76,""ScoreFinal"":996.73}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50 | pytorch language:Python stars:>=50","Open standard for machine learning interoperability","7"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","recommenders-team","Python","21712","deep-learning","996.6","1061.28","64.69","100","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.9216","1","1","0.6667","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":161.28,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":64.69,""ScoreBase"":1061.28,""ScoreFinal"":996.6}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50","Best Practices on Recommendation Systems","8"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","google-deepmind/sonnet","https://github.com/google-deepmind/sonnet","google-deepmind","Python","9918","deep-learning","993.07","1031.51","38.44","50","QueryCoverage excluded from Score (recommended).","True","0.3333","0","1","0.7515","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":300.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":131.51,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":38.44,""ScoreBase"":1031.51,""ScoreFinal"":993.07}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","TensorFlow-based neural network library","9"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","lucidrains/denoising-diffusion-pytorch","https://github.com/lucidrains/denoising-diffusion-pytorch","lucidrains","Python","10563","deep-learning","982.13","1020.57","38.44","50","QueryCoverage excluded from Score (recommended).","True","0.2222","0.1333","1","0.7652","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":200.0,""Lexical"":86.67,""Lang"":250.0,""Stars"":133.9,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":38.44,""ScoreBase"":1020.57,""ScoreFinal"":982.13}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","Implementation of Denoising Diffusion Probabilistic Model in Pytorch","10"
