"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","ValueCell-ai/valuecell","https://github.com/ValueCell-ai/valuecell","ValueCell-ai","Python","10691","reinforcement","929.75","929.75","0","100","QueryCoverage excluded from Score (recommended).","True","0.25","0","1","0.5986","1","1","0.6667","Lang+Topic+Subdomain","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":104.75,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":929.75,""ScoreFinal"":929.75}","Score>=MinimumScore","topic:crypto language:Python stars:>=50 | financial language:Python stars:>=50","ValueCell is a community-driven, multi-agent platform for financial applications.","1"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","brokermr810/QuantDinger","https://github.com/brokermr810/QuantDinger","brokermr810","Python","6140","reinforcement","844.4","844.4","0","50","QueryCoverage excluded from Score (recommended).","True","0.1786","0","1","0.4782","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":160.71,""Lexical"":0.0,""Lang"":250.0,""Stars"":83.68,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":844.4,""ScoreFinal"":844.4}","Score>=MinimumScore","topic:crypto language:Python stars:>=50","AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading","2"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","quantsbin/Quantsbin","https://github.com/quantsbin/Quantsbin","quantsbin","Python","629","reinforcement","825","825","0","50","QueryCoverage excluded from Score (recommended).","True","0.25","0","1","0","1","1","0.3333","Lang+Topic+Subdomain","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":825.0,""ScoreFinal"":825.0}","Score>=MinimumScore","topic:derivatives language:Python stars:>=50","Quantitative Finance tools","3"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","agno-agi/agno","https://github.com/agno-agi/agno","agno-agi","Python","40284","reinforcement","817.99","867.66","49.67","50","QueryCoverage excluded from Score (recommended).","True","0.125","0","1","0.8866","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":112.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":155.16,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":49.67,""ScoreBase"":867.66,""ScoreFinal"":817.99}","Score>=MinimumScore","topic:ai language:Python stars:>=50","Build, run, and manage agent platforms.","4"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","langchain-ai/deepagents","https://github.com/langchain-ai/deepagents","langchain-ai","Python","23158","reinforcement","790.34","840.01","49.67","50","QueryCoverage excluded from Score (recommended).","True","0.1176","0","1","0.7664","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":105.88,""Lexical"":0.0,""Lang"":250.0,""Stars"":134.12,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":49.67,""ScoreBase"":840.01,""ScoreFinal"":790.34}","Score>=MinimumScore","topic:ai language:Python stars:>=50","The batteries-included agent harness.","5"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","Michalos88/Quant-Projects","https://github.com/Michalos88/Quant-Projects","Michalos88","Python","72","reinforcement","768.75","768.75","0","50","QueryCoverage excluded from Score (recommended).","True","0.1875","0","1","0","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":168.75,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":768.75,""ScoreFinal"":768.75}","Score>=MinimumScore","topic:derivatives language:Python stars:>=50","Implementations of Leading Algorithms in Quantitative Finance ","6"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","binance/binance-skills-hub","https://github.com/binance/binance-skills-hub","binance","Python","854","reinforcement","728.76","728.76","0","50","QueryCoverage excluded from Score (recommended).","True","0.1333","0","1","0.05","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":120.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":8.76,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":728.76,""ScoreFinal"":728.76}","Score>=MinimumScore","topic:crypto language:Python stars:>=50","Binance Skills Hub is an open skills marketplace that gives AI agents native access to crypto","7"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","cuemacro/finmarketpy","https://github.com/cuemacro/finmarketpy","cuemacro","Python","3761","reinforcement","725.06","725.06","0","50","QueryCoverage excluded from Score (recommended).","True","0.0667","0","1","0.3718","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":60.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":65.06,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":725.06,""ScoreFinal"":725.06}","Score>=MinimumScore","financial language:Python stars:>=50","Python library for backtesting trading strategies & analyzing financial markets (formerly pythalesians)","8"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","openai/baselines","https://github.com/openai/baselines","openai","Python","16716","reinforcement","721.74","721.74","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.6956","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":121.74,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":721.74,""ScoreFinal"":721.74}","Score>=MinimumScore","reinforcement learning stars:>=100","OpenAI Baselines: high-quality implementations of reinforcement learning algorithms","9"
"OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","tylerebowers/Schwabdev","https://github.com/tylerebowers/Schwabdev","tylerebowers","Python","782","reinforcement","713.42","713.42","0","50","QueryCoverage excluded from Score (recommended).","True","0.12","0","1","0.0309","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":108.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":5.42,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":713.42,""ScoreFinal"":713.42}","Score>=MinimumScore","financial language:Python stars:>=50","An easy and lightweight wrapper for using the Charles Schwab API.","10"
