"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"apache/airflow","https://github.com/apache/airflow","dagster-io/dagster","https://github.com/dagster-io/dagster","dagster-io","Python","15550","mlops","1097.04","1146.71","49.67","50","QueryCoverage excluded from Score (recommended).","True","0.4583","0","1","0.7669","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":412.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":134.21,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":49.67,""ScoreBase"":1146.71,""ScoreFinal"":1097.04}","Score>=MinimumScore","topic:mlops stars:>=100","An orchestration platform for the development, production, and observation of data assets.","1"
"apache/airflow","https://github.com/apache/airflow","Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19221","mlops","900.06","933.18","33.11","50","QueryCoverage excluded from Score (recommended).","True","0.2121","0","1","0.813","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":190.91,""Lexical"":0.0,""Lang"":250.0,""Stars"":142.27,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":33.11,""ScoreBase"":933.18,""ScoreFinal"":900.06}","Score>=MinimumScore","topic:mlops stars:>=100","Turns Data and AI algorithms into production-ready web applications in no time.","2"
"apache/airflow","https://github.com/apache/airflow","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","7048","mlops","884.15","884.15","0","50","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.5951","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":104.15,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":884.15,""ScoreFinal"":884.15}","Score>=MinimumScore","topic:mlops stars:>=100","The Open Source Feature Store for AI/ML","3"
"apache/airflow","https://github.com/apache/airflow","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10867","mlops","802.36","828.6","26.24","50","QueryCoverage excluded from Score (recommended).","True","0.12","0","1","0.6891","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":108.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":120.6,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":26.24,""ScoreBase"":828.6,""ScoreFinal"":802.36}","Score>=MinimumScore","topic:mlops stars:>=100","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.","4"
"apache/airflow","https://github.com/apache/airflow","ansible/ansible","https://github.com/ansible/ansible","ansible","Python","68625","mlops","785.67","802.23","16.56","50","QueryCoverage excluded from Score (recommended).","True","0.0476","0","1","0.9107","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":42.86,""Lexical"":0.0,""Lang"":250.0,""Stars"":159.37,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":16.56,""ScoreBase"":802.23,""ScoreFinal"":785.67}","Score>=MinimumScore","a language:Python stars:>=50","Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","5"
"apache/airflow","https://github.com/apache/airflow","abhishek-ch/around-dataengineering","https://github.com/abhishek-ch/around-dataengineering","abhishek-ch","Python","1144","mlops","785.08","785.08","0","50","QueryCoverage excluded from Score (recommended).","True","0.1667","0","1","0.2005","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":35.08,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":785.08,""ScoreFinal"":785.08}","Score>=MinimumScore","topic:airflow language:Python stars:>=50","A Data Engineering & Machine Learning Knowledge Hub","6"
"apache/airflow","https://github.com/apache/airflow","san089/goodreads_etl_pipeline","https://github.com/san089/goodreads_etl_pipeline","san089","Python","1510","mlops","774.19","774.19","0","100","QueryCoverage excluded from Score (recommended).","True","0.1429","0","1","0.2607","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":128.57,""Lexical"":0.0,""Lang"":250.0,""Stars"":45.62,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":774.19,""ScoreFinal"":774.19}","Score>=MinimumScore","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50","An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform.","7"
"apache/airflow","https://github.com/apache/airflow","couler-proj/couler","https://github.com/couler-proj/couler","couler-proj","Python","945","mlops","761.27","777.83","16.56","100","QueryCoverage excluded from Score (recommended).","True","0.1667","0","1","0.159","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":27.83,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":16.56,""ScoreBase"":777.83,""ScoreFinal"":761.27}","Score>=MinimumScore","topic:apache-airflow language:Python stars:>=50 | apache language:Python stars:>=50","Unified Interface for Constructing and Managing Workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow.","8"
"apache/airflow","https://github.com/apache/airflow","mara/mara-pipelines","https://github.com/mara/mara-pipelines","mara","Python","2086","mlops","758.73","775.28","16.56","50","QueryCoverage excluded from Score (recommended).","True","0.1304","0","1","0.3308","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":117.39,""Lexical"":0.0,""Lang"":250.0,""Stars"":57.89,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":16.56,""ScoreBase"":775.28,""ScoreFinal"":758.73}","Score>=MinimumScore","apache language:Python stars:>=50","A lightweight opinionated ETL framework, halfway between plain scripts and Apache Airflow","9"
"apache/airflow","https://github.com/apache/airflow","elyra-ai/elyra","https://github.com/elyra-ai/elyra","elyra-ai","Python","1993","mlops","756.16","756.16","0","100","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0.3209","1","1","0.6667","Lang+Subdomain+Recency","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":56.16,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":756.16,""ScoreFinal"":756.16}","Score>=MinimumScore","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50","Elyra extends JupyterLab with an AI centric approach.","10"
