AnchorRepo,AnchorUrl,CandidateRepo,CandidateUrl,CandidateOwner,CandidateLanguage,CandidateStars,CandidateSubdomain,Score,ScoreBase,PenaltyCrossAnchorFreq,PenaltyRetrieval,PenaltyNotes,Qualified,TopicJaccard,LexicalJaccard,LanguageMatch,StarSimilarity,RecencySimilarity,SubdomainMatch,QueryCoverage,TopSignals,ScoreBreakdownJson,WhyQualified,SourceQueries,Description,Rank,_anchor_folder,_anchor,_source
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Lightning-AI,Python,31155,deep-learning,878.77,972.92,94.15,50,QueryCoverage excluded from Score (recommended).,True,0.2222,0,1,0.9881,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":200.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":172.92,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":94.15,""ScoreBase"":972.92,""ScoreFinal"":878.77}",Score>=MinimumScore,topic:deep-learning stars:>=100,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",1,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,abdulfatir/twitter-sentiment-analysis,https://github.com/abdulfatir/twitter-sentiment-analysis,abdulfatir,Python,1643,deep-learning,854.76,854.76,0,50,QueryCoverage excluded from Score (recommended).,True,0.2105,0,1,0.3731,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":189.47,""Lexical"":0.0,""Lang"":250.0,""Stars"":65.29,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":854.76,""ScoreFinal"":854.76}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc.",2,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,Hironsan/BossSensor,https://github.com/Hironsan/BossSensor,Hironsan,Python,6280,deep-learning,852.47,875.05,22.58,50,QueryCoverage excluded from Score (recommended).,True,0.1765,0,1,0.6641,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":116.23,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":22.58,""ScoreBase"":875.05,""ScoreFinal"":852.47}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,Hide screen when boss is approaching.,3,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,keras-team/keras,https://github.com/keras-team/keras,keras-team,Python,64076,deep-learning,842.71,934.99,92.28,50,QueryCoverage excluded from Score (recommended).,True,0.2105,0,1,0.8315,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":189.47,""Lexical"":0.0,""Lang"":250.0,""Stars"":145.52,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":92.28,""ScoreBase"":934.99,""ScoreFinal"":842.71}",Score>=MinimumScore,topic:deep-learning stars:>=100,Deep Learning for humans,4,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,roboflow/supervision,https://github.com/roboflow/supervision,roboflow,Python,39415,deep-learning,825.01,919.15,94.15,50,QueryCoverage excluded from Score (recommended).,True,0.1724,0,1,0.937,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":155.17,""Lexical"":0.0,""Lang"":250.0,""Stars"":163.98,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":94.15,""ScoreBase"":919.15,""ScoreFinal"":825.01}",Score>=MinimumScore,topic:deep-learning stars:>=100,We write your reusable computer vision tools. 💜,5,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,GabrielDornelles/pytorch-ocr,https://github.com/GabrielDornelles/pytorch-ocr,GabrielDornelles,Python,87,deep-learning,825,825,0,50,QueryCoverage excluded from Score (recommended).,True,0.25,0,1,0,1,1,0.3333,Lang+Topic+Subdomain,"{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":825.0,""ScoreFinal"":825.0}",Score>=MinimumScore,topic:crnn language:Python stars:>=50,"Simple Pytorch framework to train OCRs. Supports CRNNs, Attention, CTC and Cross Entropy Loss.",6,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,eriklindernoren,Python,31513,deep-learning,824.28,914.59,90.31,100,QueryCoverage excluded from Score (recommended).,True,0.1579,0,1,0.9856,1,1,0.6667,Lang+Subdomain+Stars,"{""Topic"":142.11,""Lexical"":0.0,""Lang"":250.0,""Stars"":172.48,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":914.59,""ScoreFinal"":824.28}",Score>=MinimumScore,topic:data-mining language:Python stars:>=50 | topic:deep-learning stars:>=100,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,7,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,frgfm/torch-cam,https://github.com/frgfm/torch-cam,frgfm,Python,2303,deep-learning,822.12,822.12,0,50,QueryCoverage excluded from Score (recommended).,True,0.16,0,1,0.4464,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":144.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":78.12,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":822.12,""ScoreFinal"":822.12}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,"Class activation maps for your PyTorch models (CAM, Grad-CAM, Grad-CAM++, Smooth Grad-CAM++, Score-CAM, SS-CAM, IS-CAM, XGrad-CAM, Layer-CAM)",8,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,open-mmlab/mmocr,https://github.com/open-mmlab/mmocr,open-mmlab,Python,4734,deep-learning,821.62,821.62,0,50,QueryCoverage excluded from Score (recommended).,True,0.129,0,1,0.6028,1,1,0.3333,Lang+Subdomain+Recency,"{""Topic"":116.13,""Lexical"":0.0,""Lang"":250.0,""Stars"":105.49,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":821.62,""ScoreFinal"":821.62}",Score>=MinimumScore,topic:crnn language:Python stars:>=50,"OpenMMLab Text Detection, Recognition and Understanding Toolbox",9,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,filipradenovic/cnnimageretrieval-pytorch,https://github.com/filipradenovic/cnnimageretrieval-pytorch,filipradenovic,Python,1494,deep-learning,820.5,820.5,0,50,QueryCoverage excluded from Score (recommended).,True,0.1765,0,1,0.3525,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":61.68,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":820.5,""ScoreFinal"":820.5}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,CNN Image Retrieval in PyTorch: Training and evaluating CNNs for Image Retrieval in PyTorch,10,JaidedAI-EasyOCR,JaidedAI/EasyOCR,30_Matches
