"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"gradio-app/gradio","https://github.com/gradio-app/gradio","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44660","deep-learning","1043.07","1110.75","67.67","150","QueryCoverage excluded from Score (recommended).","True","0.375","0","1","0.99","1","1","1","Topic+Lang+Subdomain","{""Topic"":337.5,""Lexical"":0.0,""Lang"":250.0,""Stars"":173.25,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":1110.75,""ScoreFinal"":1043.07}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50 | build language:Python stars:>=50 | topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps.","1"
"gradio-app/gradio","https://github.com/gradio-app/gradio","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31155","deep-learning","905.79","974.83","69.04","100","QueryCoverage excluded from Score (recommended).","True","0.2353","0","1","0.9318","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":211.76,""Lexical"":0.0,""Lang"":250.0,""Stars"":163.07,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":974.83,""ScoreFinal"":905.79}","Score>=MinimumScore","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.","2"
"gradio-app/gradio","https://github.com/gradio-app/gradio","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64074","deep-learning","891.86","959.53","67.67","100","QueryCoverage excluded from Score (recommended).","True","0.2222","0","1","0.9116","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":200.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":159.53,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":959.53,""ScoreFinal"":891.86}","Score>=MinimumScore","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans","3"
"gradio-app/gradio","https://github.com/gradio-app/gradio","unit8co/darts","https://github.com/unit8co/darts","unit8co","Python","9379","deep-learning","886.42","929.22","42.8","50","QueryCoverage excluded from Score (recommended).","True","0.2353","0","1","0.6712","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":211.76,""Lexical"":0.0,""Lang"":250.0,""Stars"":117.45,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":42.8,""ScoreBase"":929.22,""ScoreFinal"":886.42}","Score>=MinimumScore","topic:data-science language:Python stars:>=50","A python library for user-friendly forecasting and anomaly detection on time series.","4"
"gradio-app/gradio","https://github.com/gradio-app/gradio","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31512","deep-learning","847.28","913.5","66.23","100","QueryCoverage excluded from Score (recommended).","True","0.1667","0","1","0.9343","1","1","0.6667","Lang+Subdomain+Stars","{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":163.5,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":66.23,""ScoreBase"":913.5,""ScoreFinal"":847.28}","Score>=MinimumScore","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.","5"
"gradio-app/gradio","https://github.com/gradio-app/gradio","Data-Centric-AI-Community/fg-data-profiling","https://github.com/Data-Centric-AI-Community/fg-data-profiling","Data-Centric-AI-Community","Python","13565","deep-learning","840.17","886.65","46.48","100","QueryCoverage excluded from Score (recommended).","True","0.1724","0","1","0.7513","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":155.17,""Lexical"":0.0,""Lang"":250.0,""Stars"":131.47,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":46.48,""ScoreBase"":886.65,""ScoreFinal"":840.17}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50 | topic:data-science language:Python stars:>=50","1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames. ","6"
"gradio-app/gradio","https://github.com/gradio-app/gradio","tflearn/tflearn","https://github.com/tflearn/tflearn","tflearn","Python","9587","deep-learning","834.31","877.11","42.8","50","QueryCoverage excluded from Score (recommended).","True","0.1765","0","1","0.6759","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":118.29,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":42.8,""ScoreBase"":877.11,""ScoreFinal"":834.31}","Score>=MinimumScore","topic:data-science language:Python stars:>=50","Deep learning library featuring a higher-level API for TensorFlow.","7"
"gradio-app/gradio","https://github.com/gradio-app/gradio","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33594","deep-learning","830.23","899.27","69.04","100","QueryCoverage excluded from Score (recommended).","True","0.1481","0","1","0.9482","1","1","0.6667","Lang+Subdomain+Stars","{""Topic"":133.33,""Lexical"":0.0,""Lang"":250.0,""Stars"":165.93,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":899.27,""ScoreFinal"":830.23}","Score>=MinimumScore","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python","8"
"gradio-app/gradio","https://github.com/gradio-app/gradio","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77931","deep-learning","825.16","894.2","69.04","50","QueryCoverage excluded from Score (recommended).","True","0.1579","0","1","0.8691","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":142.11,""Lexical"":0.0,""Lang"":250.0,""Stars"":152.09,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":894.2,""ScoreFinal"":825.16}","Score>=MinimumScore","topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。","9"
"gradio-app/gradio","https://github.com/gradio-app/gradio","NannyML/nannyml","https://github.com/NannyML/nannyml","NannyML","Python","2138","deep-learning","824.72","841.28","16.56","50","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.3502","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":61.28,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":16.56,""ScoreBase"":841.28,""ScoreFinal"":824.72}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50","nannyml: post-deployment data science in python","10"
"gradio-app/gradio","https://github.com/gradio-app/gradio","pytorch/pytorch","https://github.com/pytorch/pytorch","pytorch","Python","100057","deep-learning","818.47","884.7","66.23","50","QueryCoverage excluded from Score (recommended).","True","0.1579","0","1","0.8148","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":142.11,""Lexical"":0.0,""Lang"":250.0,""Stars"":142.59,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":66.23,""ScoreBase"":884.7,""ScoreFinal"":818.47}","Score>=MinimumScore","topic:deep-learning stars:>=100","Tensors and Dynamic neural networks in Python with strong GPU acceleration","11"
"gradio-app/gradio","https://github.com/gradio-app/gradio","recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","recommenders-team","Python","21712","deep-learning","818","882.68","64.69","50","QueryCoverage excluded from Score (recommended).","True","0.1481","0","1","0.8534","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":133.33,""Lexical"":0.0,""Lang"":250.0,""Stars"":149.35,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":64.69,""ScoreBase"":882.68,""ScoreFinal"":818.0}","Score>=MinimumScore","topic:data-science language:Python stars:>=50","Best Practices on Recommendation Systems","12"
"gradio-app/gradio","https://github.com/gradio-app/gradio","voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10715","deep-learning","803.36","855.85","52.48","50","QueryCoverage excluded from Score (recommended).","True","0.1481","0","1","0.7001","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":133.33,""Lexical"":0.0,""Lang"":250.0,""Stars"":122.51,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":52.48,""ScoreBase"":855.85,""ScoreFinal"":803.36}","Score>=MinimumScore","topic:data-science language:Python stars:>=50","Refine high-quality datasets and visual AI models","13"
"gradio-app/gradio","https://github.com/gradio-app/gradio","microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","43314","deep-learning","798.47","867.51","69.04","50","QueryCoverage excluded from Score (recommended).","True","0.1034","0","1","0.9966","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":93.1,""Lexical"":0.0,""Lang"":250.0,""Stars"":174.41,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":867.51,""ScoreFinal"":798.47}","Score>=MinimumScore","topic:deep-learning stars:>=100","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.","14"
"gradio-app/gradio","https://github.com/gradio-app/gradio","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29493","deep-learning","797.16","864.83","67.67","50","QueryCoverage excluded from Score (recommended).","True","0.1154","0","1","0.9199","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":103.85,""Lexical"":0.0,""Lang"":250.0,""Stars"":160.99,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":864.83,""ScoreFinal"":797.16}","Score>=MinimumScore","topic:deep-learning stars:>=100","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc.","15"
"gradio-app/gradio","https://github.com/gradio-app/gradio","autogluon/autogluon","https://github.com/autogluon/autogluon","autogluon","Python","10353","deep-learning","794.73","841.21","46.48","50","QueryCoverage excluded from Score (recommended).","True","0.1333","0","1","0.6926","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":120.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":121.21,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":46.48,""ScoreBase"":841.21,""ScoreFinal"":794.73}","Score>=MinimumScore","topic:data-science language:Python stars:>=50","Fast and Accurate ML in 3 Lines of Code","16"
"gradio-app/gradio","https://github.com/gradio-app/gradio","CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59762","deep-learning","794.5","862.18","67.67","50","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0.9267","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":162.18,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":862.18,""ScoreFinal"":794.5}","Score>=MinimumScore","topic:deep-learning stars:>=100","Clone a voice in 5 seconds to generate arbitrary speech in real-time","17"
"gradio-app/gradio","https://github.com/gradio-app/gradio","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","39406","deep-learning","792.96","862","69.04","50","QueryCoverage excluded from Score (recommended).","True","0.1","0","1","0.9828","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":90.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":172.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":862.0,""ScoreFinal"":792.96}","Score>=MinimumScore","topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜","18"
"gradio-app/gradio","https://github.com/gradio-app/gradio","1adrianb/face-alignment","https://github.com/1adrianb/face-alignment","1adrianb","Python","7516","deep-learning","792.48","809.04","16.56","50","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0.6231","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":109.04,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":16.56,""ScoreBase"":809.04,""ScoreFinal"":792.48}","Score>=MinimumScore","build language:Python stars:>=50",":fire: 2D and 3D Face alignment library build using pytorch ","19"
"gradio-app/gradio","https://github.com/gradio-app/gradio","piskvorky/gensim","https://github.com/piskvorky/gensim","piskvorky","Python","16414","deep-learning","790.08","842.56","52.48","100","QueryCoverage excluded from Score (recommended).","True","0.1154","0","1","0.7927","1","1","0.6667","Lang+Subdomain+Stars","{""Topic"":103.85,""Lexical"":0.0,""Lang"":250.0,""Stars"":138.72,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":52.48,""ScoreBase"":842.56,""ScoreFinal"":790.08}","Score>=MinimumScore","topic:data-science language:Python stars:>=50 | g language:Python stars:>=50","Topic Modelling for Humans","20"
"gradio-app/gradio","https://github.com/gradio-app/gradio","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","57408","deep-learning","783.13","850.8","67.67","50","QueryCoverage excluded from Score (recommended).","True","0.0968","0","1","0.9355","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":87.1,""Lexical"":0.0,""Lang"":250.0,""Stars"":163.71,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":850.8,""ScoreFinal"":783.13}","Score>=MinimumScore","topic:deep-learning stars:>=100","Ultralytics YOLO 🚀","21"
"gradio-app/gradio","https://github.com/gradio-app/gradio","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42385","deep-learning","779.09","846.77","67.67","50","QueryCoverage excluded from Score (recommended).","True","0.08","0","1","0.9987","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":72.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":174.77,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":846.77,""ScoreFinal"":779.09}","Score>=MinimumScore","topic:deep-learning stars:>=100","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.","22"
"gradio-app/gradio","https://github.com/gradio-app/gradio","WenjieDu/PyPOTS","https://github.com/WenjieDu/PyPOTS","WenjieDu","Python","2016","deep-learning","769.93","803.05","33.11","50","QueryCoverage excluded from Score (recommended).","True","0.16","0","1","0.3374","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":144.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":59.05,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":33.11,""ScoreBase"":803.05,""ScoreFinal"":769.93}","Score>=MinimumScore","topic:data-analysis language:Python stars:>=50","A Python toolkit/library for reality-centric machine/deep learning & data mining on partially-observed time series, with 50+ SOTA neural network models for scientific analysis tasks (imputation, classification, clustering, forecasting, anomaly detection, cleaning) on incomplete industrial irregularly-sampled multivariate TS with NaN missing values","23"
"gradio-app/gradio","https://github.com/gradio-app/gradio","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57412","deep-learning","769.48","835.7","66.23","50","QueryCoverage excluded from Score (recommended).","True","0.08","0","1","0.9354","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":72.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":163.7,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":66.23,""ScoreBase"":835.7,""ScoreFinal"":769.48}","Score>=MinimumScore","topic:deep-learning stars:>=100","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite","0"
"gradio-app/gradio","https://github.com/gradio-app/gradio","wandb/wandb","https://github.com/wandb/wandb","wandb","Python","11078","deep-learning","767.3","813.78","46.48","50","QueryCoverage excluded from Score (recommended).","True","0.1","0","1","0.7073","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":90.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":123.78,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":46.48,""ScoreBase"":813.78,""ScoreFinal"":767.3}","Score>=MinimumScore","topic:data-science language:Python stars:>=50","The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.","24"
"gradio-app/gradio","https://github.com/gradio-app/gradio","deepfakes/faceswap","https://github.com/deepfakes/faceswap","deepfakes","Python","55230","deep-learning","766.73","834.41","67.67","50","QueryCoverage excluded from Score (recommended).","True","0.0769","0","1","0.9439","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":69.23,""Lexical"":0.0,""Lang"":250.0,""Stars"":165.18,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":834.41,""ScoreFinal"":766.73}","Score>=MinimumScore","topic:deep-learning stars:>=100","Deepfakes Software For All","25"
