"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"huggingface/transformers","https://github.com/huggingface/transformers","sgl-project/sglang","https://github.com/sgl-project/sglang","sgl-project","Python","28090","llm","844.44","882.88","38.44","50","QueryCoverage excluded from Score (recommended).","True","0.1935","0","1","0.6211","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":174.19,""Lexical"":0.0,""Lang"":250.0,""Stars"":108.69,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":38.44,""ScoreBase"":882.88,""ScoreFinal"":844.44}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","SGLang is a high-performance serving framework for large language models and multimodal models.","1"
"huggingface/transformers","https://github.com/huggingface/transformers","vllm-project/vllm","https://github.com/vllm-project/vllm","vllm-project","Python","80652","llm","834.64","881.12","46.48","100","QueryCoverage excluded from Score (recommended).","True","0.1471","0","1","0.8501","1","1","0.6667","Lang+Subdomain+Stars","{""Topic"":132.35,""Lexical"":0.0,""Lang"":250.0,""Stars"":148.77,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":46.48,""ScoreBase"":881.12,""ScoreFinal"":834.64}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50 | topic:llm stars:>=100","A high-throughput and memory-efficient inference and serving engine for LLMs","2"
"huggingface/transformers","https://github.com/huggingface/transformers","jessevig/bertviz","https://github.com/jessevig/bertviz","jessevig","Python","8065","llm","824.72","841.27","16.56","50","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.3501","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":61.27,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":16.56,""ScoreBase"":841.27,""ScoreFinal"":824.72}","Score>=MinimumScore","transformers language:Python stars:>=50","BertViz: Visualize Attention in Transformer Models","3"
"huggingface/transformers","https://github.com/huggingface/transformers","hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","hiyouga","Python","71477","llm","821.53","876.53","55","150","QueryCoverage excluded from Score (recommended).","True","0.1471","0","1","0.8239","1","1","1","Lang+Subdomain+Stars","{""Topic"":132.35,""Lexical"":0.0,""Lang"":250.0,""Stars"":144.18,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":55.0,""ScoreBase"":876.53,""ScoreFinal"":821.53}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50 | transformers language:Python stars:>=50 | topic:llm stars:>=100","Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)","4"
"huggingface/transformers","https://github.com/huggingface/transformers","GradientHQ/parallax","https://github.com/GradientHQ/parallax","GradientHQ","Python","1294","llm","817.24","817.24","0","50","QueryCoverage excluded from Score (recommended).","True","0.2414","0","1","0","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":217.24,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":817.24,""ScoreFinal"":817.24}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50","Parallax is a distributed model serving framework that lets you build your own AI cluster anywhere","5"
"huggingface/transformers","https://github.com/huggingface/transformers","jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","jadore801120","Python","9727","llm","813.58","839.82","26.24","50","QueryCoverage excluded from Score (recommended).","True","0.1905","0","1","0.3908","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":171.43,""Lexical"":0.0,""Lang"":250.0,""Stars"":68.39,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":26.24,""ScoreBase"":839.82,""ScoreFinal"":813.58}","Score>=MinimumScore","transformers language:Python stars:>=50","A PyTorch implementation of the Transformer model in ""Attention is All You Need"".","6"
"huggingface/transformers","https://github.com/huggingface/transformers","arc53/DocsGPT","https://github.com/arc53/DocsGPT","arc53","Python","17894","llm","810.63","860.3","49.67","50","QueryCoverage excluded from Score (recommended).","True","0.1875","0","1","0.5232","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":168.75,""Lexical"":0.0,""Lang"":250.0,""Stars"":91.55,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":49.67,""ScoreBase"":860.3,""ScoreFinal"":810.63}","Score>=MinimumScore","transformers language:Python stars:>=50","Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents.","7"
"huggingface/transformers","https://github.com/huggingface/transformers","unslothai/unsloth","https://github.com/unslothai/unsloth","unslothai","Python","64905","llm","799.92","846.4","46.48","100","QueryCoverage excluded from Score (recommended).","True","0.1176","0","1","0.8029","1","1","0.6667","Lang+Subdomain+Stars","{""Topic"":105.88,""Lexical"":0.0,""Lang"":250.0,""Stars"":140.51,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":46.48,""ScoreBase"":846.4,""ScoreFinal"":799.92}","Score>=MinimumScore","topic:deepseek language:Python stars:>=50 | topic:llm stars:>=100","Unsloth Studio is a web UI for training and running open models like Gemma 4, Qwen3.6, DeepSeek, gpt-oss locally.","8"
"huggingface/transformers","https://github.com/huggingface/transformers","browser-use/browser-use","https://github.com/browser-use/browser-use","browser-use","Python","94978","llm","796.87","829.98","33.11","50","QueryCoverage excluded from Score (recommended).","True","0.0833","0","1","0.8856","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":75.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":154.98,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":33.11,""ScoreBase"":829.98,""ScoreFinal"":796.87}","Score>=MinimumScore","topic:llm stars:>=100","🌐 Make websites accessible for AI agents. Automate tasks online with ease.","9"
"huggingface/transformers","https://github.com/huggingface/transformers","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42623","llm","787.85","856.89","69.04","100","QueryCoverage excluded from Score (recommended).","True","0.1471","0","1","0.7116","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":132.35,""Lexical"":0.0,""Lang"":250.0,""Stars"":124.53,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":856.89,""ScoreFinal"":787.85}","Score>=MinimumScore","topic:deep-learning language:Python stars:>=50 | topic:llm stars:>=100","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.","10"
