"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"mlflow/mlflow","https://github.com/mlflow/mlflow","Arize-ai/phoenix","https://github.com/Arize-ai/phoenix","Arize-ai","Python","9861","llm","930.82","930.82","0","50","QueryCoverage excluded from Score (recommended).","True","0.2143","0","1","0.7884","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":192.86,""Lexical"":0.0,""Lang"":250.0,""Stars"":137.96,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":930.82,""ScoreFinal"":930.82}","Score>=MinimumScore","topic:agents language:Python stars:>=50","AI Observability & Evaluation","1"
"mlflow/mlflow","https://github.com/mlflow/mlflow","langchain-ai/open-swe","https://github.com/langchain-ai/open-swe","langchain-ai","Python","9850","llm","855.31","855.31","0","50","QueryCoverage excluded from Score (recommended).","True","0.1304","0","1","0.7881","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":117.39,""Lexical"":0.0,""Lang"":250.0,""Stars"":137.92,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":855.31,""ScoreFinal"":855.31}","Score>=MinimumScore","topic:agents language:Python stars:>=50","An Open-Source Asynchronous Coding Agent","2"
"mlflow/mlflow","https://github.com/mlflow/mlflow","zenml-io/zenml","https://github.com/zenml-io/zenml","zenml-io","Python","5424","llm","828.17","918.48","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.2258","0","1","0.6586","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":203.23,""Lexical"":0.0,""Lang"":250.0,""Stars"":115.25,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":918.48,""ScoreFinal"":828.17}","Score>=MinimumScore","topic:agentops language:Python stars:>=50","ZenML 🙏: One AI Platform from Pipelines to Agents. https://zenml.io.","3"
"mlflow/mlflow","https://github.com/mlflow/mlflow","strands-agents/sdk-python","https://github.com/strands-agents/sdk-python","strands-agents","Python","5953","llm","827.88","827.88","0","50","QueryCoverage excluded from Score (recommended).","True","0.1212","0","1","0.6788","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":109.09,""Lexical"":0.0,""Lang"":250.0,""Stars"":118.79,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":827.88,""ScoreFinal"":827.88}","Score>=MinimumScore","topic:agents language:Python stars:>=50","A model-driven approach to building AI agents in just a few lines of code.","4"
"mlflow/mlflow","https://github.com/mlflow/mlflow","google/adk-python","https://github.com/google/adk-python","google","Python","19874","llm","820.84","820.84","0","50","QueryCoverage excluded from Score (recommended).","True","0.0625","0","1","0.9405","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":56.25,""Lexical"":0.0,""Lang"":250.0,""Stars"":164.59,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":820.84,""ScoreFinal"":820.84}","Score>=MinimumScore","topic:agents language:Python stars:>=50","An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.","5"
"mlflow/mlflow","https://github.com/mlflow/mlflow","wshobson/agents","https://github.com/wshobson/agents","wshobson","Python","36011","llm","812.82","812.82","0","50","QueryCoverage excluded from Score (recommended).","True","0.0556","0","1","0.9304","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":50.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":162.82,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":812.82,""ScoreFinal"":812.82}","Score>=MinimumScore","topic:agents language:Python stars:>=50","Multi-harness agentic plugin marketplace for Claude Code, Codex CLI, Cursor, OpenCode, and Gemini CLI","6"
"mlflow/mlflow","https://github.com/mlflow/mlflow","2FastLabs/agent-squad","https://github.com/2FastLabs/agent-squad","2FastLabs","Python","7640","llm","805.41","805.41","0","50","QueryCoverage excluded from Score (recommended).","True","0.0857","0","1","0.733","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":77.14,""Lexical"":0.0,""Lang"":250.0,""Stars"":128.27,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":805.41,""ScoreFinal"":805.41}","Score>=MinimumScore","topic:agents language:Python stars:>=50","Flexible and powerful framework for managing multiple AI agents and handling complex conversations","7"
"mlflow/mlflow","https://github.com/mlflow/mlflow","PrefectHQ/marvin","https://github.com/PrefectHQ/marvin","PrefectHQ","Python","6160","llm","792.09","792.09","0","50","QueryCoverage excluded from Score (recommended).","True","0.08","0","1","0.6862","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":72.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":120.09,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":792.09,""ScoreFinal"":792.09}","Score>=MinimumScore","topic:agents language:Python stars:>=50","an ambient intelligence library","8"
"mlflow/mlflow","https://github.com/mlflow/mlflow","OpenBMB/MiniCPM-V","https://github.com/OpenBMB/MiniCPM-V","OpenBMB","Python","25316","llm","773.79","773.79","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.9931","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":173.79,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":773.79,""ScoreFinal"":773.79}","Score>=MinimumScore","m language:Python stars:>=50","A Pocket-Sized MLLM for Ultra-Efficient Image and Video Understanding on Your Phone","9"
"mlflow/mlflow","https://github.com/mlflow/mlflow","mlc-ai/mlc-llm","https://github.com/mlc-ai/mlc-llm","mlc-ai","Python","22715","llm","769.67","769.67","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.9695","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":169.67,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":769.67,""ScoreFinal"":769.67}","Score>=MinimumScore","m language:Python stars:>=50","Universal LLM Deployment Engine with ML Compilation","10"
