"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"onnx/onnx","https://github.com/onnx/onnx","fastmachinelearning/hls4ml","https://github.com/fastmachinelearning/hls4ml","fastmachinelearning","Python","1997","deep-learning","922.64","922.64","0","100","QueryCoverage excluded from Score (recommended).","True","0.2632","0","1","0.4903","1","1","0.6667","Lang+Topic+Subdomain","{""Topic"":236.84,""Lexical"":0.0,""Lang"":250.0,""Stars"":85.8,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":922.64,""ScoreFinal"":922.64}","Score>=MinimumScore","topic:onnx language:Python stars:>=50 | ONNX language:Python stars:>=50","Machine learning on FPGAs using HLS","1"
"onnx/onnx","https://github.com/onnx/onnx","ufoym/deepo","https://github.com/ufoym/deepo","ufoym","Python","6276","deep-learning","909.3","909.3","0","100","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.7389","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":129.3,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":909.3,""ScoreFinal"":909.3}","Score>=MinimumScore","topic:onnx language:Python stars:>=50 | ONNX language:Python stars:>=50","Setup and customize deep learning environment in seconds.","2"
"onnx/onnx","https://github.com/onnx/onnx","OpenPPL/ppq","https://github.com/OpenPPL/ppq","OpenPPL","Python","1799","deep-learning","893.6","893.6","0","100","QueryCoverage excluded from Score (recommended).","True","0.2353","0","1","0.4676","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":211.76,""Lexical"":0.0,""Lang"":250.0,""Stars"":81.84,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":893.6,""ScoreFinal"":893.6}","Score>=MinimumScore","topic:onnx language:Python stars:>=50 | ONNX language:Python stars:>=50","PPL Quantization Tool (PPQ) is a powerful offline neural network quantization tool.","3"
"onnx/onnx","https://github.com/onnx/onnx","jina-ai/clip-as-service","https://github.com/jina-ai/clip-as-service","jina-ai","Python","12832","deep-learning","864.48","864.48","0","100","QueryCoverage excluded from Score (recommended).","True","0.12","0","1","0.8942","1","1","0.6667","Lang+Subdomain+Stars","{""Topic"":108.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":156.48,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":864.48,""ScoreFinal"":864.48}","Score>=MinimumScore","topic:onnx language:Python stars:>=50 | ONNX language:Python stars:>=50","🏄 Scalable embedding, reasoning, ranking for images and sentences with CLIP","4"
"onnx/onnx","https://github.com/onnx/onnx","google-deepmind/sonnet","https://github.com/google-deepmind/sonnet","google-deepmind","Python","9917","deep-learning","860.69","1003.83","143.14","50","QueryCoverage excluded from Score (recommended).","True","0.2857","0","1","0.8382","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":257.14,""Lexical"":0.0,""Lang"":250.0,""Stars"":146.69,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":1003.83,""ScoreFinal"":860.69}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","TensorFlow-based neural network library","5"
"onnx/onnx","https://github.com/onnx/onnx","ultralytics/yolov3","https://github.com/ultralytics/yolov3","ultralytics","Python","10568","deep-learning","849.1","849.1","0","50","QueryCoverage excluded from Score (recommended).","True","0.1111","0","1","0.852","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":100.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":149.1,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":849.1,""ScoreFinal"":849.1}","Score>=MinimumScore","ONNX language:Python stars:>=50","YOLOv3 in PyTorch > ONNX > CoreML > TFLite","6"
"onnx/onnx","https://github.com/onnx/onnx","RQLuo/MixTeX-Latex-OCR","https://github.com/RQLuo/MixTeX-Latex-OCR","RQLuo","Python","1622","deep-learning","836.73","836.73","0","100","QueryCoverage excluded from Score (recommended).","True","0.1765","0","1","0.4452","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":77.9,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":836.73,""ScoreFinal"":836.73}","Score>=MinimumScore","topic:onnx language:Python stars:>=50 | ONNX language:Python stars:>=50","MixTeX multimodal LaTeX, ZhEn, and, Table OCR. It performs efficient CPU-based inference in a local offline on Windows.","7"
"onnx/onnx","https://github.com/onnx/onnx","AlexanderLutsenko/nobuco","https://github.com/AlexanderLutsenko/nobuco","AlexanderLutsenko","Python","344","deep-learning","833.34","833.34","0","50","QueryCoverage excluded from Score (recommended).","True","0.2381","0","1","0.1089","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":214.29,""Lexical"":0.0,""Lang"":250.0,""Stars"":19.06,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":833.34,""ScoreFinal"":833.34}","Score>=MinimumScore","topic:model-conversion language:Python stars:>=50","Pytorch to Keras/Tensorflow/TFLite conversion made intuitive","8"
"onnx/onnx","https://github.com/onnx/onnx","microsoft/MMdnn","https://github.com/microsoft/MMdnn","microsoft","Python","5807","deep-learning","816.04","906.35","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.2","0","1","0.722","1","1","0.6667","Lang+Subdomain+Topic","{""Topic"":180.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":126.35,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":906.35,""ScoreFinal"":816.04}","Score>=MinimumScore","topic:onnx language:Python stars:>=50 | ONNX language:Python stars:>=50","MMdnn is a set of tools to help users inter-operate among different deep learning frameworks. E.g. model conversion and visualization. Convert models between Caffe, Keras, MXNet, Tensorflow, CNTK, PyTorch Onnx and CoreML.","9"
"onnx/onnx","https://github.com/onnx/onnx","PaddlePaddle/X2Paddle","https://github.com/PaddlePaddle/X2Paddle","PaddlePaddle","Python","771","deep-learning","808.49","808.49","0","50","QueryCoverage excluded from Score (recommended).","True","0.1765","0","1","0.2838","1","1","0.3333","Lang+Subdomain+Topic","{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":49.67,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":808.49,""ScoreFinal"":808.49}","Score>=MinimumScore","topic:onnx language:Python stars:>=50","Deep learning model converter for PaddlePaddle. (『飞桨』深度学习模型转换工具)","10"
"onnx/onnx","https://github.com/onnx/onnx","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11214","deep-learning","807.58","988.2","180.62","50","QueryCoverage excluded from Score (recommended).","True","0.2632","0","1","0.8649","1","1","0.3333","Lang+Topic+Subdomain","{""Topic"":236.84,""Lexical"":0.0,""Lang"":250.0,""Stars"":151.36,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":180.62,""ScoreBase"":988.2,""ScoreFinal"":807.58}","Score>=MinimumScore","topic:artificial-intelligence language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI","11"
