"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"pytorch/vision","https://github.com/pytorch/vision","PeterL1n/BackgroundMattingV2","https://github.com/PeterL1n/BackgroundMattingV2","PeterL1n","Python","7170","computer-vision","1100.36","1190.67","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.5","0","1","0.8038","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":450.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":140.67,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":1190.67,""ScoreFinal"":1100.36}","Score>=MinimumScore","topic:computer-vision language:Python stars:>=50","Real-Time High-Resolution Background Matting","1"
"pytorch/vision","https://github.com/pytorch/vision","roboflow/rf-detr","https://github.com/roboflow/rf-detr","roboflow","Python","7351","computer-vision","908.45","998.76","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.2857","0","1","0.8092","1","1","0.3333","Topic+Lang+Subdomain","{""Topic"":257.14,""Lexical"":0.0,""Lang"":250.0,""Stars"":141.62,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":998.76,""ScoreFinal"":908.45}","Score>=MinimumScore","topic:computer-vision language:Python stars:>=50","RF-DETR is a real-time object detection and segmentation model architecture developed by Roboflow, SOTA on COCO, designed for fine-tuning. [ICLR 2026] ","2"
"pytorch/vision","https://github.com/pytorch/vision","scikit-image/scikit-image","https://github.com/scikit-image/scikit-image","scikit-image","Python","6520","computer-vision","871.75","962.06","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.25","0","1","0.7832","1","1","0.3333","Lang+Topic+Subdomain","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":137.06,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":962.06,""ScoreFinal"":871.75}","Score>=MinimumScore","topic:computer-vision language:Python stars:>=50","Image processing in Python","3"
"pytorch/vision","https://github.com/pytorch/vision","graphdeco-inria/gaussian-splatting","https://github.com/graphdeco-inria/gaussian-splatting","graphdeco-inria","Python","22121","computer-vision","848.38","991.52","143.14","100","QueryCoverage excluded from Score (recommended).","True","0.25","0","1","0.9515","1","1","0.6667","Lang+Topic+Subdomain","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":166.52,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":991.52,""ScoreFinal"":848.38}","Score>=MinimumScore","topic:computer-vision language:Python stars:>=50 | topic:computer-vision stars:>=100","Original reference implementation of ""3D Gaussian Splatting for Real-Time Radiance Field Rendering""","4"
"pytorch/vision","https://github.com/pytorch/vision","STVIR/pysot","https://github.com/STVIR/pysot","STVIR","Python","4601","computer-vision","805.68","948.81","143.14","50","QueryCoverage excluded from Score (recommended).","True","0.25","0","1","0.7075","1","1","0.3333","Lang+Topic+Subdomain","{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":123.81,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":948.81,""ScoreFinal"":805.68}","Score>=MinimumScore","topic:computer-vision language:Python stars:>=50","SenseTime Research platform for single object tracking, implementing algorithms like SiamRPN and SiamMask.","5"
"pytorch/vision","https://github.com/pytorch/vision","AIDC-AI/Pixelle-Video","https://github.com/AIDC-AI/Pixelle-Video","AIDC-AI","Python","20036","computer-vision","770.28","770.28","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.973","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":170.28,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":770.28,""ScoreFinal"":770.28}","Score>=MinimumScore","v language:Python stars:>=50","🚀 AI 全自动短视频引擎 | AI Fully Automated Short Video Engine","6"
"pytorch/vision","https://github.com/pytorch/vision","Embedding/Chinese-Word-Vectors","https://github.com/Embedding/Chinese-Word-Vectors","Embedding","Python","12225","computer-vision","760.94","760.94","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.9197","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":160.94,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":760.94,""ScoreFinal"":760.94}","Score>=MinimumScore","v language:Python stars:>=50","100+ Chinese Word Vectors 上百种预训练中文词向量 ","7"
"pytorch/vision","https://github.com/pytorch/vision","Lightricks/LTX-Video","https://github.com/Lightricks/LTX-Video","Lightricks","Python","10333","computer-vision","754.56","754.56","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.8832","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":154.56,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":754.56,""ScoreFinal"":754.56}","Score>=MinimumScore","v language:Python stars:>=50","Official repository for LTX-Video","8"
"pytorch/vision","https://github.com/pytorch/vision","MaaAssistantArknights/MaaAssistantArknights","https://github.com/MaaAssistantArknights/MaaAssistantArknights","MaaAssistantArknights","C++","21223","computer-vision","743.1","743.1","0","50","QueryCoverage excluded from Score (recommended).","True","0.25","0","0","0.9605","1","1","0.3333","Topic+Subdomain+Stars","{""Topic"":225.0,""Lexical"":0.0,""Lang"":0.0,""Stars"":168.1,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":743.1,""ScoreFinal"":743.1}","Score>=MinimumScore","topic:computer-vision stars:>=100","《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.","9"
"pytorch/vision","https://github.com/pytorch/vision","PeterL1n/RobustVideoMatting","https://github.com/PeterL1n/RobustVideoMatting","PeterL1n","Python","9370","deep-learning","742.7","885.84","143.14","100","QueryCoverage excluded from Score (recommended).","True","0.4","0","1","0.8619","1","0","0.6667","Topic+Lang+Stars","{""Topic"":360.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":150.84,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":885.84,""ScoreFinal"":742.7}","Score>=MinimumScore","topic:computer-vision language:Python stars:>=50 | v language:Python stars:>=50","Robust Video Matting in PyTorch, TensorFlow, TensorFlow.js, ONNX, CoreML!","10"
"pytorch/vision","https://github.com/pytorch/vision","alicevision/Meshroom","https://github.com/alicevision/Meshroom","alicevision","Python","12760","computer-vision","732.26","822.57","90.31","100","QueryCoverage excluded from Score (recommended).","True","0.0667","0","1","0.929","1","1","0.6667","Lang+Subdomain+Stars","{""Topic"":60.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":162.57,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":822.57,""ScoreFinal"":732.26}","Score>=MinimumScore","topic:computer-vision language:Python stars:>=50 | topic:computer-vision stars:>=100","Node-based Visual Programming Toolbox","11"
"pytorch/vision","https://github.com/pytorch/vision","Hironsan/BossSensor","https://github.com/Hironsan/BossSensor","Hironsan","Python","6281","deep-learning","727.5","870.64","143.14","50","QueryCoverage excluded from Score (recommended).","True","0.4","0","1","0.7751","1","0","0.3333","Topic+Lang+Stars","{""Topic"":360.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":135.64,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":870.64,""ScoreFinal"":727.5}","Score>=MinimumScore","topic:computer-vision language:Python stars:>=50","Hide screen when boss is approaching.","12"
"pytorch/vision","https://github.com/pytorch/vision","openimages/dataset","https://github.com/openimages/dataset","openimages","Python","4367","computer-vision","721.83","721.83","0","50","QueryCoverage excluded from Score (recommended).","True","0","0","1","0.6962","1","1","0.3333","Lang+Subdomain+Recency","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":121.83,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":721.83,""ScoreFinal"":721.83}","Score>=MinimumScore","datasets language:Python stars:>=50","The Open Images dataset","13"
