"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Score","ScoreBase","PenaltyCrossAnchorFreq","PenaltyRetrieval","PenaltyNotes","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","TopSignals","ScoreBreakdownJson","WhyQualified","SourceQueries","Description","Rank"
"treeverse/dvc","https://github.com/treeverse/dvc","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","7052","mlops","774.45","864.76","90.31","50","QueryCoverage excluded from Score (recommended).","True","0.1333","0","1","0.8272","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":120.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":144.76,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":90.31,""ScoreBase"":864.76,""ScoreFinal"":774.45}","Score>=MinimumScore","topic:mlops stars:>=100","The Open Source Feature Store for AI/ML","1"
"treeverse/dvc","https://github.com/treeverse/dvc","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10868","mlops","644.87","825.48","180.62","50","QueryCoverage excluded from Score (recommended).","False","0.0714","0","1","0.9211","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":64.29,""Lexical"":0.0,""Lang"":250.0,""Stars"":161.2,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":180.62,""ScoreBase"":825.48,""ScoreFinal"":644.87}","Score<MinimumScore","topic:mlops stars:>=100","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.","2"
"treeverse/dvc","https://github.com/treeverse/dvc","PostHog/posthog","https://github.com/PostHog/posthog","PostHog","Python","34715","mlops","601.54","744.67","143.14","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.8267","1","1","0.3333","Lang+Subdomain+Stars","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":144.67,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":143.14,""ScoreBase"":744.67,""ScoreFinal"":601.54}","Score<MinimumScore","data language:Python stars:>=50","🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.","0"
"treeverse/dvc","https://github.com/treeverse/dvc","geldata/gel","https://github.com/geldata/gel","geldata","Python","14095","","546.08","546.08","0","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.9776","1","0","0.3333","Lang+Stars+Recency","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":171.08,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":546.08,""ScoreFinal"":546.08}","Score<MinimumScore","data language:Python stars:>=50","Gel supercharges Postgres with a modern data model, graph queries, Auth & AI solutions, and much more.","0"
"treeverse/dvc","https://github.com/treeverse/dvc","joke2k/faker","https://github.com/joke2k/faker","joke2k","Python","19240","","542.1","542.1","0","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.9549","1","0","0.3333","Lang+Stars+Recency","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":167.1,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":542.1,""ScoreFinal"":542.1}","Score<MinimumScore","data language:Python stars:>=50","Faker is a Python package that generates fake data for you.","0"
"treeverse/dvc","https://github.com/treeverse/dvc","mealie-recipes/mealie","https://github.com/mealie-recipes/mealie","mealie-recipes","Python","12290","editor","540.87","540.87","0","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.9478","1","0","0.3333","Lang+Stars+Recency","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":165.87,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":540.87,""ScoreFinal"":540.87}","Score<MinimumScore","data language:Python stars:>=50","Mealie is a self hosted recipe manager and meal planner with a RestAPI backend and a reactive frontend application built in Vue for a pleasant user experience for the whole family. Easily add recipes into your database by providing the url and mealie will automatically import the relevant data or add a family recipe with the UI editor","0"
"treeverse/dvc","https://github.com/treeverse/dvc","datahub-project/datahub","https://github.com/datahub-project/datahub","datahub-project","Python","11978","reinforcement","539.89","539.89","0","50","QueryCoverage excluded from Score (recommended).","False","0","0","1","0.9422","1","0","0.3333","Lang+Stars+Recency","{""Topic"":0.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":164.89,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":539.89,""ScoreFinal"":539.89}","Score<MinimumScore","data language:Python stars:>=50","The Context Platform for your Data and AI Stack","0"
"treeverse/dvc","https://github.com/treeverse/dvc","drivendataorg/cookiecutter-data-science","https://github.com/drivendataorg/cookiecutter-data-science","drivendataorg","Python","9880","data-science","531.65","802.58","270.93","50","QueryCoverage excluded from Score (recommended).","False","0.3","0","1","0.9004","1","0","0.3333","Topic+Lang+Stars","{""Topic"":270.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":157.58,""Recency"":125.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":270.93,""ScoreBase"":802.58,""ScoreFinal"":531.65}","Score<MinimumScore","topic:data-science language:Python stars:>=50","A logical, reasonably standardized, but flexible project structure for doing and sharing data science work.","0"
"treeverse/dvc","https://github.com/treeverse/dvc","splitgraph/sgr","https://github.com/splitgraph/sgr","splitgraph","Python","324","","527.82","527.82","0","50","QueryCoverage excluded from Score (recommended).","False","0.1667","0","1","0.159","0.8","0","0.3333","Lang+Topic+Recency","{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":27.82,""Recency"":100.0,""Subdomain"":0.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":527.82,""ScoreFinal"":527.82}","Score<MinimumScore","topic:data-version-control language:Python stars:>=50","sgr (command line client for Splitgraph) and the splitgraph Python library","0"
"treeverse/dvc","https://github.com/treeverse/dvc","PrefectHQ/prefect","https://github.com/PrefectHQ/prefect","PrefectHQ","Python","22477","mlops","519.92","806.19","286.27","100","QueryCoverage excluded from Score (recommended).","False","0.05","0","1","0.9211","1","1","0.6667","Lang+Subdomain+Stars","{""Topic"":45.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":161.19,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":286.27,""ScoreBase"":806.19,""ScoreFinal"":519.92}","Score<MinimumScore","topic:data-science language:Python stars:>=50 | data language:Python stars:>=50","Prefect is a workflow orchestration framework for building resilient data pipelines in Python.","0"
